#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	artM//
Ada	livM//ecpR//rarA//
AgaR	treR//livG//wecC//yccJ//tktB//potF//trpL//
AlaS	pdeH//
AllR	hofP//argE//phnN//fliS//ykgO//kdpA//yhbS//sbmA//trpL//
AllS	kdpB//fliD//crl//
AlsR	phnP//ybbW//metA//wecE//mprA//speA//
ArcA	azuC//motB//
ArgP	ppdD//asnA//ddpB//
ArgR	wecB//gcvA//msrA//tcyP//phoH//ddpF//phoH//symE//bioC//ompX//nadB//yqhD//hcaC//pheS//
ArsR	gspB//phnE_2//glyT//
AscG	rpsR//
AsnC	yjjZ//
BasR	ydbK//
BirA	tadA//hcaR//valT//yebG//hisR//
BluR	mcbA//arcA//gspB//gpmM//
BolA	ynbD//potH//
CRP	apaH//cpxA//phnE_2//yjhC//zntA//torR//ydfX//flgB//mipA//yqhG//phr//hofM//iscA//omrA//decR//tsr//phr//dinG//dhaL//polA//hflD//cpxP//yeaD//cysD//ycjG//yaeQ//symE//trmD//leuL//flgL//ftsK//ybhF//kbaY//lysT//apaG//rpiB//recC//fldB//livJ//gcl//cpxQ//ygiZ//flgA//efeU_1//purF//ldtD//comR//ryhB//rffG//ychH//xapA//gspB//ppc//slyB//rybA//hdfR//yebG//mzrA//metU//alkA//yeaG//cynR//gudX//dacC//rstA//hofC//yjhC//ubiG//
CdaR	polA//yaeQ//hflC//rstA//ybhF//
CecR	mscM//treR//allB//wcaB//rclA//
CpxR	phoR//crl//ycjX//flu//aroF//hcaF//ecpA//proK//yhbE//yhbT//creA//phoE//ydiU//flgA//phnM//rnlA//ydjM//glnB//nimT//wzb//lysO//pitB//mgtA//flgJ//glmS//rffG//znuC//kdpF//efeU_1//gltI//mgrR//fliQ//
Cra	hemF//mngA//ynbB//htrE//nimT//ddpX//nimR//hokE//ddpX//metJ//fldA//flgD//alsA//livK//priB//
CreB	ymjD//
CsgD	pheS//arsC//topA//metF//rpsR//livF//cynT//dinQ//sfsA//
CueR	ppsA//glyT//
CynR	nadC//phnE_1//dsrA//phnE_2//
CysB	leuP//ompT//potG//leuW//sroC//trpB//flgF//phoE//phnC//rffT//
Dan	mhpT//znuC//bluF//acrR//
DhaR	sohB//cra//ampD//fabD//
DicA	gspB//pitA//zntA//allD//dsbA//seqA//tehA//ilvC//
DnaA	talA//sbmA//
EvgA	gudD//cheB//mscM//trpD//yhdW//artQ//cysN//
FNR	bioA//chiA//aaeB//potI//ariR//yojI//nimR//metT//fliO//nadC//preA//phnK//flgJ//yjhC//yhhY//flgF//ykiA//leuP//nimR//ygeH//cysD//argA//sbmA//proK//pheT//argI//rffH//
FadR	yfbR//ppdB//zntA//mngA//fepC//ruvA//cpxR//wzxE//
FeaR	ddpD//
Fis	arfB//yhdY//omrA//mhpT//motA//gspB//alkB//hemF//cyaA//isrC//hofP//yoaC//rfe//phoH//sbmA//metU//ydfH//intQ//yhdW//cheY//borD//creC//phnO//pitB//alaW//rnlA//ydcV//pfkA//gpsA//fliQ//acrR//glnX//cysK//chiA//cheR//purC//allC//csrB//hofP//gspB//thrS//xapA//flgC//ydcV//rsmA//murR//phoH//ybaT//trpA//avtA//mngR//apaG//pykF//artP//cueO//alaA//
FlhDC	leuV//gltI//leuD//ppsA//rcsD//phnN//argW//phoA//rplU//aaeX//aroH//lysO//alkA//mukB//ecnB//lon//fepD//pdxA//arsC//valT//dkgB//phr//ydcU//preT//cynS//wrbA//flgE//mpaA//yegZ//fliP//cheA//gltX//bdcA//paaY//glpR//dinB//nadC//yeaG//
FliZ	trmA//
Fur	znuA//flgC//leuE//mltF//oxyS//ydbK//ybfE//alaX//narQ//glk//mukE//glpE//rplI//ampE//ydfX//yfiR//avtA//fliN//gudX//yjjP//hcaE//acrR//flgA//yadV//
GadX	aaeB//leuE//fldA//amiA//nimT//alaS//purE//
GcvA	sfsB//ihfB//
H-NS	wzzE//leuV//flgL//agaS//uidR//xdhC//yafN//omrB//tpiA//alsA//mhpR//wzc//bdcA//glmU//
HU	nohA//livM//
HcaR	treR//phnP//glnU//livF//rclB//rpsR//
IHF	pfkA//polA//ruvB//rffC//ppdB//ykiA//ybhF//
IlvY	mgtL//yfdV//
IscR	ddpX//iscU//eno//yhhY//mltF//preA//dgcC//leuB//
KdpE	aroF//fadM//phnE_2//mcaS//
LeuO	dinB//yaiW//tktB//ubiG//rpiB//argH//
LexA	recB//yojI//ddpC//ubiG//ymgC//spf//tadA//hcaE//gspB//ybbY//livJ//alsB//ftnB//ydfN//purC//tehB//iscU//hemF//cheR//slyB//raiA//yccJ//yeaH//hflX//mhpT//preT//yegH//yeiW//fadR//yibQ//wzyE//alkB//chiA//cheR//hfq//pagP//phnF//
LrhA	uspB//
Lrp	yidQ//gpsA//glnW//manA//aaeR//hemH//lolA//recD//malZ//ryhB//mntS//thrT//kdpF//yhjC//
LysR	efeU_2//
MalT	insD//
MarA	ydbK//agaS//
MatA	ompX//yqaE//
McbR	dkgA//
MetJ	purE//sbmA//ompA//alaW//sbcC//
MlrA	acrR//rcsD//trpL//uvrC//dinF//
MngR	mngB//pgpC//ppdD//
MntR	tktB//dacC//
MprA	agaC//seqA//trxC//
MqsA	rclA//yfiR//
MurR	artQ//
Nac	sbmA//btuB//zraP//tyrU//leuT//
NadR	ydcU//sfsA//ydcV//
NagC	dapD//metT//nimT//wecC//rffM//
NanR	rpoD//rcnR//
NimR	leuA//mpaA//
NsrR	rmf//ydeJ//ubiG//raiA//fruK//argW//ydcU//mgtL//kbaY//ydeA//flgB//motA//rsmA//acrR//livK//yqhG//yeiW//glgB//allC//valY//livJ//phnD//mgrB//ybaS//creA//ddpA//iraP//yqhG//prs//fhuA//
NtrC	arcZ//bdcA//leuC//potF//ddpC//phnJ//emrA//sutR//fruK//flgH//fliR//nadB//ybbW//mngB//asnB//argH//ydeA//
OmpR	ddpB//emrA//yciW//asnA//
OxyR	gudP//proL//kdpF//mukB//cheW//yegR//topA//alsE//yebE//
PaaX	psiF//msrA//
PepA	phoE//
PgrR	glgS//yojI//potG//fbaB//pgpC//leuX//recX//
PhoB	agaR//add//alkB//phnH//tpiA//livF//sbcD//leuB//avtA//aaeX//yncE//ttdT//xseA//ymiA//tisB//wecC//rdoA//pitB//pdxA//yhbT//ydfW//yadV//ubiX//asnB//sutR//yfdE//pepT//ecnB//intQ//metC//valX//
PhoP	artJ//wcaA//patD//potI//fliN//ydiV//patZ//malZ//secB//pheU//argI//ymgA//leuV//fliD//yadV//iraD//
PspF	artP//
PurR	pspF//tpiA//glyU//fliR//ychO//cysK//lysV//agaR//ycgZ//flgI//dkgB//polA//uspB//
RbsR	ychH//
RcdA	treR//allB//cysN//
RclR	dhaR//torR//hofC//
RcnR	dinQ//
RcsAB	seqA//dhaL//tonB//leuX//livK//
RcsB	mngR//yfdE//pnuC//ydbD//
RcsB-BglJ	sdaA//isrC//mzrA//bacA//rpiB//avtA//tyrB//flu//bdcA//trpA//trpB//
Rob	rcsD//
RutR	wza//
SdiA	fliM//
SgrR	rffH//mqsR//kdpA//phnO//leuE//flgJ//
SoxS	ddpB//znuB//dapB//rffM//fhuD//ychO//
SutR	zntA//ampD//
TorR	glnW//
TrpR	ychH//ilvC//ydcU//cra//purL//ydiU//flgD//dapB//
TyrR	gcvA//gpmA//infC//
UidR	ilvN//
UvrY	ymjC//yqjA//
XapR	lacI//ddpB//
YdeO	lrhA//uspD//
YjjQ	ygiZ//agp//nohA//rnlA//uspB//ldtD//rffM//
YpdB	tynA//
YqhC	flgK//rimM//
ZntR	proM//
ZraR	intQ//
Zur	metA//rnlB//apaH//add//fhuC//
