#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	trpB//
Ada	rplU//hofB//lysW//
AgaR	metJ//gspA//yegH//decR//ompN//pepT//flgE//
AlaS	leuP//
AllR	iscU//rmf//crl//flgE//sroC//cysN//ddpB//gudX//phnI//
AllS	adiY//yqhD//allB//
AlsR	polA//ybhR//sohB//gltX//mukE//mngB//
ArcA	mipA//yjjP//
ArgP	argX//yccA//znuC//
ArgR	grxA//rpiB//fhuB//ampC//lysT//emrB//ariR//flgB//fecR//kbp//motB//aaeX//fhuC//uvrY//
ArsR	fruK//phnL//yfbR//
AscG	yibQ//
AsnC	dapD//
BasR	ydeA//
BirA	kdpF//rcsB//glxK//yjhC//kdpB//
BluR	yecT//gpsA//cysN//hofC//
BolA	psiF//gltL//
CRP	tadA//cecR//gpsA//phnL//fabG//gltL//obgE//fliD//adiY//yhdW//ttdR//hofM//sgrR//prs//ybhG//metT//allS//argW//rarA//omrB//alaA//ompX//asnB//phoH//xapA//kbp//tfaQ//pepA//ompT//phnD//wza//potH//serT//erpA//alaW//thrT//tyrB//malZ//glnW//uidR//lysU//ymgA//dinB//dsbC//argX//pepA//rarA//ompN//gpsA//mhpT//ompA//glnU//recA//yhbT//ilvN//phnE_2//cpxA//glpE//alsA//sgrR//ysgA//allB//yhhY//ymgA//cysK//kbl//rstA//mltF//
CdaR	rpmI//yciX//agaD//zntA//chiA//
CecR	hofB//tadA//gltI//ampC//mqsR//
CpxR	tar//cynR//ydcT//pdxA//xseA//wrbA//pagP//arcZ//arsR//glnB//yfdV//wzb//thrT//livK//bioB//proL//kdpF//nlpA//seqA//tcyP//bioF//cynX//ibpB//argU//ppsA//phnE_1//argE//flgJ//rffC//pheT//yebG//garD//
Cra	rnlA//csrB//csrB//murI//dksA//hfq//gcvA//rpsP//wzzE//yebE//alsE//cheA//gltJ//purB//iscS//
CreB	ppiD//
CsgD	narQ//yqhG//cmoM//artQ//aaeR//ycgR//thiQ//cynX//rmf//
CueR	zraP//yfiR//
CynR	yjhB//hemF//livG//rimM//
CysB	rpsF//rfe//talA//cpdB//gcl//infC//patD//lysC//phnL//dhaM//
Dan	intQ//flgG//alaX//cpdB//
DhaR	rclB//yafP//ycgR//infC//
