#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	avtA//
Ada	sroA//sbcC//phnK//
AgaR	gltI//rybA//ybhL//ynbA//preT//ydeI//fhuE//
AlaS	ydbD//
AllR	paaY//ycgZ//trpB//glnU//ampE//cpdB//dinG//tyrV//hfq//
AllS	flgD//garD//rclA//
AlsR	hflX//trpD//yeaG//livJ//allS//fabI//
ArcA	ttdA//glgX//
ArgP	arcA//yqhG//alsA//
ArgR	bcsZ//insK//tisB//purE//iscS//cheB//znuA//ivbL//dhaK//znuB//ppc//umuD//ilvN//flhA//
ArsR	cstA//exbB//metJ//
AscG	sbcD//
AsnC	gfcA//
BasR	fhuC//
BirA	cpxP//glyT//dkgB//lysR//yafN//
BluR	gltJ//yeaE//yiiS//ariR//
BolA	wzc//ompX//
CRP	pheT//aroH//motA//glxR//bacA//fabG//nlpE//dsbA//ldtC//tap//tcyP//allE//alsA//xdhB//thiQ//ybaT//purK//ldtC//tehA//leuC//topA//oxc//tonB//arcZ//ybaS//rarA//gfcA//alaS//ftsK//dhaM//ymgA//leuW//glgS//insD//hokE//glgX//ruvB//obgE//ung//ddpB//gcvB//cmoM//metF//gltI//rpoD//cysE//artQ//ydbK//cheR//cheW//sbcD//fabG//leuW//metC//hslJ//proK//umuD//leuP//bioC//livG//fabH//ygaC//kdpC//dicB//lolA//cysK//glmU//dinQ//
CdaR	speB//yhbT//pheU//gudD//umuC//
CecR	yqhG//hcaB//rpsP//tar//kbl//
CpxR	lolA//malZ//serT//mgtL//leuC//mhpR//yecT//phoH//mngA//wza//cysC//rmf//nlpA//ybhS//yhbS//rffC//ddpF//lacI//ubiG//pepT//recN//mngR//cho//arsR//sohB//polB//ydbK//leuW//sroA//entS//luxS//yoaC//
Cra	cyaA//thrT//cpxA//flgI//wzb//xdhC//cbpA//ariR//leuQ//lacI//luxS//wza//upp//ykgR//infC//
CreB	ptrA//
CsgD	ydcT//dnaG//recN//kdpF//fliM//tehA//aaeX//rimM//mukF//
CueR	rpiR//purC//
CynR	rstA//copA//ymgA//lon//
CysB	fabH//phnI//pitB//ilvC//xapB//proL//gudD//phnN//pitA//alaX//
Dan	rplS//cheW//fliL//bioC//
DhaR	argH//dinB//agaC//rstA//
DicA	trxC//fhuC//ruvA//rpsF//allE//ddpA//kdpF//gor//
DnaA	yhdX//ppdB//
EvgA	dinF//phnJ//pheT//phr//fliD//tsr//chiA//
FNR	recB//ykiA//allD//tyrU//ihfB//wecB//omrA//livH//phnH//ybjG//glxR//cpxP//cdaR//rpmA//xapB//ykgR//yhbE//fliL//ygaC//dgcN//exbD//ppdA//wzyE//phnD//leuC//yhdZ//cheZ//
FadR	agp//ddpD//tadA//yafN//efeU_2//agp//cpxP//glyT//
FeaR	glk//
Fis	adiY//ybfE//phnD//argU//cysC//lysC//hchA//glpE//ampD//hofP//ybhF//manA//dksA//rnlA//mltF//thiQ//lysW//grxD//grxD//ydbK//allE//lysU//ompT//gltL//purL//mhpT//fhuC//ompX//dsbG//infC//dinF//gltX//hemH//umuC//ecnB//hflC//metC//phnD//preA//yfiR//mcaS//malZ//ydcV//cueO//yidQ//hofN//agaC//ppiD//dsrA//alsB//ydbD//potI//flhB//ftsK//proL//dgkA//
FlhDC	ykgM//alaC//tsgA//flgI//glyT//dksA//yciX//tufB//leuE//agaS//ydcT//xdhC//flxA//fepG//ibaG//exbD//phnG//phnO//potG//mgtA//yjjP//phnE_2//rclC//livM//secB//raiA//ymgA//sbcC//tadA//glpG//yfiR//yafP//ydeA//fruK//avtA//ybfE//hokE//artM//
FliZ	gyrB//
Fur	allB//pepD//rffH//obgE//flhA//ilvN//ddpC//talA//leuB//glyT//argU//ydfN//agaC//iraD//glxK//mngA//fliR//pheU//hyi//hslJ//cysD//ppdC//hfq//grpE//
GadX	hcaB//mngR//artQ//yjhC//metJ//uraA//acrR//
GcvA	dinF//cheA//
H-NS	sbcD//flgG//ddpF//amiA//livJ//kdpC//wzxE//rpiB//ygiZ//glmS//ompX//rclB//arcZ//metF//
HU	pdeF//cmoM//
HcaR	gltX//yibQ//yadV//lysU//ycgR//umuD//
IHF	nadA//yaeQ//allA//ybhS//ecnB//flgD//cheZ//
IlvY	glnW//aaeX//
IscR	ychO//kdpB//kbaY//leuQ//agaB//yegZ//xapB//ybhF//
KdpE	fruB//leuX//pykF//ruvA//
LeuO	glxR//lrhA//hcaC//dkgA//envC//hofN//
LexA	nimR//dgcC//ompX//ada//yidL//ttdT//adeD//cbpM//ygiZ//rybA//uvrD//isrC//btuB//iscA//agaB//mqsR//grxA//mltF//mcaS//kdpF//iscS//sutR//yhdZ//yccA//ttdT//yhhY//dkgA//ychO//agaC//ydbK//alaA//cbpM//yegH//asnA//pdxA//phnM//emrB//
LrhA	rplS//
Lrp	uspB//thiQ//mpaA//metJ//argX//ribA//allA//phnJ//thiQ//symE//murR//mukF//ykgO//phnC//
LysR	ppsA//
MalT	yaeP//
MarA	rffC//flhA//
MatA	phnC//preA//
McbR	ihfB//
MetJ	uspE//gpsA//ung//ydjM//yhhY//
MlrA	cheW//uspD//ygaC//mngA//fabG//
MngR	tbpA//kbaY//preT//
MntR	yadV//gltL//
MprA	ybbW//metU//glnU//
MqsA	cdaR//ymiA//
MurR	glnW//
Nac	ddpC//insD//ycjX//accD//wecE//
NadR	trxA//spf//ybhF//
NagC	yjeV//ilvN//exbB//trpC//efeU_1//
NanR	wecC//ybhL//
NimR	iraP//kdpC//
NsrR	ydeI//sdaA//ychH//glgS//flgD//sdaA//cysK//mukF//thiP//allD//asnA//znuA//xapA//uspE//kdpB//cho//yjjP//sbcD//yeiP//phoA//dsbG//alsB//flgF//cpxA//hcaB//ydiU//emrA//glnX//trmD//mngB//
NtrC	fliP//purE//sutR//ttdA//nadB//alaA//trpD//alaX//glgS//ftsK//gudP//allC//wecC//recA//speC//rplI//cpxP//
OmpR	phnJ//phnP//dkgB//rplI//
OxyR	yhbS//phnI//sxy//ycjG//recA//ilvY//iraD//argU//pepD//
PaaX	add//ybhF//
PepA	recC//
PgrR	ddpC//allE//dgcN//allC//argW//artI//ppc//
PhoB	queA//tufB//rcsB//valY//tehB//hyi//cecR//phnG//mzrA//sohB//ygdB//lysO//cynT//alsC//flgE//ivbL//mukE//tyrU//yeaE//yhjX//recX//cdaR//rcnR//ampC//zraP//wrbA//dicB//rarA//argB//ddpF//rpsF//
PhoP	rsmA//chiA//cpxQ//pspF//mhpR//tyrT//cynR//flu//cysD//bdcA//phnJ//sutR//mcaS//cdaR//tdh//obgE//
PspF	leuE//
PurR	ychF//fldA//metU//rnlA//flgB//bcsB//metC//hchA//recX//cysE//phnF//mprA//tynA//
RbsR	topA//
RcdA	yebE//trpR//bioD//
RclR	cysC//fldA//phr//
RcnR	ompX//
RcsAB	tpiA//cpxA//yqhG//yafN//ddpF//
RcsB	kdpC//ppdD//flhA//fliN//
RcsB-BglJ	ppsA//umuD//acrR//ybhG//ybaT//trpL//yfdE//oxyS//ydbD//ydfX//lysW//
Rob	eno//
RutR	alsA//
