#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	ymjC//
Ada	xseA//tar//flxA//
AgaR	prs//ybhF//flgL//glnX//pdeF//ompA//rnlB//
AlaS	ydeJ//
AllR	wza//flgG//ygbK//garD//mepH//yccT//dhaR//creB//eno//
AllS	znuC//alaA//ycjG//
AlsR	tdh//yafN//mgrR//flgJ//pitA//glnB//
ArcA	bacA//valU//
ArgP	mntS//gltK//leuP//
ArgR	alkA//znuA//recD//yhbT//yaeQ//gspB//exbD//fldB//rimM//trpA//proK//sbcD//cynT//fnrS//
ArsR	yhbT//exbB//yeiW//
AscG	wzyE//
AsnC	htrE//
BasR	phoE//
BirA	metT//phoB//flhE//alsC//pheS//
BluR	symE//allA//uvrB//rnlB//
BolA	ubiX//ydfW//
CRP	fruA//ychH//agp//ydeI//livM//alaX//uspE//dhaM//uvrC//ihfB//yncE//phnE_2//rsmA//leuE//sutR//sxy//phnH//ribA//sutR//aroH//murI//wzb//gpsA//mcaS//proL//ampE//pdxA//cho//cynT//flgL//ychH//msrA//valU//ychF//ilvN//bacA//rclC//rcsD//efeU_1//iraD//decR//grxA//glnX//gor//phoE//efeU_1//livK//fliT//rcsB//glgS//yhbE//yojI//rpmA//tadA//allE//lexA//ydeI//lysC//fldA//flgI//dhaR//phnI//entS//rclC//aaeX//yeiP//ydjM//rplI//
CdaR	upp//cpxR//copA//malZ//ppsA//
CecR	gcl//thrT//fliM//bcsB//luxS//
CpxR	copA//leuE//rfe//sroA//cvpA//lysW//slt//hofC//cpxP//osmB//osmB//yhbT//hflX//add//insK//recA//potI//yjhC//lon//fliR//fldA//ygaC//slyB//ddpD//phoH//glpE//ecnB//preT//wzxE//nadA//narQ//yjjZ//
Cra	recN//hemF//cheA//ybhG//mipA//tsr//psiF//ttdT//frc//yhdZ//recN//glyU//alsB//metC//yqhD//
CreB	hemH//
CsgD	ydeA//rpsF//ryhB//dnaG//pgm//trpR//ftnB//insK//rclC//
CueR	lysR//rcsB//
CynR	allC//yebG//mukB//alaA//
CysB	fruK//ariR//gfcA//recC//cheA//cysD//mpaA//fhuD//yafP//leuX//
Dan	upp//sdaA//avtA//speC//
DhaR	cdaR//speB//agaI//znuB//
DicA	gor//argT//znuA//agp//dsbC//csrB//comR//phnP//
DnaA	xapB//rffH//
EvgA	ubiX//ybhR//recX//lysO//tbpA//phoA//rpiB//
FNR	dsbC//glxK//ttdA//yidL//wcaA//phoR//pitA//purB//preA//tyrA//cdaR//thrT//rnlA//murI//cynS//decR//ykgR//obgE//mscM//yaeP//xseA//cheB//flgF//ompN//flgK//omrB//fliD//
FadR	chiA//argF//pheU//yjeV//glnB//ecpR//phoB//fepD//
FeaR	creB//
Fis	purK//pdxA//flgB//sxy//flhA//ycjG//glxR//zraP//leuW//rffT//ydcS//hflX//xapA//ppdA//gpsA//artI//artJ//fldB//alkA//lysV//fepG//fliQ//glgB//yagK//flgA//glgB//ihfB//sutR//znuB//yecT//fecI//flgA//lysO//glnW//phnC//fliN//azuC//tsgA//wecB//preA//fnrS//cysD//rpoD//gltK//gcl//purK//leuC//trxC//lysR//nadB//slt//ybhR//ydjM//phnN//sfsB//rcsD//
FlhDC	gcl//bdcA//livK//tpiA//phnK//hflK//recB//ynbA//glnW//copA//yfiR//hofB//ybbY//aroF//ykgR//argE//yoaC//potH//trpA//yadV//yecT//alaX//yafP//fepD//cheW//iscU//wecC//dkgA//rffG//rcsB//ampD//wzyE//htpG//valX//yegR//leuE//rutR//prs//
FliZ	yfdV//
Fur	yafN//flgK//bdm//flxA//thrU//gspA//sxy//mgtA//yegR//gltX//hemF//mgtA//potH//alaC//fliN//yfdV//yhbE//hcaE//ecpA//artJ//ymgA//rffM//ydiU//trpB//
GadX	sdaA//yaiW//yfdV//argX//trpC//yjjZ//yagK//
GcvA	ydcT//rsmA//
H-NS	ymgC//tpiA//yfiR//fabH//cbpA//accD//pitB//dsbG//phoH//cynR//ybaT//acrR//cynT//yhjX//
HU	treR//acrR//
HcaR	livH//fecI//metJ//ydjM//yjjZ//cynS//
IHF	ygeH//dapD//yibQ//ydfD//dapB//ymjC//yciW//
IlvY	uvrD//fepD//
IscR	fhuB//ydfN//tap//cheY//rpsP//ybhS//kdpF//yoaC//
KdpE	dinG//yhdY//fruK//phoB//
LeuO	agaD//dsbC//iraP//hyi//gyrB//flgJ//
LexA	ykgM//dhaK//hemF//sutR//cpxA//fhuA//potF//ydfX//asnA//glgS//yhdZ//thrW//ydiU//trpA//amiA//ldtC//mltF//purF//ydfN//argA//yeaH//cueO//tktB//bcsZ//rutR//iraP//ydfD//adeD//tynA//aaeR//cysC//ecpA//wecC//dsbG//rpoD//kdpC//gspA//
LrhA	hslJ//
Lrp	glnB//hcaB//kdpA//yebG//mntS//sfsB//aaeX//purB//trpR//trpE//omrB//tyrA//yibQ//pepA//
LysR	mukE//
MalT	artJ//
MarA	ygaC//artP//
MatA	artM//cheR//
McbR	arcZ//
MetJ	seqA//bdcA//alsE//bacA//ynjI//
MlrA	rffG//glgB//pdeH//fldB//rpsF//
MngR	valU//paaY//sfsB//
MntR	htrE//glnX//
MprA	tisB//nadC//sroC//
MqsA	bcsZ//ydbD//
MurR	lysU//
Nac	pitB//emrB//dgcC//agaS//gltJ//
NadR	gyrB//tktB//ycjY//
NagC	erpA//yjeV//dkgB//cheZ//intQ//
NanR	ftsK//bcsZ//
NimR	livK//fadR//
NsrR	glxR//intQ//bcsB//envC//rpoD//agaC//cpxP//mukE//fliR//ddpB//argR//lysR//pheV//flgE//rmf//entS//fliQ//trxA//rffM//yccA//bioA//rclB//argI//emrB//phnC//osmB//yebG//flgE//ygeH//potG//
NtrC	fhuB//livJ//glmU//gfcA//tyrB//cysN//ddpA//metJ//lacI//preT//flgI//xapB//mzrA//speB//dinQ//recC//ycjY//
OmpR	decR//uvrB//upp//cyaA//
OxyR	hflC//leuL//hcaE//pnuC//argE//flhB//ldtD//yccJ//ymiA//
PaaX	ybhL//fabH//
PepA	borD//
PgrR	aroH//argR//iscA//yjjZ//ybbW//trpB//ompN//
PhoB	alaW//allC//mqsA//yfbR//gspA//ttdA//dacC//ydcS//eno//yegZ//ygaC//tktB//cpxR//rclA//tbpA//phnI//cra//phnE_1//torR//dsbG//intQ//flgK//comR//ribA//flgF//mltF//glk//nimR//phoR//pdeH//bioF//
PhoP	efeU_2//pheS//aroH//pdxA//iscA//mgrR//patZ//murR//proL//ecpR//xapB//yegH//rstA//pdxA//pfkA//rybA//
PspF	adeD//
PurR	alaC//hslJ//valU//csrB//kbp//rpiR//pheU//dicB//dgkA//ygiZ//dhaR//yhjX//fepG//
RbsR	phoB//
RcdA	glmS//thrT//hflK//
RclR	flhA//glgS//hofB//
RcnR	fnrS//
RcsAB	recX//omrA//phnI//ydfX//gyrB//
RcsB	aroF//pheS//sbmA//recB//
RcsB-BglJ	ilvB//cysD//rarA//rpiB//fliD//yaiW//yeaH//hcaB//dinG//dnaG//phnC//
Rob	ppiD//
RutR	ttdR//
SdiA	ykgO//
SgrR	gfcA//bdcA//nlpA//yjjZ//fliM//ddpC//
SoxS	obgE//livF//ybfE//yjhB//dgcN//agaR//
SutR	kdpB//crl//
TorR	livH//
TrpR	gcl//flxA//rpsR//yncE//lexA//cysN//accD//dgcC//
TyrR	ydiV//hcaF//proL//
UidR	fbaB//
UvrY	fhuE//potG//
XapR	ppdD//xdhC//
YdeO	yeiW//yjjP//
YjjQ	ppc//gltI//recX//acrR//fldA//argI//ybhF//
YpdB	pgm//
YqhC	cysC//csrB//
ZntR	xdhB//
ZraR	pykF//
Zur	ppdC//flhB//argF//bdcA//hofP//
