#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	aspV//
Ada	zntA//yqaE//msrA//
AgaR	yeiP//alaW//dhaM//ilvY//gudD//metU//ydfE//
AlaS	alkA//
AllR	alsC//asnB//ydeI//fecR//tsr//phnN//hdfR//metU//ybbW//
AllS	ptrA//ykgM//leuP//
AlsR	ecpR//alaC//cysN//bcsB//tcyP//aaeA//
ArcA	flhA//artP//
ArgP	ygiZ//mpaA//infC//
ArgR	yafN//frc//cpxR//phnL//agaB//glxR//ydcV//gltK//lacI//omrA//paaY//bluF//hofC//gspB//
ArsR	aroH//proM//dgkA//
AscG	glnU//
AsnC	ariR//
BasR	alkB//
BirA	fliP//bioB//fadR//uvrY//uspB//
BluR	mukE//motB//creA//hemF//
BolA	pnuC//isrC//
CRP	ttdR//tsr//add//thiP//artP//dsbA//ycgR//phnI//fldA//yiiS//ariR//alsC//yegR//leuV//gpmM//livM//kdpF//ampE//osmB//argA//flgB//rpoD//ychO//ddpD//rpmA//tsgA//ilvB//purK//hcaE//rplU//ariR//wzxE//ykgM//wcaA//trmA//ykiA//dhaK//purK//thiP//metC//hofC//mgrB//yqjA//pepA//pgi//glxK//ttdA//ykgM//kdpC//hcaF//rffC//potH//kbp//hokE//potI//aaeA//yhdY//alsE//livM//ampC//ftnB//rdoA//flhB//pepD//mepH//ygbK//decR//pspF//
CdaR	bacA//rffH//fliM//tyrV//glpE//
CecR	uvrD//kbl//yfdE//motA//glgX//
CpxR	ftnB//glpG//lrhA//argB//phnF//dksA//mpaA//yjhC//glmS//argH//ompX//manA//purE//paaX//fabH//lrhA//flgC//ecpR//nimR//hofN//tyrT//efeU_2//serX//ymgC//mhpR//leuW//spf//zntA//lon//emrA//motA//argW//
Cra	trpE//rpiB//rpsR//obgE//dicB//fliO//rffC//ycjF//yhjC//fldA//tehB//mltF//gpmM//tsr//ung//
CreB	htrE//
CsgD	thiQ//ygbK//znuC//lrhA//mngA//ymgA//yoaC//ddpB//symE//
CueR	glnW//ivbL//
CynR	metU//alsA//xseA//uraA//
CysB	preT//ttdB//asnA//hchA//yaeQ//dgkA//cstA//exbD//ymjD//glxR//
Dan	purC//mhpT//phoR//malZ//
DhaR	purF//phoA//nlpE//motA//
DicA	yebG//gyrB//gor//trpR//polA//ybaT//mgrR//glpR//
DnaA	ampE//dsbC//
EvgA	emrB//psiF//gcvA//iraP//malZ//recB//ydjM//
FNR	pheV//rsmA//mqsA//fliP//ydbK//nadA//bdcA//kdpA//trpE//yafN//yjjZ//glgX//exbB//yhbS//ydcV//yegH//ydeJ//hofN//phnF//recX//ptrA//trpL//tpiA//glpR//ydjM//purB//fliN//
FadR	glxR//mukF//talA//flgB//pfkA//fliO//mukB//kbp//
FeaR	ysgA//
Fis	manA//hflC//uvrD//ysgA//flhE//grxA//ycgR//zraP//trmA//mcbA//efeU_1//gyrB//potF//ddpX//ybhG//sfsB//yegH//metF//ygeH//tadA//fecR//bioA//ygeH//trpL//ddpB//torR//infC//allA//gspA//flgB//ddpD//yfiR//decR//tyrV//argA//valU//fliL//ddpF//flxA//rof//gpmA//omrB//iscR//tpiA//asnA//phoR//cbpA//hokE//bcsB//iscR//luxS//folE//purK//lysR//ybjG//acrR//
FlhDC	hflC//fliS//artM//yccT//flgK//motB//yhjC//pgi//kbl//pspF//wcaA//argI//purE//rstA//ynjI//dkgB//cho//hfq//livJ//argI//purE//phnP//yhdW//leuD//ompN//glyT//bioF//rnlB//tufB//ymgC//xdhC//folE//purC//sgrR//phnN//kdpF//fliS//kbaY//
FliZ	omrB//
Fur	ycjF//tyrV//rdoA//yhbT//ppdB//rstB//ttdR//ydfN//ycjX//ydiV//yhbS//fepC//hofN//omrB//ydbK//rcsB//dsrA//rdoA//zraP//rmf//cyaA//glgB//entS//borD//
GadX	ampD//gltK//glnB//tktB//glgB//cheB//gltL//
GcvA	bioB//ppdA//
H-NS	uvrD//dsbC//yjeV//wecB//flxA//aroF//nadB//leuW//gudD//phnJ//rclC//hcaF//gcl//gpsA//
HU	agaR//nlpE//
HcaR	metF//rpiB//lrhA//fhuB//yfiR//yafO//
IHF	alaC//yfbR//rffH//umuC//speC//ynjI//cvpA//
IlvY	ycjX//isrC//
IscR	ynbC//dksA//hdfR//ubiG//thrT//speC//mngR//glgB//
KdpE	apaH//ydbK//ecpR//dacC//
LeuO	ybfE//argT//trxC//apaH//sfsA//xapA//
LexA	sbmA//nlpA//rpoD//agaS//erpA//yccA//zraP//fepC//zraP//pgi//pheS//asnB//yibQ//hofB//fhuA//tktB//csrB//ysgA//yneM//rarA//accA//yccT//yeiW//fabD//cpxQ//ydiU//cyaA//phnJ//phoB//ilvB//gcl//nadB//aaeX//potI//psiF//cynX//flhA//
LrhA	yccA//
Lrp	wzzE//livG//ubiX//argB//ycgR//cpdB//wzyE//alaS//kbp//yegH//phnO//ycjG//ycjF//sgrR//
LysR	uidR//
MalT	yfiB//
MarA	ilvC//xseA//
MatA	znuA//cysD//
McbR	umuC//
MetJ	bioA//uvrC//tyrT//wzxE//argI//
MlrA	fliR//ydfX//glmS//ygaC//mgrB//
MngR	glxK//insK//rffG//
MntR	ynbC//lacI//
MprA	exbB//glnW//ptrA//
MqsA	yciX//rpsF//
MurR	agp//
Nac	prs//symE//agaC//wcaA//ydfX//
NadR	ybfE//hdfR//dsbG//
NagC	add//speC//nohA//phnP//bioA//
NanR	argC//trpE//
NimR	cra//cheR//
NsrR	omrA//rybB//phnO//leuL//trxC//flhA//exbD//hchA//phoP//ykgO//garD//ybbY//ruvA//murI//ybhF//artI//grxA//cpxP//rffT//rof//azuC//yfdX//ybaT//artM//hflC//flgD//hokE//mntS//ykgO//mcbA//
NtrC	ppiD//metF//rplU//ampD//psiF//ychF//garD//nadB//ygaC//ydfN//cpxA//emrA//mgtA//fliN//livK//dhaK//rimM//
OmpR	yfiR//bioC//glgX//ynbB//
OxyR	rpsR//artI//phnL//kdpA//argB//ygiZ//yfdX//paaY//fepC//
PaaX	narQ//allS//
PepA	ppdA//
PgrR	mscM//fliM//yhbT//znuC//pdxA//kdpA//alsB//
PhoB	flgF//ygbK//slyB//rfe//ecnB//pykF//hdfR//ynbD//arcZ//mhpT//osmB//aaeR//glnV//wecB//slt//creA//phnE_1//hfq//mukF//fepG//rdoA//agaR//entS//ftsK//thiQ//bioC//flgE//bioB//mgtA//aspV//mukB//
PhoP	yagK//chiA//yqhD//sfsB//thiP//ddpA//sroA//metT//tyrB//tfaQ//rstA//ynbB//yeaD//uvrY//ppdC//rnlB//
PspF	rpiR//
PurR	yneM//cpdB//rpiB//oxyS//tfaQ//aroH//livK//phoE//argW//sxy//fabD//valY//yqhG//
RbsR	flhB//
RcdA	yqhG//ruvA//metC//
RclR	recB//glk//alsE//
RcnR	ygiZ//
RcsAB	infC//azuC//tbpA//valY//pheS//
RcsB	potF//hdfR//polA//ppdB//
RcsB-BglJ	glnX//btuB//secB//purK//agaB//ydiU//hflD//yhbS//valT//dsbC//tadA//
Rob	proL//
RutR	allS//
SdiA	ybfE//
SgrR	ynbA//omrA//bcsB//sdaA//potF//agaD//
SoxS	cbpM//mngR//wzb//exbD//rpoD//efeU_1//
SutR	cyaA//trpC//
TorR	yaeP//
TrpR	argR//leuQ//cvpA//insK//insD//ecpR//entS//amn//
TyrR	lysC//nlpA//mhpT//
UidR	mgtL//
UvrY	argR//phnC//
XapR	fhuA//obgE//
YdeO	fepG//preT//
YjjQ	omrA//yoaC//phoR//fnrS//ttdT//ilvY//ung//
YpdB	leuT//
YqhC	yafO//glgS//
ZntR	yciW//
ZraR	yafO//
Zur	phnN//livK//yaeQ//ybhR//allA//
