#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	fldA//
Ada	ubiX//trpE//exbB//
AgaR	xdhC//ruvB//borD//tyrU//ydfW//btuB//add//
AlaS	trmD//
AllR	accD//fnrS//fliS//dksA//ycjF//zntA//cheY//glnV//leuA//
AllS	yfiB//osmB//pspF//
AlsR	cyaA//dhaR//ttdA//ygiZ//gspB//xdhA//
ArcA	ddpF//ppdC//
ArgP	yebG//mngB//yafO//
ArgR	alsC//dgkA//mcaS//lysC//glnV//ppdC//gyrB//ydeJ//allS//rpoD//hyi//upp//ydfW//phnI//
ArsR	fecI//msrA//murR//
AscG	frc//
AsnC	rpiB//
BasR	thrW//
BirA	ydiV//iscS//gcl//rcsD//yhfA//
BluR	fecI//yciW//leuV//slt//
BolA	fabI//agaS//
CRP	hofO//thiQ//dinB//nimT//tktB//ryhB//tcyP//yfiB//cysN//ppdC//ftnB//cecR//phr//leuW//valU//efeU_1//fadM//phoB//fliT//argI//valT//phnC//trpR//fldB//yhbE//cmoM//flgC//purL//yhjX//wecB//cdaR//add//livF//thrS//ynbA//yjjZ//cynS//gor//mepH//ydiU//manA//pdeH//metA//sgrR//cmoM//dsbA//yafN//metF//yciW//lrhA//tbpA//rnlA//pheV//queA//talA//ycgR//ddpD//yfdX//agaC//cheY//fldA//rffG//leuB//agaS//iscU//ung//infC//lacI//
CdaR	yafP//eno//arfB//iscU//preT//
CecR	polA//wzyE//agaB//glxR//phr//
CpxR	trpC//uvrC//trmD//cecR//alaW//mukF//cheB//flgE//ppiD//mgtL//valX//sroA//mqsR//flgF//thiP//argA//leuW//ivbL//ddpF//aaeB//pdeH//ygeH//cra//patZ//speB//topA//cheY//ppdA//aaeR//grxD//tyrB//trmA//
Cra	glgB//lon//hofN//ilvY//cynT//hemF//purB//rffG//sbcD//recN//bluF//argF//artQ//yidL//fecI//
CreB	priB//
CsgD	seqA//yfiR//tonB//ecnB//mhpR//ftnB//add//ldtD//ybhG//
CueR	arsR//rcsD//
CynR	copA//hfq//purF//znuB//
CysB	ycjX//malZ//mgrR//wecB//bluF//artM//xapB//prs//wzzE//hemF//
Dan	ppdA//glnB//yqhG//tadA//
DhaR	rplS//phnI//rfe//torR//
DicA	yneM//uspB//mltF//acrR//lysV//hemH//argB//avtA//
DnaA	purK//grxA//
EvgA	phoR//aaeA//phnG//fabI//uspE//ompN//tynA//
FNR	ddpA//sfsA//nlpA//yoaC//yhdY//gudD//yjhC//lolA//rpmA//ygaC//yfiB//emrA//cpxP//glxK//yfiB//polA//ppiD//phnG//phnG//artM//alsA//cysE//iraD//ycgR//recN//htpG//dsrA//
FadR	ydfH//topA//lysV//ttdA//ymgC//efeU_2//psd//ychH//
FeaR	nadC//
Fis	ydiV//phnF//ddpF//bdcA//mngR//fliP//yaiW//gcvA//sgrR//leuT//recX//glnW//arsC//yhhY//insD//ydfW//yojI//sxy//dhaR//argB//ychF//valT//btuB//glxR//acrR//yccA//rcsB//glpG//argH//yidQ//yccT//ddpD//argI//ydeI//fabD//uraA//pheV//hslJ//fldA//uspD//yafN//iscA//rstA//grxA//ymgC//acrR//ymgC//fabI//speB//ycjG//mprA//accD//yeaG//sbcD//ynbA//fruK//
FlhDC	yoaC//dkgB//arfB//proL//aroF//queA//ykgO//yecT//glk//agaI//wzzE//flxA//secB//kdpC//tyrU//ydjM//azuC//adeD//mltF//yneM//btuB//znuA//trpD//ymjC//sroA//aaeR//cstA//uidR//bioF//isrC//murI//rclA//paaY//rpmA//mcbA//tar//ydfD//asnB//
FliZ	lysO//
Fur	uraA//yciW//phnL//ttdA//tpr//emrB//wzxE//pitB//ibpB//ppdD//garD//gltI//kdpA//rcsD//mcaS//mngB//ybhL//rpsP//efeU_2//ygiZ//luxS//leuW//wzxE//hofB//
GadX	trpL//tufB//alaA//bioD//queA//mukB//rof//
GcvA	cecR//fnrS//
