#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	ycjF//
Ada	mltF//paaY//allE//
AgaR	trpA//wzxE//dgkA//serT//proK//rstA//bioC//
AlaS	gpmA//
AllR	pykF//flxA//dgcC//dsbG//bioA//valT//cysK//motB//dinQ//
AllS	gspB//ydbK//wecC//
AlsR	sbcD//sroA//rmf//asnB//ldtD//fliO//
ArcA	sohB//rcsD//
ArgP	uspB//hofC//iscR//
ArgR	cysN//polA//btuB//decR//amiA//potH//dinD//copA//dinB//luxS//phnL//arsB//rybB//ddpD//
ArsR	pitB//ygiZ//recN//
AscG	slyB//
AsnC	ptrA//
BasR	phoE//
BirA	motB//yegR//pitA//rfe//yjjP//
BluR	adeD//glmS//alaW//bcsB//
BolA	ibpB//ydfH//
CRP	pitB//fnrS//cpxQ//hofN//amiA//cpxR//iscS//xdhC//tyrA//hofN//grxD//dgcC//uspD//cysN//lysV//ppiD//cheY//exbD//agaR//pepD//ptrA//uspB//alaS//ampC//entS//alsB//yhfA//emrA//sroA//ydcU//mcaS//rnlA//mzrA//manA//valU//yfdV//infC//dgcN//tyrV//yeiW//leuV//decR//phoP//ydiV//mscM//secB//polB//yneM//uspD//phnM//yafP//cstA//purF//iscR//ychF//hofN//lysW//ykgO//fliQ//pspF//agaD//kdpB//ribA//flgK//fhuB//yfiR//isrC//flgJ//
CdaR	cynX//tsgA//ymjD//glxR//ompT//
CecR	iscS//ydfE//flgH//garD//glk//
CpxR	phnJ//ydjM//xseA//dacC//ydfX//phnL//thrS//proK//treR//phoH//argX//ftnB//intQ//glmU//rclB//ivbL//lolA//cpxA//exbD//ivbL//hofC//kdpC//tyrA//ydfE//rdoA//rpiR//phoB//alaC//yfiB//hfq//lon//yneM//
