#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	lysW//
Ada	tyrU//rof//cpxP//
AgaR	ddpF//xdhA//fepC//cbpA//leuW//gcl//dhaK//
AlaS	flgC//
AllR	wrbA//agaS//ilvN//dgkA//znuC//tpiA//hofM//wza//rffG//
AllS	ycgR//yidQ//dinD//
AlsR	rdoA//rpsP//manA//lysW//mlrA//ftsK//
ArcA	murR//azuC//
ArgP	ydfN//murR//sbcC//
ArgR	hchA//polA//flgD//kdpA//pdxA//ecpA//ydcS//frc//trmA//hflD//ydeA//hofP//dgcN//alsA//
ArsR	motB//gspA//ldtD//
AscG	fliO//
AsnC	flgC//
BasR	ygdB//
BirA	prs//rstA//gspB//yhhY//ymgC//
BluR	fruA//mlrA//argC//hfq//
BolA	fecR//tap//
CRP	yjjP//fhuC//alaA//asnB//tktB//valT//ynbB//potF//dgcC//phnG//bioA//iraD//glk//glgS//dicB//grxD//fabH//rffM//yeiW//fruB//htrE//ihfB//ydcS//leuW//htrE//glgS//ydcV//leuA//hokE//ecpA//ariR//yncE//lysV//mgrB//rcnR//rpiR//livH//dinD//ygiZ//oxyS//ygeH//accA//gcvB//cho//ydbK//yncE//thiP//metU//gltJ//iraD//hofO//lysC//argR//mltF//ttdT//yqaE//rpsF//nadA//hslJ//yeaE//hyi//hflK//leuT//kbl//psd//allE//arsB//trxA//
CdaR	rof//pdxA//ygiZ//phnL//wzzE//
CecR	tap//ivbL//creB//ruvA//cysN//
CpxR	gpsA//hcaF//ldtC//hslJ//ymgA//hokE//folE//leuB//pheS//gudX//ddpB//slyB//dsrA//ruvA//phnD//raiA//tsgA//leuQ//glxK//ydeA//murI//ibpB//ddpD//phoH//rplS//flgC//creB//cysC//rpsR//insK//ybhR//ydcS//
Cra	glnU//leuA//polA//ppdA//hyi//dinG//phoB//slt//gfcA//potI//rybB//agaB//ychF//ychH//ydjM//
CreB	argF//
CsgD	agaD//cysN//thiQ//yafN//phnN//trpB//phnF//omrB//hemF//
CueR	dnaG//potH//
CynR	rffM//agaS//argT//alaX//
CysB	efeU_2//flxA//psiF//rsmA//xseA//rclC//ppdA//topA//lacI//fliM//
Dan	glpR//tisB//hofN//fliR//
DhaR	xapB//valX//pheS//pheU//
DicA	rnlA//ydcU//thrT//fhuA//allA//glnX//mqsA//ryhB//
DnaA	lon//rarA//
EvgA	wecC//cheA//rof//potH//rpsU//argW//sgrR//
FNR	phnE_2//mcbA//tap//ymgA//osmB//dapD//murI//ppdC//insK//dinF//ydfD//alaA//tisB//ppc//trmA//dgcC//zraP//lysV//ydcT//serT//rybB//oxyS//ung//cstA//gltJ//allS//paaX//
FadR	yaeP//trpL//fldB//dapB//wecB//ariR//eno//ychF//
FeaR	leuP//
Fis	uidR//tehB//hofB//alaX//cheW//fadR//ydfN//psiF//hcaF//yeiP//glyU//pgpC//ysgA//rpsP//dsbA//wza//adiY//fliQ//bioF//ompX//yccA//arsB//znuB//ampD//phnD//ppc//garD//tcyP//phoE//livM//yiiS//gor//phnM//kbaY//gcvB//thrU//wecE//gpmM//fbaB//phoB//yfdX//raiA//yjeV//cvpA//ybjG//ydcV//paaY//rpoD//glmU//fabD//ymgC//speC//dacC//flgC//flgG//mngA//
FlhDC	wcaA//ycgZ//wzc//cmoM//pfkA//mgrR//hfq//murR//fecI//wcaB//zraP//allS//leuP//amiA//glpE//mipA//yebG//hofN//valU//rnlB//ybbW//dacC//osmB//potH//artQ//alaS//tehA//znuA//yaeQ//cvpA//recN//leuD//fldA//polA//pgi//tehA//flu//ycjG//
FliZ	phnF//
Fur	priB//ariR//ruvA//xdhC//arsC//lexA//yaeQ//wrbA//tehA//bcsB//fliR//rarA//tufB//gcl//wecC//allS//flgC//metC//ybhG//ydiV//decR//agaI//pykF//psd//
GadX	rpsF//znuC//iscR//rpsP//hslJ//trmD//psd//
GcvA	ung//msrA//
H-NS	dsbA//kdpC//folE//argI//ecnB//bcsB//leuA//rffT//glpG//flgH//gltI//hisR//tonB//ampC//
HU	glmU//potH//
HcaR	sbcD//trxC//tyrV//phoE//secB//potH//
IHF	dgkA//xdhA//yeaD//serX//fepG//ykgM//sfsB//
IlvY	mscM//patZ//
IscR	decR//crl//leuT//preA//ybhG//fbaB//ldtC//fhuE//
KdpE	agaR//ilvB//cmoM//yeaE//
LeuO	omrB//fhuD//uidR//livK//tehA//bcsZ//
LexA	grxD//livF//priB//ecpR//phnI//leuB//umuD//fbaB//sohB//trxA//metC//glpR//potH//arcA//fliR//metC//phnJ//seqA//cpdB//arsB//dinD//livM//ycgZ//argA//pitB//comR//talA//preA//mngR//yeaG//yqaE//hcaC//serT//recN//fnrS//rpsF//yegR//
LrhA	trpA//
Lrp	purF//mcaS//gfcA//lacI//wecB//ydbD//hofN//nadA//glgS//artJ//trpL//thiQ//raiA//glgS//
LysR	serX//
MalT	gltJ//
MarA	polA//tpr//
MatA	yaeQ//yjjZ//
McbR	ydbD//
MetJ	hcaR//narQ//frc//tadA//ihfB//
MlrA	flhE//lysR//kdpC//sroC//glgB//
MngR	ruvB//rnlA//phnD//
MntR	dapD//wcaB//
MprA	rclA//cysK//rpsR//
MqsA	recX//phoH//
MurR	ubiG//
Nac	yeaH//ybhR//pagP//glgB//amiA//
NadR	artJ//valT//pagP//
NagC	rpiB//wecE//yafO//rpsP//phnI//
NanR	mngB//comR//
NimR	pheS//glnV//
NsrR	sgrR//leuV//flu//phoR//gor//omrB//iscR//wcaA//valT//ycgR//cbpA//lacI//recB//flxA//cheR//argI//ppiD//insK//dsbG//ydiV//recC//kdpF//pfkA//hcaD//sbcC//ompT//flgE//fhuD//tar//nlpE//
NtrC	dsbG//dkgA//fabI//sutR//dicC//cheW//hofC//tonB//glnX//rnlB//hflX//trpE//purC//omrB//uvrD//mukB//wzxE//
OmpR	flgC//dacC//ybjG//cstA//
OxyR	glgB//flgG//fruK//yqjA//ydiV//mqsA//fliR//wzb//cpxA//
PaaX	slt//acrR//
PepA	yibQ//
PgrR	ymjC//hflC//ygbK//flgJ//glnU//omrB//potH//
PhoB	ivbL//apaG//phoH//glgB//avtA//mhpT//apaH//purK//thiQ//cysD//aaeB//dhaK//dsbG//argW//fldB//glyU//alaX//ynbD//phnH//dsbC//glgS//argE//hflC//phnG//argX//cheY//psiF//flgI//phnJ//emrB//umuC//
PhoP	kdpC//ddpB//cmoM//hyi//mqsA//ariR//speC//tdh//secB//hchA//ampE//lysR//xapA//gfcA//yfdV//wzb//
PspF	aaeA//
PurR	valU//yecT//gltJ//luxS//bacA//hcaD//dgcN//ycgR//psiF//allB//ybhG//artM//iscU//
RbsR	agaD//
RcdA	tsr//mcbA//ubiG//
RclR	fhuD//valT//xdhA//
RcnR	phoH//
RcsAB	ynbA//flgE//bacA//livM//ycgR//
RcsB	rpoD//flgB//mgtA//yeiP//
RcsB-BglJ	priB//ubiX//hflX//yneM//glgX//yecT//add//yaeQ//dinD//phnD//leuC//
Rob	lysU//
RutR	hofP//
SdiA	livJ//
SgrR	yafO//nimT//uvrD//flhA//gcl//hokE//
SoxS	cheA//tdh//mukB//rybB//bdcA//ygbK//
SutR	motA//ydeA//
TorR	hofN//
TrpR	ecpR//folE//mgtL//ruvA//pspF//ydbD//rsmA//zraP//
TyrR	bluF//tpr//ung//
UidR	fabG//
UvrY	dicC//wrbA//
XapR	ampD//recC//
YdeO	dsbG//fruK//
YjjQ	purK//fldA//ivbL//frc//bluF//lysU//ybaS//
YpdB	arsC//
YqhC	alsC//ydfD//
ZntR	tdh//
ZraR	leuA//
Zur	yafN//argR//exbD//yhfA//ydiV//
