#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	mgtL//
Ada	fhuA//pitB//arsR//
AgaR	mhpR//cheB//amn//mepH//hisR//alsA//argU//
AlaS	bioF//
AllR	copA//leuV//ttdA//yoaC//recA//iscU//ubiG//ygaC//nadC//
AllS	metU//yfdE//recC//
AlsR	pepD//ivbL//ygbK//alaS//uvrY//tdh//
ArcA	ynjI//xdhB//
ArgP	seqA//allC//aroF//
ArgR	rutR//paaX//flhB//tyrU//yaiW//leuD//gcvB//ampC//dgkA//metC//ppdC//ttdB//cecR//potF//
ArsR	ttdB//alsB//emrA//
AscG	flgI//
AsnC	allD//
BasR	glk//
BirA	proK//motB//sxy//phoE//nadA//
BluR	yneM//phnK//ycjY//purF//
BolA	purL//glnB//
CRP	tsr//tufB//pepT//trpA//ycgZ//alsC//yeaD//dhaM//amiA//thrW//leuT//gudX//rstB//xapA//argU//ddpB//talA//glpG//lysT//fabD//cheY//cynX//ihfB//upp//sbmA//sgrR//htrE//cheZ//insK//cheW//ykgR//argC//uvrB//artM//ykgR//phnF//sbcD//dinF//fliT//sroC//fhuB//cheW//ysgA//allC//slyB//mgtA//valT//rplI//garD//folE//lacI//thrT//ydcT//fabD//allD//fruB//hflC//yeiB//valT//purF//yiiS//arsC//intQ//yecT//patZ//wzb//mepH//omrA//
CdaR	alsC//ycgZ//yfdE//yaeQ//ruvA//
CecR	fbaB//fepG//ptrA//rarA//hofO//
CpxR	bacA//hofN//spf//yegZ//sfsA//umuC//gudD//lrhA//yegR//ptrA//purK//yaeQ//hofM//ribA//mlrA//fnrS//narQ//yeaH//patZ//fruK//aspV//valT//rpmI//argT//ubiX//dhaM//kdpC//pheT//glpE//thrT//alaX//dsbG//
Cra	gltL//recA//arcA//bdcA//kdpC//wzxE//yhjC//cueO//ariR//ykiA//uvrC//mlrA//wzb//rof//aaeA//
CreB	dacC//
CsgD	ydfE//glnW//ychF//rcsD//phoE//yfiB//ecpA//arcA//rcsB//
CueR	gcl//hofC//
CynR	yfdE//gltJ//ymjD//ymjD//
CysB	uspE//wzyE//ybhF//xseA//ampE//sroA//ddpX//argF//rpsR//uspD//
Dan	dsbC//proL//xapA//glnX//
DhaR	symE//leuB//ampE//tar//
DicA	thrU//tap//bacA//glpR//iscS//ydcV//flgL//mgtL//
DnaA	yhdW//pnuC//
EvgA	rpmI//lysU//nadA//iscU//wzb//agaS//yeaD//
