#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	agaS//
Ada	insK//wzb//dkgA//
AgaR	pykF//wzc//ybaS//glyT//ydfE//gltI//tpiA//
AlaS	glgS//
AllR	ynjI//hemH//wecC//mqsR//speA//alsB//fhuD//rffH//ybbW//
AllS	sfsB//dsbA//cbpA//
AlsR	ubiX//leuD//insD//glpR//kdpC//bioA//
ArcA	rof//rstA//
ArgP	yhbS//yegR//fbaB//
ArgR	hisR//ompT//ddpD//aaeR//glnU//ruvA//ttdT//ygiZ//gyrB//erpA//phoA//ppdC//add//speC//
ArsR	dkgB//yciW//argH//
AscG	pepA//
AsnC	lysW//
BasR	uspE//
BirA	insD//allS//rclC//ybhF//ydcT//
BluR	polA//sfsA//rpmI//tyrU//
BolA	lacI//nlpA//
CRP	csrB//fruA//yaeQ//ldtC//ppdB//leuD//amiA//ychO//speC//hofC//omrB//uvrC//psd//cho//livH//uidR//cdaR//leuQ//rpoD//serX//cheY//upp//tcyP//fldB//iraD//yhdW//ppiD//dhaK//mcbA//thrT//agaI//ecpA//glxK//tpr//phr//flgI//allD//yhjC//iraP//ynbA//kbp//exbD//xdhB//cynR//btuB//mngR//dhaR//yjjZ//cheY//ymgA//argF//ynjI//aaeX//agaR//wza//luxS//hofM//speB//folE//yjjZ//zntA//secB//aspV//ynbA//rffT//tap//slyB//flgD//
CdaR	recC//mhpT//hchA//aspV//mngA//
CecR	osmB//yaeQ//serT//fbaB//spf//
CpxR	recB//ddpB//ynjI//ygdB//rfe//hemF//flgC//secB//cheR//rcnR//ydfH//argF//queA//nimR//phoB//rpiR//dicC//pdeF//rstA//gltI//valY//seqA//murR//isrC//ychH//yecT//leuQ//cdaR//argW//rpoD//tdh//ddpB//
Cra	umuC//thrT//ydjM//ibpB//yojI//leuP//dinQ//yecT//grxA//mngR//mhpR//dsrA//recN//tktB//rnlA//
CreB	ydfW//
CsgD	yoaC//leuB//phnM//wzc//seqA//pfkA//purB//pitB//rfe//
CueR	nlpE//phnO//
CynR	flgK//wrbA//mgtA//ynbA//
CysB	dapD//phnI//gspB//bluF//rpsF//htrE//ykgM//tonB//phnE_1//cynR//
Dan	fruA//arsR//fliN//mngB//
DhaR	purL//dsrA//asnB//ddpD//
DicA	hcaD//ptrA//ruvA//rffG//fabI//hofM//alsA//gudP//
DnaA	yhdY//kbaY//
EvgA	nadB//metJ//mqsR//nlpE//sbcD//artI//rstB//
FNR	agp//cpdB//topA//rpsR//ynjI//tktB//phnC//tdh//ydiU//psd//ihfB//ynbC//purC//rpmI//thrU//acrR//frc//phoR//hcaD//gfcA//flu//wcaB//ppsA//tar//yccJ//gltX//rpsP//
FadR	fliN//yidQ//znuC//ada//cysD//artQ//fliL//rffM//
FeaR	rpsR//
Fis	hfq//tsr//trpL//pgpC//pdxA//msrA//livH//xapA//dinB//dacC//leuP//recD//dinB//asnA//flgD//cheB//glnV//ttdA//glgX//ddpF//kdpF//argB//cra//gor//pdxA//fabH//bcsB//purC//yncE//metT//hflD//glnX//ygaC//nadC//fldB//glnB//yhhY//ampD//leuW//wzxE//gcvA//ilvC//cynS//yjhB//phr//ykgO//fliQ//acrR//yjhB//glyT//dhaL//eno//iscS//cyaA//potH//queA//
FlhDC	pitB//phnK//ysgA//yhjX//hchA//artQ//fliT//yhbE//cynR//pagP//glnW//fliP//ynbD//pgm//fruA//ydbD//sroA//osmB//ihfB//trxC//hyi//entS//bioD//livJ//glnB//nlpA//fnrS//cysD//hisR//ybbY//cdaR//fldB//ftsK//fliD//fruB//ribA//recX//rnlB//
FliZ	ruvB//
Fur	pepT//wcaA//cvpA//trmA//sroC//dhaK//ycjX//leuB//fliL//gor//kbp//sroA//yeaG//cdaR//dsbC//fliP//gltK//glmS//argA//argE//ybaS//glgB//argU//osmB//
GadX	hflC//ydeA//uraA//yjeV//ybhR//ttdR//yqjA//
GcvA	rutR//iscS//
H-NS	recC//bluF//flgA//hdfR//ubiX//rclA//fecI//bcsB//pfkA//ysgA//dhaR//wcaB//iscA//patZ//
HU	accA//ycjF//
HcaR	bdcA//uspE//yhdX//kbaY//umuC//ydbK//
IHF	rimM//uspD//apaG//kdpC//yagK//dhaM//mgrB//
IlvY	asnA//ynbD//
IscR	sroC//mepH//emrB//zntA//yfdE//potI//ydbK//fabH//
KdpE	fabD//patZ//ybbY//ttdR//
LeuO	cysE//flgG//aspV//pepA//hflX//ybbW//
LexA	ybhG//tyrB//leuX//yeaE//thrU//mepH//comR//ybhF//pspF//artJ//uraA//mhpT//entS//kbp//fruA//dhaM//yeaH//amn//intQ//kdpB//ung//ycjG//uvrC//recB//glk//iscR//fliT//kbaY//fnrS//rybB//dsrA//rpsR//yecT//ppiD//phnE_1//znuC//sbcC//
LrhA	bdm//
Lrp	ydcU//gpsA//tyrB//ybjG//tyrT//patZ//apaH//yccT//ttdT//spf//phoP//xdhC//apaH//csrB//
LysR	ddpX//
MalT	ariR//
MarA	yegZ//pagP//
MatA	slt//yaiW//
McbR	flgH//
MetJ	priB//rpsU//tpr//mgrR//leuQ//
MlrA	hfq//ynbB//phnJ//alsA//pykF//
MngR	phoP//phoP//ybhF//
MntR	mukF//glpR//
MprA	ttdA//ecnB//dhaR//
MqsA	arsC//allE//
MurR	fliD//
Nac	mipA//trpA//fabD//dapB//pgm//
NadR	flu//rclB//pgi//
NagC	fecI//cheB//xseA//livJ//phnK//
NanR	livK//ydfN//
NimR	ymgA//ynjI//
NsrR	fliS//yfiB//alkB//xapB//entS//mgtL//agp//hflD//hchA//recD//rffH//mlrA//dsbC//ydeJ//tfaQ//rarA//metU//ydbD//manA//phoR//avtA//phoP//alkB//agaC//rybA//glgB//fabH//mgtA//alkB//pheU//
NtrC	pspF//trmD//envC//speC//yjjP//cheA//comR//pitA//secB//argU//ynjI//thrS//cysD//copA//ybaT//tyrV//phnL//
OmpR	flgJ//ompN//sgrR//murI//
OxyR	motB//trxC//hflD//yciX//sgrR//umuD//ompN//luxS//ilvN//
PaaX	fepG//leuT//
PepA	ptrA//
PgrR	ybfE//potF//rnlB//rffM//aspV//efeU_2//psd//
PhoB	yqjA//luxS//flhA//rclB//glmU//tyrT//dsbA//yfiB//ybbY//purF//dinD//fepC//mqsA//torR//rpsF//ppsA//livK//tadA//pagP//pepT//pdeF//pgi//flgH//yfiB//yjjZ//argI//bacA//fabG//alsA//fruB//yfiR//
PhoP	mukF//phnE_1//mngR//potG//insD//fadR//recX//fliT//fruK//slyB//arfB//rpmI//ampC//kdpF//gcvA//crl//
PspF	garD//
PurR	leuC//yeaE//msrA//cvpA//rffT//mzrA//torR//uraA//psd//copA//malZ//uspE//yqjA//
RbsR	xseA//
RcdA	alaA//flgI//yeaE//
RclR	rclB//alsC//hcaC//
RcnR	yhbT//
RcsAB	tfaQ//tsr//gpmM//ychO//ppdA//
RcsB	tktB//bacA//ompX//patZ//
RcsB-BglJ	sdaA//hflC//glnU//adiY//yebE//glnV//iscR//ymiA//mqsA//upp//phnL//
Rob	kdpB//
RutR	rplS//
SdiA	yeaE//
SgrR	glk//fepD//lysW//flgI//thiP//patZ//
SoxS	bdcA//insK//yegZ//glk//mzrA//paaX//
SutR	ydfW//serX//
TorR	paaX//
TrpR	ydeA//trpC//pgm//hemH//purL//sroA//rdoA//arsB//
TyrR	argT//argT//flgJ//
UidR	yhdW//
UvrY	recC//yegR//
XapR	grxA//lysR//
YdeO	cynX//trxA//
YjjQ	wrbA//aaeR//phoE//tpr//gyrB//yeaD//grxA//
YpdB	arsC//
YqhC	ybfE//leuA//
ZntR	leuQ//
ZraR	dinF//
Zur	pitA//thrS//gcvB//ompX//grxD//
