#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	fruK//
Ada	glnW//pgm//rpiB//
AgaR	yhjC//apaG//comR//yoaC//sfsB//hcaD//dinB//
AlaS	mntS//
AllR	dgkA//glnU//ompT//trmA//sgrR//paaX//emrA//yqhD//lon//
AllS	tpiA//fliT//glnB//
AlsR	pepA//rffM//sutR//ybaT//phnF//cpxA//
ArcA	uspB//ruvA//
ArgP	tpr//umuC//wcaA//
ArgR	phnC//valX//hcaB//zraP//livJ//rarA//uraA//ycjG//pepA//fhuC//ycgZ//trpC//efeU_1//znuC//
ArsR	kdpA//ygdB//wzyE//
AscG	adiY//
AsnC	glgX//
BasR	rpmI//
BirA	speA//ampE//livM//trpL//potH//
BluR	glk//mprA//livM//ydfX//
BolA	adiY//thrS//
CRP	artP//wza//ybjG//uvrY//dsbC//bacA//ygeH//dapB//alsB//arfB//flhA//frc//ppdB//lysU//yfiB//yhbT//raiA//recB//ycgZ//hflX//potG//patZ//bluF//recX//yaiW//msrA//gudP//ydfN//asnA//leuP//yaeP//htpG//mprA//mltF//allA//kdpF//mscM//yfdX//fepD//ddpX//znuA//kbaY//wcaB//uraA//pheU//yhdW//paaX//yqjA//pgi//fecR//cysD//phnH//dgcC//hflK//bioC//tcyP//yjjZ//uspE//trxC//ydiV//phnD//ydbK//talA//lacI//yfiR//yibQ//omrB//purE//
CdaR	emrB//leuL//ychH//fhuA//acrR//
CecR	ecnB//ilvB//recC//ymjC//infC//
CpxR	rpsU//phoH//ecnB//znuC//wzc//tktB//ilvN//trpR//hofP//ecpA//wza//glpE//mngR//cysK//hofM//ecpA//agaS//rcsB//isrC//glnW//yfdV//fruB//accD//yeiP//mukB//sohB//murR//yhdZ//mhpT//mntS//hofO//alkB//
Cra	ilvN//arsR//ttdR//gpmM//kdpB//alaW//ftnB//aspV//upp//ibaG//csrB//adiY//efeU_1//cysE//frc//
CreB	ppdA//
CsgD	entS//aspV//mcbA//fabI//rffC//ydeJ//ppdA//mscM//fabH//
CueR	yhbS//lrhA//
CynR	phnH//msrA//dapB//fhuA//
CysB	hofC//aaeA//ampC//yhfA//pgi//yidL//murI//tonB//livF//pheV//
Dan	accA//arsC//symE//fliN//
DhaR	amn//znuA//wecB//ygeH//
DicA	lolA//fnrS//uspE//pepT//tadA//wzxE//ycjG//fhuB//
DnaA	leuB//mipA//
EvgA	rclC//ilvY//ecpR//gltL//livM//ycgR//glyT//
FNR	dsbG//uvrY//leuD//rffH//ydcT//agaI//proK//mpaA//mqsR//cpxP//tisB//yfdV//yfiR//thrW//sxy//cheZ//dgcC//amiA//iraD//trmD//tdh//ydeI//glgB//trpB//phnF//ydbD//yeaG//
FadR	ppdB//ppc//fruK//pheU//livM//fhuC//yafO//flgA//
FeaR	yegR//
Fis	preA//yjjP//folE//dsbA//ecnB//alaW//rcsD//copA//fliO//argU//ychF//yjhC//ung//gudP//sxy//hflK//fruA//accD//psiF//yjhC//cheA//fldA//flu//trpA//speB//fruB//malZ//pheS//wecC//apaH//fliT//pepA//aaeR//ddpD//garD//tpiA//ynbD//pheT//rplU//pdxA//wrbA//metJ//gor//ddpD//wzc//yidL//murR//dhaR//nadB//trxC//flgC//upp//bioD//ymjD//iraP//tpr//
FlhDC	yhbE//phoE//ycjG//allB//hcaR//xapB//bluF//gltJ//grxA//ydbK//hemH//pepA//trpD//metC//phoE//amn//valU//aroH//luxS//tsr//agp//wcaB//ecpR//dsrA//ychF//ynbD//oxc//leuD//trpB//msrA//hcaD//glk//lysT//speA//phoH//fliR//aspV//hcaB//
FliZ	arcZ//
Fur	recX//argF//ttdR//tpiA//dhaL//ymiA//ldtD//cynX//dapB//phr//ppiD//murR//ymjC//dhaM//hcaB//hokE//ppsA//dhaR//ldtC//rffG//ydeA//dacC//ddpX//ymgA//
GadX	ampE//yhjC//iscS//umuD//uidR//eno//ygeH//
GcvA	xdhA//hcaR//
H-NS	phnD//flgC//phnM//ychH//artQ//hcaE//aaeA//fabH//fepD//tadA//artI//tap//hcaE//pfkA//
HU	ydfE//yafO//
HcaR	ydcT//rpmA//bcsB//gltX//uspB//hcaE//
IHF	pepD//dicB//obgE//livK//ydfD//yeiW//ruvA//
IlvY	azuC//ibpB//
IscR	yjhC//fliQ//rplU//osmB//bluF//dhaL//yhbE//pheS//
KdpE	agaS//cra//dinG//agp//
LeuO	yfdV//potI//fliD//dgkA//sbcC//mngR//
LexA	fliP//ydfW//adeD//thiQ//tehB//purF//ampE//lysT//livJ//bcsZ//argU//spf//nadB//slt//mngB//yfiR//yagK//lysT//yaiW//gltI//cpxA//hflC//xapB//rsmA//prs//potG//lexA//cpxP//mgtA//ilvN//omrB//slt//tcyP//alaC//xseA//livM//purF//
LrhA	phnP//
Lrp	ychH//ymgC//umuD//flgK//rpmI//purC//gcvA//patZ//tpiA//xapA//tadA//ybaS//yhdX//mngR//
LysR	cpxQ//
MalT	serX//
MarA	ubiX//phnE_2//
MatA	add//ppiD//
McbR	phoB//
MetJ	tufB//dsrA//ybhR//omrA//phnE_1//
MlrA	ppc//pheS//bioC//nlpA//livJ//
MngR	ydcT//valY//ykgM//
MntR	yibQ//ynbD//
MprA	agaR//ydfH//trpA//
MqsA	phnL//ybhL//
MurR	fabD//
Nac	ybfE//rybB//rffG//erpA//dinG//
NadR	argU//cynT//upp//
NagC	bioB//ilvB//ihfB//glpG//ddpD//
NanR	leuQ//hchA//
NimR	ddpC//ampC//
NsrR	gudP//pgm//ydfN//tcyP//leuB//ynbD//ymgA//nohA//obgE//fepC//yafP//hemF//allA//ppdC//gyrB//yidL//dgcC//leuV//arsC//wzzE//rclB//pgm//cheA//wcaB//trxA//glxK//fepC//trxC//sroA//metC//
NtrC	narQ//yhdY//ybfE//hofM//dnaG//flhE//recB//manA//upp//kbl//phr//argX//alsE//htrE//dgcN//tfaQ//gcvB//
OmpR	ruvA//fhuD//hflC//psiF//
OxyR	ydfE//tpiA//yhhY//mgtA//sdaA//yeiP//hcaB//pepA//ihfB//
PaaX	flgA//bcsZ//
PepA	mukE//
PgrR	arsB//insK//dsbG//rcsD//rmf//mprA//fabG//
PhoB	gltI//sgrR//fnrS//valX//aaeR//lysV//rof//phnG//csrB//dkgB//pdxA//cho//umuC//gltJ//aaeB//fruB//crl//yaiW//tyrU//hokE//nimT//exbB//rstA//isrC//dicB//rplU//artP//efeU_2//yneM//ddpD//mgrR//
PhoP	adiY//copA//dinG//glnX//rutR//cheZ//hflX//argF//yegZ//hcaF//ydfN//fliQ//fhuE//hfq//cheY//hokE//
PspF	polB//
PurR	phnH//hflX//exbD//agaR//malZ//oxc//argT//cstA//fliR//yqaE//gpmA//lysC//rcsD//
RbsR	spf//
RcdA	ymjD//argU//mngA//
RclR	ycgR//yfdV//kdpA//
RcnR	ydeI//
RcsAB	ykgO//phoH//hcaB//kbp//ynbA//
RcsB	gyrB//yfdE//cysN//valU//
RcsB-BglJ	rpiR//rsmA//ydcU//argC//potH//fhuE//purF//obgE//wzc//yeiP//lysO//
Rob	aroF//
RutR	argI//
SdiA	artP//
SgrR	yfbR//fabI//alsB//uspB//yebG//lon//
SoxS	folE//hcaC//crl//alaS//recC//rpsP//
SutR	leuP//znuB//
TorR	ppiD//
TrpR	rclA//ynbC//yfdE//grxD//fliN//ppdC//comR//avtA//
TyrR	bacA//mukE//oxc//
UidR	ymgC//
UvrY	fliD//cynX//
XapR	mgtL//agaI//
YdeO	fhuD//glpR//
YjjQ	flhA//fadR//argR//hfq//xdhC//tar//leuL//
YpdB	allD//
YqhC	leuL//wecE//
ZntR	rffM//
ZraR	ykgR//
Zur	iscA//trpA//torR//potH//phoB//
