#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	tktB//
Ada	obgE//metU//znuB//
AgaR	phoA//cpxP//arcZ//kdpC//dgkA//pagP//hofO//
AlaS	rutR//
AllR	sohB//artJ//dapD//glgS//arcZ//livM//ybhL//ompX//glgX//
AllS	mhpR//xapA//argW//
AlsR	ampC//yebG//ldtC//cho//ycjY//dkgB//
ArcA	pgm//tyrB//
ArgP	manA//iscA//flhB//
ArgR	alkA//trxC//entS//ilvB//iraD//dhaL//yjjZ//cheB//dinB//asnB//glgS//hokE//apaH//rimM//
ArsR	agp//lysU//purF//
AscG	dgcN//
AsnC	sroC//
BasR	metF//
BirA	hofB//cvpA//glyU//wzc//upp//
BluR	ycjF//glnV//asnA//htpG//
BolA	rnlA//kdpF//
CRP	wzyE//rclB//yiiS//tisB//tsr//yhjC//mgtA//yegZ//mcaS//leuX//cynS//sroA//exbD//gpmM//yhdX//fruB//cynS//tcyP//purB//flgA//hofN//nohA//ydfD//ymiA//ppc//bacA//thrT//metC//yneM//tyrT//spf//gudP//luxS//cyaA//recN//rclC//hofM//ycgR//speB//artI//thiP//phnP//phoR//gudD//sbcC//ygaC//yeaD//oxyS//paaY//leuA//ibaG//yneM//sbcC//cecR//glnV//cra//tpr//flgB//pitB//yhjX//hflC//mgtA//fliM//glpE//narQ//yqjA//yaiW//hflD//
CdaR	leuA//fliM//ddpX//iraD//thrW//
CecR	acrR//tyrV//metA//wzyE//topA//
CpxR	rarA//ldtC//psd//yccT//hofC//wzxE//alsA//adeD//wecB//insD//tbpA//artQ//wza//nadC//mntS//gpmM//aaeB//gpsA//creC//mipA//ymgA//nlpE//adiY//cheY//yeiP//tehB//cbpM//gfcA//pheU//paaY//glgX//bcsZ//
Cra	paaY//proL//ydjM//insK//tfaQ//glgX//ilvY//tcyP//phnG//yojI//rdoA//hemF//sgrR//iscA//glpE//
CreB	fabH//
CsgD	fhuD//phnE_1//agaB//allD//gyrB//sfsA//topA//slt//kdpA//
CueR	rffC//dksA//
CynR	phnJ//ybhL//leuC//yagK//
CysB	glnX//phoH//spf//iraP//rarA//avtA//dapD//oxyS//yqjA//rsmA//
Dan	yidQ//rcnR//ycjF//glgS//
DhaR	pheT//phnD//sxy//ygbK//
DicA	fhuD//topA//ppiD//ung//ilvY//luxS//bioC//ynbC//
DnaA	seqA//flgF//
EvgA	tar//flgC//recC//ecpA//rpsU//ttdA//flhA//
FNR	mgrB//mprA//ecnB//trpB//folE//argC//phnI//livF//priB//trmA//recX//argR//yeaD//ydeJ//lrhA//rimM//alsE//flgB//cheY//thrS//flgK//glnU//rarA//pitA//fliD//recC//sroC//
FadR	recC//intQ//fliP//flgD//yeaH//phnO//ybbW//crl//
FeaR	decR//
Fis	cpxA//phnM//yjeV//proM//ybhR//ppiD//slyB//pitA//sohB//ydfD//mqsA//gfcA//rarA//rcsD//narQ//ybhL//fhuE//cynS//tyrB//aspV//argW//tpr//pgpC//sbcC//ttdA//yebE//secB//wzxE//ttdB//purC//phr//gudP//xapA//leuE//cpxR//gfcA//rpmA//rarA//bluF//purL//yncE//tyrA//yfiR//copA//insD//pspF//hofM//yneM//yhdX//ppiD//bluF//ychO//ydcS//kbl//phnL//gspA//
FlhDC	ldtD//flhB//dkgB//ydfE//dapD//ymgC//uraA//ydfN//flgJ//oxyS//uspD//ynbC//sfsB//phoB//phnE_1//rarA//ycgZ//tbpA//ftnB//phnE_2//dkgB//exbD//leuX//ydcS//ydiU//sutR//yhbS//infC//rpoD//cpxA//ychH//rof//wcaB//xapA//ompT//tcyP//hdfR//rnlA//
FliZ	dkgA//
Fur	phnD//eno//ycjX//phr//phnE_1//agaC//yibQ//yfdE//csrB//hofO//ydfH//dhaL//leuP//flgJ//malZ//alaX//yidQ//ynbC//yibQ//ynbB//dinG//wzb//glxK//arsB//
GadX	ompT//alkA//phnG//rcsD//cheY//alkB//wzzE//
GcvA	speB//kdpC//
H-NS	pepD//cyaA//ysgA//arsC//asnB//yafO//thrT//glnW//potF//sbcD//isrC//grxA//cvpA//hofN//
HU	yjeV//alaA//
HcaR	fliS//ppc//argX//hofM//cynX//phnE_1//
IHF	rpiB//adeD//flhB//lysV//ompX//nlpE//glnW//
IlvY	ykgR//trpR//
IscR	ydeA//ycjG//borD//alaW//phnK//yccA//phnF//htpG//
KdpE	preT//proK//rutR//gpsA//
LeuO	ibpB//xapA//raiA//bcsZ//rstB//sxy//
LexA	tktB//ldtC//cheZ//ppiD//efeU_1//yfdV//glgB//cyaA//nadC//phoP//bioC//gcl//rnlA//cysE//omrA//yidQ//hyi//yhjX//wzzE//msrA//cynS//pykF//nimR//argF//yjjP//wzyE//agaC//iscS//isrC//kdpC//bdcA//creC//glnV//ompA//patZ//mepH//ubiG//
LrhA	azuC//
Lrp	xapB//iraD//dhaR//pitB//ybhL//rmf//rpsU//ampC//hofC//chiA//leuC//mukB//trpA//speC//
LysR	leuE//
MalT	tap//
MarA	glxR//phnL//
MatA	uspD//argE//
McbR	murI//
MetJ	adiY//yfiR//dgkA//obgE//yidL//
MlrA	ymiA//nohA//fhuC//rpsR//lysW//
MngR	ygiZ//sroC//uidR//
MntR	agaD//yidL//
MprA	fliD//malZ//isrC//
MqsA	dinB//rclA//
MurR	ppc//
Nac	mntS//amn//rpsF//rsmA//cheA//
NadR	thiP//ribA//hofP//
NagC	kbl//ubiX//omrA//fepC//ruvB//
NanR	ybaT//rarA//
NimR	aspV//purK//
NsrR	yhdX//mgrR//phnK//dhaM//ydiV//recX//arfB//tar//bioA//lysW//allB//yhjX//phoR//ompT//ddpD//ykgR//yfdV//yeiW//ymiA//proM//yaeP//rstB//hofB//ilvN//yjjP//rpmI//argE//valX//glnV//glgS//
NtrC	umuD//dksA//gspA//hcaE//rffC//mgrR//rpsF//alkA//cynX//lysC//rpmA//ppdD//arsC//thrT//bacA//ttdT//yojI//
OmpR	sfsB//yibQ//borD//metU//
OxyR	ycgR//mukF//luxS//uvrC//xapB//yneM//yhjX//borD//pepD//
PaaX	valU//tadA//
PepA	rpoD//
PgrR	omrB//pfkA//yeaE//bioD//sdaA//cpxA//yneM//
PhoB	argC//proK//nadC//rpsF//rpsU//wcaA//yhbT//chiA//proM//tyrV//fhuA//accA//uspE//purC//mukF//rffH//mepH//dhaK//trpB//mgrR//ydfN//emrA//narQ//hemF//nohA//fabH//ynbD//thrT//yjjP//znuA//crl//
PhoP	tar//argR//fhuE//tyrA//trpA//emrB//rclA//yoaC//ivbL//murI//dksA//uvrD//yeiB//rpiR//fldB//hofB//
PspF	erpA//
PurR	ftsK//yhbE//ykgO//lysC//ymjC//allC//ynbB//slyB//dicC//ymjC//fadR//gspA//bioD//
RbsR	phnM//
RcdA	agaR//yfiR//dkgA//
RclR	amiA//preA//mltF//
RcnR	gudD//
RcsAB	tufB//wzc//yciX//cpxA//acrR//
RcsB	yagK//trpA//adiY//mipA//
RcsB-BglJ	bdcA//wcaA//iscR//decR//ybhS//livK//glk//yhjC//xseA//pitA//potG//
Rob	efeU_1//
RutR	arsR//
SdiA	eno//
SgrR	gcvB//potH//tfaQ//mzrA//argF//hofM//
SoxS	mcaS//wecE//hcaC//yeaH//phnM//rplU//
SutR	motA//trmA//
TorR	ydeI//
TrpR	kbaY//symE//polB//ftnB//flgH//artJ//emrA//ycjF//
TyrR	tdh//artP//gudP//
UidR	oxyS//
UvrY	glnX//ydiV//
XapR	hcaE//recC//
YdeO	ydfN//bioF//
YjjQ	tehA//cpxA//ppdC//aaeB//exbD//omrA//metT//
YpdB	cbpA//
YqhC	sdaA//ydfW//
ZntR	tcyP//
ZraR	comR//
Zur	ydcU//yeaH//flgL//polB//rffT//
