#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	amn//
Ada	cpxQ//yhfA//tpr//
AgaR	phnF//ariR//asnA//ydfX//lysU//ydfH//ybfE//
AlaS	dhaL//
AllR	fepC//livM//arsB//yegH//fabH//accD//cynX//mprA//metC//
AllS	ttdB//flgD//trmD//
AlsR	lysC//flhB//yneM//gltI//rybB//bcsZ//
ArcA	murI//glnU//
ArgP	uvrY//mgrB//serT//
ArgR	agaI//tyrV//metA//aroH//dacC//fhuC//proL//trpL//uspE//potH//tbpA//chiA//mpaA//psiF//
ArsR	yiiS//trpL//ldtD//
AscG	alsA//
AsnC	msrA//
BasR	tfaQ//
BirA	creB//amn//mgrR//yafO//trpL//
BluR	insK//lysU//glnV//dicC//
BolA	dsbA//ybhG//
CRP	yjjP//bioF//flgD//yegR//yhjC//fadM//yfdX//phnH//rffG//valX//ldtC//hemH//tdh//phnO//fliP//potI//dkgA//cynX//ibaG//uvrB//wcaA//aspV//tyrV//ycjG//uspD//pgpC//yqaE//folE//wecC//allA//argB//cra//yjjZ//recD//cpxP//arsR//lysO//tpiA//ygiZ//accD//ddpA//sfsA//nimR//ycjY//talA//cpdB//sfsB//intQ//sroA//alaW//fliS//fhuE//cynT//mgtA//gspA//psiF//dhaR//mgrR//rplU//ynbC//dgcN//yfdV//paaY//gcvB//gudP//yhjX//flhE//alaA//
CdaR	yibQ//flgA//nadA//bioD//aroF//
CecR	kbaY//sbcC//ynbD//rffH//allS//
CpxR	glgX//tpiA//glk//wcaB//sbmA//ppdC//cueO//aaeA//ariR//paaY//tyrV//accA//lysW//fliS//purK//cynS//gltI//thiP//serX//msrA//dgcN//yojI//ychF//ynbC//rnlA//argA//pepA//yafN//eno//slt//rclC//lysW//
Cra	yneM//mcaS//fldA//ycjY//rpsU//livK//tpiA//ybaT//trpL//potI//thrT//dinD//dhaL//rffG//glnV//
CreB	xapB//
CsgD	ldtC//yeiW//ymgC//acrR//ydiV//mngR//slyB//ada//bcsB//
CueR	cbpM//eno//
CynR	metA//raiA//ecpR//mlrA//
CysB	sbmA//ymjD//hfq//yhhY//yhbT//pheU//rdoA//ysgA//cra//glnV//
Dan	nohA//yqaE//leuA//flu//
DhaR	sbcC//tyrB//sutR//livG//
DicA	recC//ygeH//fepD//gfcA//ycgR//osmB//hyi//isrC//
DnaA	ymiA//htpG//
EvgA	ecnB//ompA//flhA//metT//valY//bioB//aaeR//
FNR	ynbB//xdhB//artQ//nadB//metA//azuC//omrB//ybfE//tyrB//lysW//flgF//omrA//yfdV//yaeP//yhjC//rplU//rstB//fhuD//cmoM//rsmA//cpxP//yebG//frc//ycjY//gltJ//fliL//ppdD//
FadR	leuC//yccA//prs//leuP//cvpA//dacC//phoH//fruK//
FeaR	yeaH//
Fis	cueO//tcyP//narQ//rnlA//yqhG//trxA//ihfB//yeaD//kdpB//ycgZ//adeD//aaeR//btuB//luxS//gspB//oxc//yeiW//fabD//tufB//lysW//ydfW//phnL//cheW//gcl//pitB//glk//fepG//hflK//gudX//mprA//metF//exbB//recA//yegZ//tyrB//ydcS//yaeP//cheA//uvrD//htrE//arcZ//proL//yegR//btuB//topA//fhuA//preT//argR//hisR//fliM//ykgM//bcsZ//phnE_1//ynbB//yebG//potI//
FlhDC	alsC//fecI//uvrC//yqhD//cheB//ychO//xapA//dtpA//lrhA//oxc//yjhB//uspE//tyrT//rpmI//gltL//rnlB//proK//phoE//alaC//ynbA//fabI//pepT//ykgR//raiA//glxR//lacI//yeaH//trpE//mngA//pfkA//patZ//cpxP//hcaC//yciW//yhbE//hokE//murR//motA//
FliZ	yeiW//
Fur	bdm//kbp//flgE//cbpA//uvrB//dapB//glxR//ecpA//yhhY//wecB//ecnB//bluF//xapA//kdpF//rpsR//rfe//phnM//gcvB//argH//ydfH//fepG//speC//argA//yfiR//
GadX	proL//fldB//tktB//dnaG//ybhS//phnF//thrT//
GcvA	artJ//ydfE//
H-NS	arcZ//uraA//cmoM//fhuD//purC//cueO//lysU//ampE//garD//iscU//mgrB//yhdY//rarA//leuP//
HU	ydcU//phnK//
HcaR	ycjY//hokE//dinG//mngR//ompN//proK//
IHF	ftnB//fliT//dnaG//pdeF//leuX//malZ//valX//
