#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	glpE//
Ada	metF//yqhD//yhjX//
AgaR	gudD//thrW//ydfW//cpxR//leuC//fhuA//folE//
AlaS	serT//
AllR	phnL//rarA//tisB//ydbK//kdpA//gcvA//gltX//rof//yccA//
AllS	zntA//paaX//aaeX//
AlsR	insK//nadB//patZ//aroF//uspE//ymiA//
ArcA	hflD//rstB//
ArgP	cheY//borD//lysR//
ArgR	spf//artM//insK//pepD//fabG//tehA//ydjM//obgE//mcbA//yhdZ//hcaR//trpA//creB//ppdA//
ArsR	asnB//cysE//hflC//
AscG	ppiD//
AsnC	wza//
BasR	yccA//
BirA	bcsZ//hemH//ychO//yccA//dhaR//
BluR	ddpX//asnB//fepD//ppdA//
BolA	phnF//thrW//
CRP	comR//uvrD//trmD//hofM//trxA//phoR//ariR//ldtD//potF//yoaC//gor//torR//fadR//cmoM//mhpT//ychF//yhhY//trpB//nlpE//yecT//trpA//ppdB//yebE//ttdR//valT//ompN//hofP//fliO//proM//hofP//yhbT//sfsB//ibaG//rstA//mltF//hcaD//dksA//wzc//ybbW//aaeX//mngB//agaI//aaeB//fhuC//cpxQ//phnH//pheS//ada//fhuA//allD//livH//tar//ybhS//fbaB//fecI//paaY//rclC//ppdD//lolA//leuE//luxS//rplS//allD//speB//apaH//speA//yegH//cheZ//
CdaR	priB//trpL//accA//ybhS//copA//
CecR	pdxA//yncE//glmU//rffG//yaeQ//
CpxR	ung//yiiS//alaW//iscR//fabH//arcA//crl//gspA//ecpR//glnU//cheA//valX//pheV//arfB//yhjX//rpmA//glmS//metA//fnrS//bacA//cecR//lon//nadC//ibpB//ybhS//valX//yhdZ//ivbL//umuD//phnM//tehA//oxyS//
Cra	mzrA//ydjM//ybaS//ycjF//umuD//ftsK//cpxP//metF//luxS//cheW//decR//glyU//yqjA//rpsF//rpmA//
CreB	flgH//
CsgD	yeiW//artP//agaR//sutR//flgA//ddpA//mgtA//yeiB//dksA//
CueR	phnE_2//tadA//
CynR	yecT//aaeX//aaeR//metF//
CysB	mprA//tyrB//ykiA//dgcN//leuL//mscM//yaiW//livG//slyB//ydfN//
Dan	yidQ//alsC//dinD//motA//
DhaR	tyrA//rimM//slt//yhdW//
DicA	cheZ//sutR//purE//bluF//rplI//cho//yagK//kbl//
DnaA	phnF//chiA//
EvgA	trpR//yagK//livK//cbpM//fabD//tktB//mprA//
FNR	yhhY//valY//sfsB//entS//kbaY//alaX//phnE_2//arsC//mntS//ddpF//cecR//lysC//pgpC//aroF//fliO//recN//fliP//ybhR//sbcC//gudP//topA//trpA//potF//yafO//trpE//cra//thrS//
FadR	sfsB//dgcN//yfiR//rof//trmA//efeU_1//glgX//ymjC//
FeaR	ydbD//
Fis	ydfX//kdpF//phoP//phnM//uvrY//allE//cstA//lysO//gudP//dgkA//glnX//wcaA//slt//mepH//ecpR//yfdE//hflD//hslJ//intQ//metJ//phoR//xdhA//hslJ//allA//leuC//asnA//speC//gcl//metA//yciX//phoH//ecnB//allE//fldB//ppdB//dinD//dapD//phnG//uspB//pgi//ygeH//pdeH//yeiB//rstB//potF//tcyP//metC//glpG//wzc//rstB//yeiW//erpA//zntA//recC//kdpC//hfq//
FlhDC	sxy//preT//argU//glgS//yhjC//dksA//phr//yccA//yeaD//phoB//pepT//wzb//dgkA//mgtA//rdoA//yhhY//ppdD//creC//htpG//erpA//ybhG//trpL//sbmA//sbcC//ymgC//yecT//cynR//arsB//apaH//grpE//mgrR//luxS//dinB//rclB//rplS//ykgM//ydbD//flgH//
FliZ	ycjX//
Fur	talA//tyrU//pdeF//rclA//argB//gudX//ubiG//arcA//fliQ//valT//yhfA//luxS//fabG//purL//hofO//efeU_2//yeiW//artJ//exbD//sroA//yiiS//efeU_1//patD//alsA//
GadX	phnJ//leuE//ppdD//symE//polB//fbaB//ymiA//
GcvA	flgF//yqjA//
H-NS	hofN//yhbS//phnN//spf//tehA//yeiB//ompA//uvrD//flu//umuD//fliO//yfdE//pdeF//aroF//
HU	ppdD//sbcD//
HcaR	ppdD//rybB//tyrV//rpsR//ryhB//aaeA//
IHF	mukF//hofC//htpG//yaeP//argR//mukE//recA//
IlvY	ybhG//nohA//
IscR	topA//yciW//hofC//mqsR//wzb//valT//nlpE//chiA//
KdpE	xseA//dgkA//yfiR//hcaF//
LeuO	yoaC//bluF//dhaK//ddpD//uvrB//murI//
LexA	tufB//agp//cra//psd//garD//ybhR//pgpC//hofB//ydiU//ilvN//glmS//phoB//uvrD//mcaS//nlpA//motA//yaeQ//gudD//rclB//speC//cho//azuC//wcaB//patZ//fadR//dicB//lon//insD//nadB//proK//leuD//fldB//copA//hcaB//alaX//gpmM//fhuE//
LrhA	argW//
Lrp	ryhB//yagK//gpsA//bacA//umuD//yibQ//yadV//pitB//recX//raiA//ddpB//tufB//preA//agaI//
LysR	bluF//
MalT	allA//
MarA	glxR//phoA//
MatA	dhaR//hyi//
McbR	recB//
MetJ	cvpA//gudX//yafO//yegR//argT//
MlrA	tsgA//azuC//ynbB//phoR//bdm//
MngR	phnN//yegZ//allE//
MntR	phoA//glnW//
MprA	htpG//hflC//phnE_2//
MqsA	pgi//rstA//
MurR	fnrS//
Nac	flgJ//cysC//mgtA//csrB//xdhB//
NadR	cpdB//hcaD//potF//
NagC	rffT//fecR//sbcD//recC//narQ//
NanR	phnJ//dksA//
NimR	ydeA//pagP//
NsrR	omrA//rcnR//flgK//umuD//ybhS//mltF//psd//ydbD//ompX//ygiZ//ydbD//hflD//efeU_2//yhdY//yidQ//glxR//ecnB//pnuC//pdeH//ydfD//gcl//hisR//agaC//leuW//bluF//yebG//gspA//bacA//cysE//ompX//
NtrC	fliM//emrB//dkgA//rplS//mgrB//bioA//htpG//cheR//trpE//wrbA//alsE//yfbR//polB//cysE//dinB//fliT//dkgB//
OmpR	flu//amiA//avtA//lysR//
OxyR	ddpD//ilvC//yciX//yegZ//nadB//ldtC//ptrA//alsE//xdhB//
PaaX	rsmA//flgE//
PepA	cheA//
PgrR	speB//aspV//flgC//pfkA//alsC//ynbD//kdpC//
PhoB	asnB//ydcS//sohB//slt//pitB//metJ//ppsA//talA//yaeP//yciX//valX//rpsP//fldA//apaH//flgA//wcaB//agaS//ymgC//uspE//alaW//gpmA//lon//rcnR//fecR//bioB//bacA//rfe//entS//fepC//ynbC//wza//
PhoP	fliS//motB//aaeA//fadR//alkB//flgG//kdpA//cynX//mgrR//wecC//htpG//trpL//yebG//ttdA//flgD//thiP//
PspF	sgrR//
PurR	argC//ilvN//artI//ttdA//infC//valY//gyrB//allC//leuW//apaH//thrW//dinD//ompT//
RbsR	creB//
RcdA	motA//ppiD//ymgC//
RclR	arcZ//add//pepA//
RcnR	queA//
RcsAB	aaeR//dinF//tsgA//hfq//dinQ//
RcsB	pdxA//znuA//ykgO//ybaS//
RcsB-BglJ	lysO//hisR//mngB//cdaR//purL//valT//yjjZ//rffH//dsbG//hemF//yeiW//
Rob	paaX//
RutR	metT//
SdiA	rsmA//
SgrR	ruvA//yeaH//potF//cpdB//flhB//ompN//
SoxS	tehA//dgcN//nadB//cysD//valT//sroA//
SutR	argB//luxS//
TorR	leuQ//
TrpR	ecpR//rcsD//ycjG//phnO//hcaR//livJ//yebG//flgA//
TyrR	ldtD//accA//cynX//
UidR	xdhC//
UvrY	ybhL//bioB//
XapR	ybjG//agaR//
YdeO	ydfH//ldtC//
YjjQ	thrU//seqA//ybaS//hofO//ybjG//trpD//thrS//
YpdB	ybbW//
YqhC	yibQ//ecpR//
ZntR	fliQ//
ZraR	emrA//
Zur	ada//znuA//insD//pitB//murR//
