#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	trpE//
Ada	ariR//leuC//cho//
AgaR	ydfE//allE//ddpC//tyrB//iscR//ynbA//yqhD//
AlaS	fldA//
AllR	mpaA//yibQ//gor//dnaG//dksA//ppdD//hofC//copA//fnrS//
AllS	fhuC//mqsA//yoaC//
AlsR	agaC//yhdZ//cynX//borD//glxR//yccT//
ArcA	argH//dtpA//
ArgP	kbaY//argF//upp//
ArgR	ldtD//ptrA//flu//tap//ykgM//glxR//gudX//yfdX//recX//ynbB//tisB//yafN//allS//leuV//
ArsR	sbcC//yafP//flgL//
AscG	mukF//
AsnC	pitA//
BasR	pheS//
BirA	yiiS//bioA//glgX//ftsK//zraP//
BluR	recN//hofC//tyrU//decR//
BolA	ruvA//gltL//
CRP	tsgA//leuW//ybhF//thrW//yfdE//cecR//argC//isrC//ilvB//hemH//dhaM//thiQ//yjjZ//cueO//flgI//rcsB//argE//yjjZ//yfbR//tpr//tyrA//allE//ddpD//dapD//wzb//yqhG//gltJ//alaC//xseA//phoP//paaY//tyrB//uvrY//arcZ//dicC//manA//ftnB//sfsA//ysgA//agaD//hfq//potH//cheZ//fldB//ybbY//ilvC//ynbD//adeD//intQ//bacA//hisR//iscU//fabH//hslJ//thrU//sfsA//allB//creA//ymgA//ybfE//fhuA//bacA//cpdB//pykF//lysU//pnuC//lysU//lolA//
CdaR	tpiA//patD//cpxA//cysE//trmA//
CecR	fhuA//ppdD//ddpA//rutR//argC//
CpxR	argR//pitA//fadR//bacA//bluF//accD//phnM//slt//umuD//yhbS//gpmA//treR//ldtD//trmA//mhpT//ydiU//pfkA//fbaB//glpG//purL//ampD//yhhY//wcaB//yqaE//hcaR//ampC//cysC//fabH//mpaA//exbB//yidQ//priB//
Cra	apaG//cpxR//gspA//prs//dkgA//fliQ//yeaE//tap//patD//priB//kbaY//phoH//livG//btuB//argT//
CreB	ubiG//
CsgD	cynR//phnE_1//tap//hofM//kdpC//arfB//ychH//ddpF//ppdA//
CueR	cysK//leuQ//
CynR	fliT//alaA//leuQ//accD//
CysB	glyT//cynT//ychF//rnlA//rybB//pepT//polB//ybjG//pdeH//yhdX//
Dan	ampC//sxy//rmf//cheY//
DhaR	leuA//pepD//ecnB//cyaA//
DicA	fliR//preT//rffG//rstB//arsC//cpxA//yccA//yafO//
DnaA	mgrR//arsB//
EvgA	lexA//wzb//ruvA//wecB//wcaA//exbD//ydfN//
FNR	hyi//queA//creB//gspB//bioA//xdhA//lysW//yafO//gltJ//ybhR//dinG//ymgC//mepH//yhhY//trmA//tyrU//trpL//phnJ//symE//glgB//ybjG//yqjA//phnH//ybjG//hofC//cysE//ydcS//
FadR	recC//cpxQ//hofN//iscS//serT//cysD//lysT//rffM//
FeaR	nohA//
Fis	narQ//rutR//ftsK//flgH//ydfN//dsbC//cpxA//glk//lysT//argW//tdh//bluF//pheU//ydbD//cra//pdeF//agaR//arcA//sfsA//yqhG//pnuC//alaA//ykgO//yfbR//efeU_1//apaH//dkgA//leuT//yeaG//wzb//yhdY//ymjD//iscA//tap//queA//leuD//eno//mepH//cynS//yqhG//avtA//fruB//ychF//prs//nadB//argF//rclA//agaI//ilvC//ryhB//sbmA//leuX//ampC//yafO//slyB//yhbT//
FlhDC	yqjA//thrS//rnlB//recN//oxyS//cysN//leuP//trpR//hokE//patZ//bcsZ//dsbA//ppdA//argH//murR//cecR//cpxR//fliT//wzxE//infC//yhbE//mqsA//ppc//sdaA//pfkA//cynS//argX//flgC//alsE//hcaB//kdpA//agaC//rpsF//ygbK//patZ//hflD//amiA//hemF//
FliZ	gpmM//
Fur	phoA//fliN//gudX//tyrA//umuC//wzc//hslJ//mhpT//xdhA//aaeA//phoR//ynbB//proM//creB//bluF//ykgR//ubiX//uvrC//ecpA//argT//fnrS//cra//leuQ//sfsA//
GadX	tbpA//yneM//yaeQ//patZ//fadM//leuV//purL//
GcvA	phnI//ydiV//
H-NS	luxS//proK//glnW//ung//gyrB//yeiW//borD//leuT//hcaB//ybhG//glgS//bdm//pitA//ymgA//
HU	htrE//lysV//
HcaR	hisR//dapD//ycjX//ttdB//dhaR//erpA//
IHF	ymgC//pspF//allC//leuB//mukE//phoR//rimM//
IlvY	tehA//ychO//
IscR	artP//phnG//rffT//aroH//metT//hemH//hcaB//slyB//
KdpE	treR//iscU//osmB//dacC//
LeuO	pdeH//uvrD//yqhG//ppsA//gltK//accA//
LexA	phnE_1//mgtA//fruA//slyB//tonB//secB//mepH//efeU_1//ompA//gltI//ryhB//agaD//accD//cho//ynbC//insD//ydjM//gltK//yiiS//ompA//bioB//ppiD//wzb//ftsK//sdaA//seqA//gltJ//argT//phr//recX//trpL//efeU_2//cysN//psd//hcaB//decR//yeaH//
LrhA	uspB//
Lrp	intQ//rplI//glnU//hcaD//purE//phnD//gcvB//dinQ//yibQ//tsgA//alkA//ppsA//livH//yafO//
LysR	cysE//
MalT	arcZ//
MarA	ldtD//fliM//
MatA	alaS//ycjX//
McbR	ybjG//
MetJ	agaB//livG//cpdB//yiiS//hcaF//
MlrA	proK//yadV//hfq//oxyS//tfaQ//
MngR	rcsB//ruvA//flgJ//
MntR	dhaL//wzb//
MprA	dhaK//ariR//ompX//
MqsA	argX//ilvN//
MurR	valX//
Nac	exbB//flgA//iscU//murI//nadB//
NadR	fliN//fldB//mlrA//
NagC	phnK//purE//phnJ//yccT//purE//
NanR	allB//gltJ//
NimR	phnI//fliN//
NsrR	yqaE//ydfH//cpdB//tyrV//fabD//trpA//cheW//ddpF//ydfE//sdaA//dapB//cynT//ribA//gcl//ykgR//glnU//hflK//ygiZ//erpA//oxc//lolA//tcyP//rplI//ydfX//fecR//ppdC//mipA//preT//phnO//yhdZ//
NtrC	gltL//yqjA//efeU_2//ykgO//cheB//mhpT//yncE//pagP//yhbS//hcaF//adeD//glnB//hofN//cysN//dgkA//preT//phnO//
OmpR	ompA//dinD//agaB//flhB//
OxyR	cynT//trmD//garD//alaW//ubiX//yeaG//hofO//fliS//aaeX//
PaaX	purC//sbcD//
PepA	tyrV//
PgrR	aaeR//hcaC//hcaF//gltL//tap//patZ//valU//
PhoB	dhaR//avtA//purF//cbpA//metJ//osmB//htrE//cpxQ//mngA//metT//ybfE//metJ//wecB//bcsB//rnlB//lysR//bdm//tadA//purB//sbcC//decR//hfq//dkgA//lexA//hflK//ycjF//tap//yecT//alkA//cysK//leuL//
PhoP	gspA//ilvC//rnlA//glgX//purL//gltJ//nadC//omrB//gor//argB//nlpA//agp//malZ//wecE//gfcA//hcaD//
PspF	yhjX//
PurR	isrC//yhdX//dtpA//accA//psiF//argF//ybjG//wecC//yadV//ddpX//cysC//omrA//livJ//
RbsR	ddpX//
RcdA	yqhG//chiA//ydcT//
RclR	fadM//valX//flgF//
RcnR	proL//
RcsAB	ivbL//fnrS//nadA//patD//aaeB//
RcsB	ydcV//valX//purF//tehA//
RcsB-BglJ	speB//hfq//asnB//arfB//grxA//ppdC//entS//alaS//zntA//dnaG//cheY//
Rob	glnW//
RutR	talA//
SdiA	luxS//
SgrR	cheB//potI//eno//oxyS//yjjP//raiA//
SoxS	sfsA//ydfH//fhuA//yciX//creB//ycgR//
SutR	mgtA//ubiX//
TorR	serX//
TrpR	pspF//proM//wecE//wzyE//cdaR//leuP//argE//uspD//
TyrR	insK//yciW//yebG//
UidR	iraP//
UvrY	fepD//gudP//
XapR	fepG//exbD//
YdeO	rpmA//yebG//
YjjQ	adiY//fldA//glgS//aspV//recC//trxC//treR//
YpdB	fhuB//
YqhC	zntA//fhuC//
ZntR	metU//
ZraR	mgtL//
Zur	ilvC//yhdW//nlpA//potF//speC//
