#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	trpA//
Ada	rstB//flgB//phnE_2//
AgaR	ompX//valY//uvrY//gor//bacA//mukB//alaX//
AlaS	kdpB//
AllR	yeaH//potF//trpC//mepH//ykiA//pgm//hslJ//motB//ykgM//
AllS	lysR//dksA//glgX//
AlsR	mhpR//rclB//rplI//emrA//cpxP//umuC//
ArcA	nimR//dkgB//
ArgP	priB//ompA//mlrA//
ArgR	fldA//yjhB//flhB//leuW//dinD//arcA//gfcA//tcyP//agaR//mukF//argA//lrhA//purL//bcsZ//
ArsR	tyrT//ppiD//ddpB//
AscG	adeD//
AsnC	patZ//
BasR	flgA//
BirA	dinB//yneM//ppdC//rsmA//phnF//
BluR	hofB//slt//glpR//tpr//
BolA	fruA//bioB//
CRP	uspD//infC//sroC//cueO//artI//kdpA//yciX//ydcV//yhfA//dsbG//ilvB//csrB//yqhD//speA//cynT//mngB//ppdC//btuB//fliQ//ydfX//fabI//aspV//mscM//yeiB//cho//hflC//aroH//znuC//ygdB//metF//preA//kdpC//yfiB//alkB//yaiW//yhbS//xapB//thiP//flhB//argU//rarA//metJ//leuD//argX//dinG//flgA//phnM//erpA//fnrS//hofP//mlrA//ddpD//agaB//yjjP//thiQ//hflD//pdeF//leuW//cynT//flgI//iraP//ruvA//ruvA//glxR//metC//msrA//ampE//ydbK//
CdaR	ybbY//dapD//ydfE//htpG//rffM//
CecR	tktB//dtpA//ydfW//yeiW//folE//
CpxR	wzyE//nohA//wcaA//potF//rclA//ubiG//lexA//dnaG//hemH//flgC//isrC//ygaC//tadA//lacI//allA//sdaA//grxA//allS//leuL//lon//slyB//trpE//ecpA//yciX//tyrA//flgB//agaB//emrB//cheZ//phnC//flgE//rffC//
Cra	fecI//pgpC//arsR//phnK//glnB//recA//ydjM//omrA//lexA//yccA//ydfN//tpr//tdh//phnL//phnM//
CreB	ymgC//
CsgD	yafO//rpsP//argC//pitB//rutR//dkgB//lexA//tynA//wzc//
CueR	wecC//htrE//
CynR	ybhG//exbB//livM//topA//
CysB	nadB//ldtD//ppdB//argH//ymgC//fecR//mepH//uvrY//sdaA//alsE//
Dan	ppdC//argT//cueO//tyrA//
DhaR	uspE//znuA//trpE//mukF//
DicA	ydfX//iscU//prs//ybhR//prs//isrC//isrC//yciX//
DnaA	cra//uraA//
EvgA	ychH//adiY//rplU//yqjA//iraD//leuQ//proM//
FNR	fadR//fabH//ilvN//glnB//exbD//iscR//ybhR//metU//fliP//yeaH//ybhL//arsB//chiA//lolA//rpiR//valT//rpmA//gltX//ymgA//manA//sfsB//symE//rplS//allE//rybB//mcaS//cbpA//
FadR	dkgA//cheB//mcaS//phoR//bioF//apaH//asnA//polA//
FeaR	fabH//
Fis	phnI//arcZ//gltX//yebE//glgS//arsB//erpA//ysgA//ilvN//agaB//mqsA//mntS//bdm//leuL//ppc//ydbD//alaX//yiiS//allE//ampD//rstA//metJ//dinB//ydfD//dhaR//aaeA//dapD//ldtC//lysO//rpmA//uspB//rarA//fldA//obgE//dtpA//alaX//rclA//metU//yhjX//asnB//ppiD//cpxQ//yhjC//ariR//cheZ//valY//ompT//csrB//agaB//tyrB//eno//gltL//ydfN//pfkA//paaX//yccT//
FlhDC	rcnR//rnlB//yhjC//pheT//rmf//yciW//aroH//rpsF//add//cdaR//iscS//cpxR//glnW//cmoM//yaiW//fruK//fruK//hisR//wecB//yibQ//exbD//ydfN//yfdX//cysN//cho//rcsB//tsgA//nimR//ydfD//agaC//tufB//iraP//ecpA//yhdX//iraD//glyU//glnW//valY//
FliZ	lysR//
Fur	fabD//exbD//phnC//bioB//cheW//lolA//gcvA//ompT//glnX//mltF//mlrA//msrA//rplS//yeaH//psd//alaA//argT//iraP//mpaA//isrC//flgL//leuL//xdhB//hcaD//
GadX	phnN//flgA//dapB//treR//gcvB//paaY//cpxA//
GcvA	symE//phoH//
H-NS	fliQ//allC//aaeR//leuC//grxA//yhbT//grxD//mhpT//symE//ecnB//ydfE//mgtL//ptrA//fabI//
HU	flgL//wecC//
HcaR	mhpR//arsC//arsB//dkgB//cecR//glnU//
IHF	sroC//upp//yhhY//rnlB//rpiB//flxA//thiQ//
IlvY	wecE//ychO//
IscR	dicB//hdfR//xdhC//pheT//ymgA//pepD//ydeJ//ppsA//
KdpE	cynS//dgkA//znuC//dinG//
LeuO	fepG//bioB//tsgA//phnH//thrT//flgD//
LexA	artI//ilvY//phnP//allD//csrB//nimR//ribA//paaX//slt//ada//yebG//omrA//mngR//cysD//ycjX//rffM//iscU//yccT//pheS//potI//ynbD//bluF//patZ//bcsZ//allE//metU//tonB//fliR//rclB//ycgZ//fruB//aaeB//fliL//eno//tehB//grpE//livK//
LrhA	ompA//
Lrp	fliQ//fldA//kdpF//topA//spf//ybaS//yhdX//fabH//flxA//thrT//pykF//gudP//ddpX//msrA//
LysR	rmf//
MalT	gltX//
MarA	dsbC//fldA//
MatA	flxA//hofB//
McbR	yjhC//
MetJ	yidL//ygdB//tsgA//tisB//dhaL//
MlrA	ttdT//dgkA//efeU_1//aroF//speC//
MngR	ydiV//glpG//rutR//
MntR	yfiB//rffT//
MprA	recA//argC//ftnB//
MqsA	argX//ybhL//
MurR	umuD//
Nac	ybfE//sutR//gltI//cecR//pgpC//
NadR	purK//yidQ//argC//
NagC	wecC//ymjC//purK//valX//hcaE//
NanR	isrC//fadR//
NimR	dgcC//yjhB//
NsrR	yccA//cecR//agaI//pfkA//nadB//yfiR//yjeV//ttdA//alsB//ecpR//uvrC//yhbE//glmS//yjjZ//trxC//ampD//ynbA//uraA//allB//mepH//omrB//argR//hofP//yccT//hcaR//allB//fliL//pfkA//treR//yhjC//
NtrC	obgE//ychF//yjjP//alaW//omrA//ttdT//yaeP//chiA//wecC//tktB//arcZ//mukE//mgtL//yfdE//tisB//mntS//manA//
OmpR	hcaF//motB//leuL//hflD//
OxyR	hisR//wzc//acrR//znuB//ynbD//agaB//ydeI//grxA//dacC//
PaaX	ivbL//patD//
PepA	ddpB//
PgrR	argX//yadV//ynbB//ydeJ//flgL//ada//phnF//
PhoB	nadC//frc//ybbW//glgX//agaI//yjhC//glyU//rcsB//exbD//ung//mngA//ydbK//fepD//gfcA//xdhC//aaeA//tktB//hflC//yjeV//purK//yojI//ygiZ//proL//phoE//hcaC//ynbA//alsC//ribA//cynX//glk//iscS//
PhoP	cstA//yeaE//htrE//kbl//trpE//ppdA//rffT//mprA//phnN//ydbK//pagP//mlrA//fliD//ykgO//phnH//mscM//
PspF	cho//
PurR	proM//msrA//fabH//ddpD//rffT//ppdC//ykgO//yciX//flgJ//livG//thrT//tpiA//nlpA//
RbsR	yhbS//
RcdA	pepD//metU//pepT//
RclR	murI//agp//cvpA//
RcnR	yhbT//
RcsAB	kdpB//sbcD//eno//pgm//flgH//
RcsB	eno//erpA//ppdC//gltK//
RcsB-BglJ	preA//flhB//add//csrB//metU//valT//gor//tyrT//cho//fliP//ychO//
Rob	fliR//
RutR	xapB//
SdiA	metT//
SgrR	pitB//rstA//aroF//yeiB//phnI//rclB//
SoxS	ybhF//glk//pnuC//mgrR//iscR//tktB//
SutR	ada//cheW//
TorR	sgrR//
TrpR	gpmM//nadA//recD//ygeH//ydeJ//yeaD//zntA//ppdD//
TyrR	trmD//symE//argF//
UidR	crl//
UvrY	csrB//accA//
XapR	ppdA//yjjP//
YdeO	aspV//tar//
YjjQ	tap//ecpA//tsr//alsC//malZ//alaX//fruK//
YpdB	mpaA//
YqhC	nimT//phnP//
ZntR	ydiV//
ZraR	rarA//
Zur	rpoD//mqsR//hcaD//metF//trpB//
