#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	hofN//
Ada	ymgA//gltX//dsbA//
AgaR	cpxR//yegZ//queA//rstA//znuB//ycjX//crl//
AlaS	ydfX//
AllR	recX//folE//fabH//tisB//ydbD//glnV//pdxA//iraD//tufB//
AllS	mukF//purB//wzb//
AlsR	phnK//glnU//allD//purF//rffH//tsr//
ArcA	sfsB//tonB//
ArgP	recX//nohA//hemF//
ArgR	asnB//livM//phnM//yjjP//msrA//ptrA//glyU//gudX//allS//fhuE//erpA//ymjC//paaX//insK//
ArsR	iraP//cvpA//ybhS//
AscG	hcaE//
AsnC	secB//
BasR	xdhB//
BirA	cheY//wrbA//alsA//fliQ//agaC//
BluR	argB//bioB//thrS//xapA//
BolA	alsB//pheV//
CRP	cra//hchA//phnL//alkA//yidQ//thrS//tyrT//tktB//ybhR//alkA//omrB//rarA//fruA//lysT//hofN//cheB//pnuC//mukE//narQ//obgE//speB//tsgA//rpsU//chiA//cheW//pepT//wcaA//fliD//cysD//tdh//phnF//mipA//rcsD//rplS//ppdD//cpxR//gyrB//zntA//ybhG//motB//ecpR//recN//aroH//ydcT//ydcV//yhfA//ppdC//phoP//ygeH//mukF//murI//hfq//alsE//dgkA//hslJ//dinF//gspB//ampC//hofC//yhdW//grxA//flgA//fabG//arfB//phnC//dhaM//tyrA//agaS//
CdaR	lacI//cvpA//ymiA//ynbA//tehA//
CecR	lexA//flgE//hofP//allC//tonB//
CpxR	agp//psiF//fhuD//raiA//hcaC//recX//malZ//rclC//yeaG//allC//hofP//valT//purE//mgtA//tpiA//ycgZ//gfcA//hyi//mhpT//ydiV//yqhG//ubiX//pitB//lolA//proL//csrB//insD//lolA//wcaA//garD//ynbD//ibaG//
Cra	glnW//glpG//wzc//rpmA//lysW//yadV//alsA//azuC//phnO//hemH//grxA//motA//cbpA//umuC//ariR//
CreB	ddpA//
CsgD	rybA//luxS//yagK//ecpA//comR//proK//avtA//bdm//flgG//
CueR	trpE//flgL//
CynR	ynbA//agaC//ydjM//tehB//
CysB	ymgA//glnU//yfiB//gcvA//artM//rffH//fadR//tadA//ycjG//lysT//
Dan	fhuE//bioC//agaR//fliR//
DhaR	lysW//priB//zraP//cysD//
DicA	comR//bcsB//hchA//valY//rpsU//trxC//valY//dgcC//
DnaA	tfaQ//iraD//
EvgA	mlrA//envC//ppsA//flgG//ybhS//potI//ybbY//
FNR	proK//tfaQ//gor//tktB//wcaA//yhjX//ycjY//adiY//obgE//ysgA//argC//ybhS//artQ//lysU//cdaR//arcA//agaB//yeiP//lysR//ykgR//fhuE//potI//metU//fliL//purB//ydcT//sbcC//
FadR	ybhF//mlrA//fliN//yhdW//yaeP//mpaA//gfcA//yecT//
FeaR	pgi//
