#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	sfsA//
Ada	phoP//argA//glmU//
AgaR	infC//prs//glxR//bioD//proM//flu//flgB//
AlaS	trxA//
AllR	tyrV//gcl//yebG//zraP//wecC//leuD//copA//rnlB//speA//
AllS	sgrR//bcsB//ubiG//
AlsR	rimM//ryhB//tfaQ//yegZ//yciW//mscM//
ArcA	bioD//uidR//
ArgP	upp//phnJ//arsC//
ArgR	cheZ//alsE//accD//flxA//ecpR//yneM//sxy//ychH//arcZ//flu//allC//dhaK//hofB//uraA//
ArsR	mgtA//yhhY//metJ//
AscG	cecR//
AsnC	psd//
BasR	insD//
BirA	bdcA//ftsK//treR//ycjG//xdhA//
BluR	cpdB//flgJ//mepH//glxK//
BolA	glnB//metC//
CRP	mgrB//hyi//metJ//ecnB//thrT//rpiB//flgL//yjjZ//tpr//tadA//xapB//leuA//ibaG//fliP//dkgB//pepD//purC//glpE//ydfE//yhbT//metC//potF//gpsA//pepD//ompT//ycgR//yfiR//azuC//kdpC//ydfW//ecnB//lysO//gspB//umuD//slt//sutR//insK//tbpA//xdhC//zntA//glgS//bioC//hchA//ribA//cysE//mngB//ppdB//livF//speC//asnA//hcaB//yeiB//pepD//yidL//ampC//lexA//gpmA//livH//glgB//prs//leuX//yfbR//sbcC//grxA//dapB//yaeQ//thrU//flgK//
CdaR	aroH//flgI//lolA//leuQ//ttdB//
CecR	rarA//cheR//tsr//artQ//yjhC//
CpxR	ybhG//ygdB//ycjG//valY//fbaB//ddpB//bcsZ//cpxR//yqhD//argF//livK//trpA//yhbE//yncE//cho//lysO//cyaA//malZ//fabI//phr//ymgC//argI//cho//yfiB//dsrA//polA//fldB//cpdB//artI//phoE//rof//ygaC//
Cra	htrE//cpxR//queA//cmoM//yibQ//rfe//argI//phnC//hcaB//hflK//ibaG//argI//artI//uspB//yfiB//
CreB	dinQ//
CsgD	glpR//fruB//infC//yciX//fabG//cvpA//bioF//purB//yiiS//
CueR	flgL//hemF//
CynR	phoB//ydcV//iraD//dgcN//
CysB	pheU//yagK//phoB//preT//phnN//symE//lysW//pheV//leuB//tpiA//
Dan	nadC//flu//preT//rplI//
DhaR	leuP//rnlA//hemF//fabI//
