#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	yeaH//
Ada	eno//mzrA//cpxR//
AgaR	patD//alaW//tpr//nadA//yaiW//yafO//valT//
AlaS	rsmA//
AllR	lysT//rffH//ppdC//yhhY//alkA//gyrB//phnL//gfcA//erpA//
AllS	uvrD//patZ//speB//
AlsR	ddpF//ryhB//tsr//ompA//aroH//ppc//
ArcA	pepA//lysC//
ArgP	insK//argT//argU//
ArgR	accD//tynA//yqhD//fliT//agaD//metU//fabI//yadV//argE//mlrA//rnlB//alaW//gspA//yjeV//
ArsR	ygeH//hyi//leuW//
AscG	ppdD//
AsnC	bioD//
BasR	mipA//
BirA	pepA//serT//paaY//rclA//cheR//
BluR	ldtC//umuC//argA//agaB//
BolA	pdeH//alaS//
CRP	ddpF//flgC//uspB//livK//pepD//bcsZ//motA//metJ//leuT//dsbG//acrR//artP//yhbE//sbmA//spf//slt//lexA//argC//azuC//gyrB//yhbS//metA//omrA//rplU//polA//sgrR//flgE//tfaQ//valU//wzxE//rnlA//recA//leuX//ygdB//pheU//tsr//yqaE//mngR//ecpA//nadB//yjeV//ddpB//ldtC//garD//gpmA//lon//sohB//dinQ//mcaS//kdpB//ychO//fepG//ydcV//yidL//aaeX//pepA//recX//glgB//wzc//ybhS//ptrA//yjhB//dhaR//flgH//mntS//mzrA//grpE//argE//
CdaR	artM//cynT//dhaR//fliN//phnD//
CecR	tfaQ//argE//mgtA//dtpA//hofN//
CpxR	gcvB//ihfB//fhuA//fldB//iscU//decR//ldtD//cynS//rybB//manA//dsbA//speB//rof//fhuD//livG//thrU//agaC//nadB//pdeH//yqjA//alkB//znuB//murI//yegZ//hokE//ppc//yhdZ//zntA//ymjD//flgA//yebE//phnD//
Cra	pagP//fliM//ymiA//argH//potI//dhaL//thiP//metA//pepA//sutR//cysK//iraD//trpL//ydcU//flgI//
CreB	ydbK//
CsgD	proM//rstA//rstA//ecnB//yaeQ//sroA//glgS//xdhA//ycgR//
CueR	nadA//potH//
CynR	agaI//mqsR//ariR//argW//
CysB	paaY//eno//nadA//hslJ//tyrA//accA//agp//bluF//nimR//yciX//
Dan	livF//talA//rplU//ydfN//
DhaR	rimM//psiF//yiiS//yafN//
DicA	iscR//tktB//gltJ//zraP//fabD//yecT//thrU//hofP//
DnaA	flu//argI//
EvgA	yqjA//ychH//paaY//metA//pdxA//hisR//yciX//
FNR	alsE//metJ//csrB//patZ//kdpC//pgi//gltJ//tyrB//yfdV//phoR//cynR//aaeX//xdhA//gltI//dsbC//bcsB//talA//cheW//allC//ung//serT//cmoM//mqsR//yaeQ//dgcN//mgrB//flgK//
FadR	iscU//mgrR//nlpA//yafO//fldA//phnE_2//ydiV//phnP//
FeaR	pepD//
Fis	rof//mcbA//seqA//dinD//yafN//flgA//phoR//ykiA//phnF//ycjY//tyrB//rplI//fldB//flgB//lexA//sfsB//fliO//thrW//glyT//mcaS//lysW//yaeP//thiP//yoaC//phoA//cbpM//ilvN//tpiA//malZ//wzzE//alsC//pitB//fabG//flgG//cynT//cysD//tsgA//ilvY//yccA//livK//yaeQ//fliT//gudP//hofN//flhB//fhuB//gfcA//dtpA//yebE//pgm//cynX//gyrB//rpsP//yaiW//mgtL//rstA//
FlhDC	thrS//uspE//hflK//preT//leuE//ychO//cueO//trpA//rclA//speA//ykiA//flgG//tadA//grxA//queA//tpiA//ppdD//allS//fldA//erpA//leuL//bdm//yagK//yhdZ//pagP//pepT//intQ//mngA//cynT//proK//glxK//ibaG//alsE//flgL//ampD//phnC//nlpA//tsr//
FliZ	phnG//
Fur	trxA//fliS//glgB//polB//trpL//sfsA//cbpA//thiP//ydcS//fabH//lysU//patZ//iscU//wrbA//ybbW//fliO//yfdX//fepC//tktB//murR//htrE//ddpX//ycgR//topA//
GadX	leuW//tpiA//priB//talA//ihfB//ydcV//tpiA//
GcvA	argF//ydeA//
H-NS	flhB//ykgM//flhB//crl//nadA//xdhC//pnuC//kdpC//ppsA//gor//cheR//umuD//fruA//dapD//
HU	trpE//yiiS//
HcaR	fabD//rpoD//flhB//allC//ompT//ldtC//
IHF	ydfN//nlpA//arsC//ppc//flhA//oxc//rfe//
IlvY	rclB//ibpB//
IscR	ibpB//dinB//yhbT//ompN//garD//rof//uspE//leuT//
KdpE	pitB//sroC//fabG//mltF//
LeuO	pdxA//ddpF//ubiG//ribA//envC//agaB//
