#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	efeU_2//
Ada	tyrV//mukB//yafN//
AgaR	bdcA//yjhB//thiP//ynbB//cysK//ptrA//oxyS//
AlaS	ynbA//
AllR	arsB//yeiB//ttdB//rpsU//hofO//allC//wzxE//narQ//fhuD//
AllS	ychO//rpsR//leuE//
AlsR	ydfD//ibpB//leuW//gpmA//phnF//alaA//
ArcA	yqjA//cstA//
ArgP	rpiB//tufB//omrA//
ArgR	ysgA//yncE//flhE//argU//yoaC//ydiV//ubiG//tfaQ//yhjC//glxR//mqsR//rfe//ivbL//cheZ//
ArsR	rimM//dhaK//ampE//
AscG	metC//
AsnC	hdfR//
BasR	gpsA//
BirA	rcsD//polA//ruvA//yjhB//leuC//
BluR	rpmI//mngB//fnrS//speA//
BolA	yhdY//glk//
CRP	ybaS//ihfB//tbpA//raiA//insD//glxR//ydeA//wzb//wzc//ibaG//trpR//hcaR//talA//nimT//argI//yciW//rplI//yeaH//fldA//leuT//thrU//flgC//rcnR//nohA//motB//fliT//cstA//phnI//flxA//wzc//agaI//cynT//argR//yhbS//yadV//sohB//msrA//fbaB//kbaY//flhB//iraP//raiA//gudP//apaH//tap//hflD//cheZ//leuQ//asnA//tyrB//cpxR//yfiR//bioC//kbp//oxc//phoR//copA//ydfW//cdaR//argX//argI//infC//ybjG//rcsD//yeiW//glgX//rdoA//yegZ//
CdaR	tadA//ecpA//yhfA//lysO//hyi//
CecR	ygdB//allE//alaX//ddpF//copA//
CpxR	ybbW//trpA//treR//cynR//preT//rfe//glmS//iscA//uvrB//purC//thrU//ykgM//pepD//rpiR//phnP//ydfN//leuV//kbp//ychH//ygaC//treR//ymgC//wzyE//mzrA//ycjY//emrA//rarA//glgS//adeD//rfe//gcvB//rmf//
Cra	ppiD//livH//hemH//patD//leuD//cpxQ//metJ//erpA//yiiS//trpD//dhaK//artM//livJ//arsR//ydjM//
CreB	efeU_1//
CsgD	argX//pgm//fldA//fepG//creC//creC//dinD//flgD//ydfW//
CueR	rcnR//hflX//
CynR	phnN//ampE//ychO//ubiG//
CysB	ydfN//trpA//aaeR//ygeH//sdaA//ymgA//umuC//thrT//gpsA//mgrR//
Dan	rof//ppdD//tbpA//phnD//
DhaR	ychF//recB//ilvY//rof//
DicA	priB//gspB//yaeQ//fepG//wzyE//yhdX//gudP//gor//
DnaA	iraP//cheB//
EvgA	phnK//thrS//flgA//cheW//ruvB//htpG//yhdZ//
FNR	yegH//cpxQ//ycjF//nlpA//accA//ydiV//rffT//dsbG//ykgO//ybbY//glnX//recC//ymjD//yqjA//gudP//seqA//yebG//flgI//gspB//tyrV//ppdA//xdhB//bluF//glnU//ygiZ//patD//xdhA//
FadR	dinF//yjjZ//leuA//tynA//ycjX//ydcS//yjeV//rclB//
FeaR	yjjZ//
Fis	tar//ybaS//sxy//ecpR//cysK//dacC//mgtL//flgJ//accA//malZ//pdxA//ppdD//murI//flhB//arsB//ycgZ//phnO//topA//sroA//yjeV//rcsB//intQ//ompX//argX//purB//gspB//preT//nadB//hofN//nadB//thrU//dinB//htpG//ygbK//ttdB//ryhB//flgE//agp//pepD//ruvB//crl//trpC//fepD//yeaG//ecpR//ysgA//manA//dhaR//metJ//ybaT//amn//yneM//efeU_1//arsR//cbpA//cynS//
FlhDC	talA//fruB//metU//yfiB//hofC//wrbA//umuD//purB//aroF//thrU//glpE//phnF//secB//ygeH//valT//intQ//trxA//dicB//yoaC//azuC//pepT//phnM//yfdV//motA//ysgA//torR//tar//yegR//glnW//murI//znuB//dkgA//ppiD//flgL//murI//thrS//dinB//ecnB//
FliZ	phnO//
