#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	fliL//
Ada	flgA//ung//alsC//
AgaR	ybfE//yafP//yfdX//raiA//motA//mscM//fliT//
AlaS	artP//
AllR	phnI//fepG//metU//asnA//ldtC//arsR//ppsA//trxA//hflX//
AllS	iraP//rcsB//yhbS//
AlsR	amiA//pepA//mcbA//dinQ//phnL//thrT//
ArcA	frc//wzzE//
ArgP	adeD//agp//ymiA//
ArgR	motA//artQ//slt//leuT//cheA//sdaA//yaeQ//hflD//livK//azuC//mgtA//argR//hcaR//ynbD//
ArsR	yfiR//hofM//efeU_2//
AscG	gspB//
AsnC	argW//
BasR	gltK//
BirA	phnC//potI//ynbB//argI//ppdD//
BluR	paaY//ycgZ//argB//rimM//
BolA	sdaA//sbcD//
CRP	yojI//grpE//ilvY//pgm//ppsA//leuB//bioC//yciW//cysE//creB//glgX//yafN//mzrA//cpxQ//thrT//gcvA//cheB//sbcC//pgpC//motB//rpoD//bioC//phnN//mprA//cvpA//ung//ubiX//pgi//grxD//glxK//yqjA//proK//ampD//yhjX//kbp//flgC//uspB//fliR//argC//yojI//potH//ynbA//yqaE//wecC//ybhG//hemH//glgB//grpE//leuE//asnB//phnM//thrS//exbB//fabI//ykgM//copA//oxyS//artI//pspF//dapD//glnX//fabI//yeaH//pgi//bluF//mcaS//argU//hisR//
CdaR	tpiA//rplS//yfdX//ykiA//pgi//
CecR	rpmI//copA//ycgZ//ymjC//trpA//
CpxR	cheW//ydfN//sbcD//yebG//artQ//tyrU//ynbB//yoaC//cynX//ybhL//metT//metA//dhaK//alaW//ymiA//efeU_2//recD//uspE//yhbS//dnaG//mgrR//fldB//yafN//uspE//cyaA//lysT//gltI//proM//psiF//argA//ttdR//hcaE//
Cra	cueO//alkB//gltX//dhaM//mgtA//uidR//yfdV//dapD//add//hofB//ibaG//rcsD//glmU//allA//flgG//
CreB	lysU//
CsgD	thrW//phoR//lysU//thrU//ppdA//yidQ//tyrT//yebG//argC//
CueR	allS//flgA//
CynR	fadR//phoB//ivbL//rffG//
CysB	flgH//cheA//glnB//znuC//yhbS//cmoM//lysR//amiA//kdpF//rfe//
Dan	yeaG//ymiA//uvrD//tisB//
DhaR	fliO//dgcC//gltI//rpsF//
DicA	ydfE//btuB//rsmA//argB//preA//ydcS//ruvA//ompX//
DnaA	yeaD//grxA//
EvgA	uvrY//artJ//uidR//nlpE//xapB//rarA//secB//
FNR	intQ//iscR//motB//pheS//yafO//cheZ//ydfE//fnrS//obgE//yciX//iscA//adiY//yeaE//ldtD//dhaL//gor//fliN//xdhA//lysU//agaB//lysV//cueO//ddpB//ygaC//phnE_2//copA//rpsR//
FadR	glyT//pfkA//yjhB//dksA//pepD//allE//tfaQ//alaX//
FeaR	hofN//
Fis	arcA//leuP//dgcN//preT//ychH//trpA//dhaR//artI//fabI//pfkA//agaB//pgi//bioD//yhdY//rybB//fadM//gyrB//omrA//fliO//argI//ynbA//glnU//tadA//flgH//cho//tar//phnC//mukF//polB//cpxA//aaeR//tdh//ppdA//aaeX//cysC//fepC//glmS//fliS//flgH//phoB//yhfA//cynX//recC//intQ//dsbG//purB//alaX//bdm//tdh//leuD//ecnB//flhA//potH//bioF//ftsK//garD//
FlhDC	sbcC//tisB//leuC//hofP//secB//rcsD//rcsB//yadV//narQ//rstB//ddpF//leuP//gor//cynS//tdh//sxy//dinD//speB//ttdT//yjjP//ydcS//yccA//rffM//flgD//dapD//yafO//mqsR//ybhR//ihfB//pdeF//bioB//creA//tehB//nohA//fliO//thiQ//rnlA//osmB//
FliZ	fhuA//
Fur	lrhA//ykgO//lacI//yncE//nlpE//argH//allC//mcaS//mpaA//rimM//thrT//trpC//trpE//leuQ//lolA//ampE//ompT//mpaA//leuX//dksA//gcvA//ttdT//recX//kdpA//
GadX	speA//trpD//purK//tsgA//ruvA//alaA//recC//
GcvA	dsbA//murR//
H-NS	add//yhdY//wecC//phoE//wcaB//ryhB//thrT//fabD//xapA//rcsD//mukB//cra//speC//dgkA//
HU	artP//kdpA//
HcaR	yccA//ynbA//allD//aaeA//yafO//erpA//
IHF	speC//arcZ//flgI//thrW//mhpT//talA//ampD//
IlvY	ilvB//mngA//
IscR	ynbA//lysU//ysgA//znuB//hcaR//recB//fruK//tsgA//
KdpE	argC//argI//flgB//ftnB//
LeuO	uspD//purF//aspV//ychO//dicB//ariR//
