#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	phnH//
Ada	osmB//fruA//yqhD//
AgaR	creC//asnB//alsA//xdhA//ydjM//fnrS//phoA//
AlaS	leuX//
AllR	ykgO//mukE//ynjI//uvrD//xapA//ydbD//rplI//sutR//mgrR//
AllS	uvrY//ybhL//wzc//
AlsR	arcZ//tbpA//cho//azuC//hflX//phnN//
ArcA	arfB//gpmM//
ArgP	oxc//cueO//alkA//
ArgR	artM//ibpB//dhaM//rclB//treR//dhaK//slt//emrA//ybhS//pepA//cpxQ//asnB//ybaT//wzzE//
ArsR	sfsA//hcaF//livJ//
AscG	fliD//
AsnC	talA//
BasR	yeiB//
BirA	sohB//wzzE//symE//leuA//pitA//
BluR	mngA//thiP//ddpD//fliO//
BolA	agaC//ptrA//
CRP	artI//recA//thrS//rpmI//agaD//omrA//gcl//phnF//trmA//yhdX//ybjG//nimR//rybB//rmf//ddpF//yafN//eno//mntS//sxy//rffC//uidR//trmD//aaeB//agp//hofC//tisB//yebG//tisB//allS//arcA//secB//grxD//aspV//copA//bcsZ//bioD//yjhB//ubiG//cho//argW//asnB//htpG//flgD//yhjC//pspF//yfiB//glnW//glnU//rpiB//arcA//fliO//argA//spf//tyrV//dsbG//patZ//grpE//metC//fliT//xdhC//gltK//argH//ilvB//alaA//yjjZ//uspD//ttdA//flgH//
CdaR	argH//mukE//ibaG//purK//cstA//
CecR	rclA//preA//dicC//speB//argE//
CpxR	rffM//ybfE//mgtL//sohB//cysC//hcaR//flgK//rsmA//mukE//uidR//purB//hemH//flxA//glpE//fliM//yebG//comR//mepH//sohB//ynbB//ybhL//tehA//valT//fhuE//phoP//cynX//ppdC//paaX//ldtC//proM//kbp//adiY//
Cra	fecI//rpsP//trmD//azuC//yeaH//cyaA//glpE//dinF//recX//ftsK//polA//yecT//ymjD//hflD//dhaL//
CreB	dinG//
CsgD	yeaH//agaS//csrB//bcsZ//rpmA//ybjG//speA//cbpA//grxA//
CueR	nadA//ubiX//
CynR	yhfA//glpE//yhdX//rclC//
CysB	ybjG//rof//fbaB//alaW//cueO//cmoM//nadC//rffH//uspB//yjeV//
Dan	pykF//potG//insK//emrA//
DhaR	kdpA//hchA//cho//phoP//
DicA	tdh//argE//decR//mngR//nohA//yqjA//dicB//uraA//
DnaA	pdxA//ygaC//
EvgA	psd//glxR//ivbL//phnC//flgI//malZ//glnX//
FNR	ynbA//cynX//rstA//allS//alaA//livJ//tehA//cbpM//hofC//ppdB//btuB//yhjC//fhuD//mukF//ygiZ//exbD//argA//kdpA//ruvB//eno//rffG//cueO//serX//kdpB//phnE_2//wcaB//yhhY//
FadR	sbcC//purL//flgD//wzxE//pagP//ychF//yjhB//yegZ//
FeaR	asnA//
Fis	osmB//msrA//ydcU//dhaM//hdfR//fliO//cbpA//hcaD//ymgA//umuC//cpdB//ydfE//cbpM//yfdV//phr//glyT//artI//gudD//glgS//cynT//ygiZ//ppdB//dsrA//cstA//tadA//ymjD//adiY//ppdC//argF//fbaB//envC//artQ//wzxE//livJ//cbpM//ubiG//cbpM//ychH//tbpA//mepH//umuC//mqsR//fbaB//agaR//motB//azuC//gltX//yebG//uvrB//phoB//lysU//yqhD//ynbA//tisB//allA//dksA//
FlhDC	allD//thrU//crl//alkB//uvrY//sxy//fldB//wecC//glnV//grpE//insK//flgH//ppdC//tktB//fliM//motB//lysV//paaY//ycjX//htpG//hisR//metA//cpxP//cdaR//sdaA//ychO//ydfN//ydiV//phnK//ddpB//sutR//argT//purK//cpxP//dinF//leuE//ykiA//lysC//
FliZ	omrA//
Fur	dhaL//yfiB//yagK//gpmM//sfsA//recC//tar//ydcU//ybaT//lysV//rnlA//flgC//cysE//cheB//fabG//serX//ecpR//umuC//ykgO//flgB//agp//dnaG//grpE//exbD//
GadX	dsbG//bluF//yqjA//dinQ//yafP//tehB//phoE//
GcvA	trpD//allS//
H-NS	allD//insD//rimM//purC//trmA//leuD//cheY//ycjG//tar//luxS//ttdB//arcA//fadR//ysgA//
HU	avtA//rpiR//
HcaR	rfe//pitA//ttdT//insK//bioF//gltL//
IHF	dicC//ydjM//recX//gudP//ydcS//dinQ//yeiB//
IlvY	leuV//xdhC//
IscR	yhdY//cpxP//lrhA//dtpA//phr//kdpA//rffT//artP//
KdpE	hokE//gudX//hofC//phoP//
LeuO	preT//fhuB//cysK//frc//intQ//recC//
LexA	pspF//argH//rpsP//phnI//kdpA//uspE//efeU_2//phnI//kdpF//hofC//fliT//dsbG//mepH//livK//allS//mukB//exbD//avtA//argE//allD//bluF//cysD//speC//omrA//ygbK//pdeH//tbpA//mhpT//gcvA//nadB//cpxR//iscR//trpD//thrT//exbB//uvrC//gltK//
LrhA	ykgM//
Lrp	gltI//alkB//glmS//recX//ddpA//yhbS//alsA//ygbK//comR//tpr//cvpA//ycjF//murR//erpA//
LysR	adeD//
MalT	potF//
MarA	ttdB//ddpB//
MatA	pgi//aroF//
McbR	tehB//
MetJ	cysC//yeaG//pepA//cheR//talA//
MlrA	phnP//purL//wcaB//rybB//kdpC//
MngR	hcaF//efeU_1//efeU_1//
MntR	hofB//hflD//
MprA	motA//thrU//valT//
MqsA	dapD//ymgA//
MurR	fbaB//
Nac	cdaR//garD//agaS//allE//sxy//
NadR	fabI//cynT//cysC//
NagC	ydfN//rplI//gudP//yccJ//yeaG//
NanR	alaW//artJ//
NimR	yncE//phnF//
NsrR	murR//lacI//ykgO//flhA//uspE//ykgM//symE//fliL//yjeV//alkB//ydcV//fecI//bioD//flgG//agaR//gfcA//ppdB//yhjX//crl//bluF//proM//arsC//dkgB//dgcN//iscA//ydeI//infC//nadB//artQ//tbpA//
NtrC	trpL//rpsU//mngA//yegH//ydfW//trpB//trxA//glnB//agaR//metC//gcvA//dkgA//yjeV//mngB//dhaK//mgrB//trmA//
OmpR	tehA//hchA//gltX//fadR//
OxyR	glpE//ilvC//ybhS//glpE//adeD//yccJ//spf//osmB//bdm//
PaaX	oxc//wecE//
PepA	purK//
PgrR	lexA//argW//ydfW//ihfB//zntA//dkgB//flgF//
PhoB	psd//iscA//valT//ampD//fliM//ttdT//umuC//sbmA//pgi//rclA//gspA//leuT//arfB//tfaQ//ftsK//rpiR//ybbW//dgkA//sroC//tpiA//phnF//cbpM//hflX//glgX//ybbY//cvpA//yhhY//kdpF//cheB//hfq//fabG//
PhoP	trxA//ydcS//nimT//gpsA//lysW//cheA//hofB//tsr//csrB//ychH//yjhC//purE//avtA//trpL//alsE//ydbK//
PspF	topA//
PurR	glgS//topA//yoaC//thrW//fabD//metF//flgG//pagP//fhuD//mgrR//livH//slyB//tyrT//
RbsR	tfaQ//
RcdA	uspE//zraP//uvrY//
RclR	flgJ//ecpA//pheV//
RcnR	oxyS//
RcsAB	ybhG//znuB//isrC//grxA//htpG//
RcsB	tap//rof//phnE_1//fepC//
RcsB-BglJ	nadA//ompN//aroH//ppdA//upp//yeiP//sfsB//ppiD//rnlA//wrbA//mcaS//
Rob	motB//
RutR	yafN//
SdiA	sohB//
SgrR	gspA//argE//rffH//cho//ydjM//alsB//
SoxS	rclB//fabG//hofM//mntS//ydiV//alsE//
