#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	agaB//
Ada	rplU//kdpB//fepC//
AgaR	phnD//iscS//hcaB//yebE//yhbT//allB//ydcT//
AlaS	argC//
AllR	purC//argB//argE//envC//yeaE//glmU//ykiA//slyB//gor//
AllS	cynX//leuX//leuW//
AlsR	rffH//alkB//bcsZ//omrB//queA//alaS//
ArcA	yebE//aaeX//
ArgP	lrhA//patD//rimM//
ArgR	ybhS//yibQ//cheW//cmoM//yeaD//glnB//metF//ynbD//rffM//znuB//arsC//chiA//btuB//agaD//
ArsR	thiP//pitB//mpaA//
AscG	ribA//
AsnC	tyrT//
BasR	rpoD//
BirA	fecR//torR//livG//sutR//trxC//
BluR	gspB//cueO//yeaH//preT//
BolA	fepD//hflD//
CRP	rof//isrC//ydfX//glnW//mepH//fabI//yafP//fliS//tpiA//ydiU//glmS//artP//priB//hisR//livK//polA//ppdB//ychH//lysT//dtpA//livF//folE//ydcV//uidR//bacA//leuE//lysT//agaC//ychO//fadR//ompN//acrR//fhuB//dicB//alkA//seqA//cysD//nadA//phnG//xdhC//dhaM//metJ//gltJ//glgB//omrB//wrbA//yeiW//mntS//ynjI//ttdT//hofN//alkB//dinF//sgrR//ddpC//btuB//ryhB//fabH//intQ//mqsR//argI//uspD//grxD//ecnB//artJ//azuC//cynS//ydfN//
CdaR	seqA//tar//purE//leuV//tufB//
CecR	znuB//leuQ//aaeR//hcaE//trpC//
CpxR	yccT//trxC//lrhA//uvrB//yjjP//wcaB//hofO//bacA//valT//yegZ//ompX//mntS//hemH//agaI//ymiA//ibaG//leuA//bdm//rpsR//mgrB//argB//gltI//fnrS//yidL//ptrA//pspF//pdxA//agp//yafO//speB//yqhG//kdpB//
Cra	hslJ//alaC//ybhG//fliP//tdh//fhuC//arsC//yegR//cpxP//ppdA//msrA//hcaR//ydcS//mngR//pgi//
CreB	rmf//
CsgD	yhbT//sfsA//tufB//dinB//ydfN//tyrT//phoR//lysR//fadM//
CueR	rplS//bcsZ//
CynR	recD//flxA//fliT//accA//
CysB	glyU//lolA//malZ//yojI//ymiA//ydfE//proL//uvrD//hcaC//flgG//
Dan	hofN//creC//rdoA//creC//
DhaR	hofO//dhaL//arsC//gpmM//
DicA	narQ//pitA//kdpC//wzxE//flgI//fliN//murR//glgB//
DnaA	motB//secB//
EvgA	murR//purB//accD//leuC//purL//dgkA//mprA//
FNR	yeiB//insD//slyB//pspF//cpdB//cbpA//phoH//serX//btuB//speA//ynbB//xdhA//cyaA//phnL//yhdW//tyrB//ubiX//wza//rpmA//cueO//hchA//fhuE//xapA//yfdE//luxS//pitA//omrA//
FadR	dsbA//ynbC//asnA//gltI//gcvA//yhhY//mltF//yqjA//
FeaR	ydcV//
Fis	alaW//argI//hcaF//zntA//fldB//bacA//ubiX//bioC//yqhD//rof//tar//phoA//rybA//erpA//serT//argI//thrU//bcsZ//leuC//ompA//ymgC//thrW//leuA//livJ//yeiW//dinD//mgrB//gyrB//leuP//ydbK//ilvN//oxc//sbcD//yfdE//mntS//gspA//ydfE//bioF//yhdZ//tynA//sxy//tar//cynX//ribA//cysE//mltF//yafP//phnE_1//pfkA//slt//sohB//dinQ//fepG//phnO//ibaG//rclB//
FlhDC	lysO//wzyE//znuC//yidL//ydcT//erpA//ampE//tpr//alsC//cstA//hcaE//cbpA//htpG//hcaD//bacA//rstA//rpsR//glgX//ydeJ//sfsB//flgK//fliL//paaY//azuC//ilvC//fepG//glxR//ibaG//ttdA//patD//torR//phnP//rstA//yebG//phnE_2//bioC//mcbA//hofB//
FliZ	ykiA//
Fur	fbaB//tap//btuB//phnM//yjjP//ompT//tpiA//trmA//apaH//wzb//ycjF//potF//hcaD//yeaH//gcvB//arsC//flxA//prs//glpR//glxK//yadV//phr//fliS//nadC//
GadX	ydeI//ddpC//recA//cynX//arcA//rclB//speC//
GcvA	fepD//mipA//
H-NS	hofO//oxc//tar//pheT//ydiU//dgcN//bcsB//wcaB//trpB//glpG//lysV//hofM//pnuC//phnN//
HU	recX//arcA//
HcaR	pepD//argH//sfsB//kbl//uspD//ydeJ//
IHF	wecB//ynbC//livG//creC//rffH//pnuC//htrE//
IlvY	psiF//ydiU//
IscR	yciW//tar//tar//trmA//ygdB//glgX//cpxP//cpdB//
KdpE	ybbW//asnA//yneM//rstB//
LeuO	ampD//tyrB//mpaA//hcaF//hofB//alsE//
LexA	ppdD//pepA//dapB//nimR//gltK//yhbT//gpmM//yfbR//rutR//cysN//yegZ//ydeI//arcA//yeiW//rclC//ilvY//hfq//zraP//yjhB//dsbG//murR//thrS//iscU//yeiW//lysR//trmD//kbl//rybA//hcaR//treR//tcyP//yiiS//yfdX//glmU//flgB//yeiB//cynT//
LrhA	mcaS//
Lrp	cheB//erpA//gltK//bcsB//motB//queA//trpA//mcaS//omrA//psiF//trpC//bdcA//mhpR//iraP//
LysR	cbpA//
MalT	rpmI//
MarA	rmf//fliQ//
MatA	ryhB//rpoD//
McbR	potG//
MetJ	yegR//rclC//aroH//yeaE//pdeH//
MlrA	serX//ruvA//cra//aaeB//ymjD//
MngR	lysU//yiiS//mscM//
MntR	alsB//flgK//
MprA	recD//ycjY//fabH//
MqsA	dhaL//hflD//
MurR	tap//
Nac	hdfR//tpiA//thrU//pagP//fliL//
NadR	bioF//symE//tyrV//
NagC	flgA//argB//dkgA//dksA//ribA//
NanR	phoR//mlrA//
NimR	wecB//leuW//
NsrR	gpmA//flgB//leuQ//omrB//rclA//ynbA//glk//osmB//psd//lon//dksA//pheV//rdoA//pepD//aaeX//fadR//ppiD//mngA//ydeA//adeD//fhuA//leuC//aaeX//rpmA//narQ//yegH//rffG//ydbK//polB//phnH//
NtrC	artP//rffH//ygiZ//gspB//ecnB//proL//dicC//tpr//pheU//fepD//yccT//gspA//aroH//mntS//uspD//wzc//xdhA//
OmpR	mukF//yfbR//yqhG//pdeH//
OxyR	potI//trpE//trpA//pgpC//secB//znuB//fabD//ygeH//yeaG//
PaaX	nadC//sutR//
PepA	leuE//
PgrR	hisR//pdeH//proM//yhjC//mntS//gltJ//dinB//
