#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	rpiR//
Ada	ybhG//phnE_1//fhuA//
AgaR	cysK//apaG//motB//hofP//avtA//lexA//argI//
AlaS	phnH//
AllR	cysC//trxC//ymgA//ilvB//dksA//mgrR//yhbE//xseA//cyaA//
AllS	purB//yojI//cpxA//
AlsR	agaC//phoE//xdhA//pagP//isrC//cecR//
ArcA	rcsD//lexA//
ArgP	yqaE//oxyS//garD//
ArgR	glyT//leuX//dinF//hokE//fliP//yeaG//fabG//btuB//yecT//flgF//ttdB//aaeR//ybhG//metC//
ArsR	isrC//sfsB//fruA//
AscG	kbp//
AsnC	yccA//
BasR	ttdR//
BirA	nadB//decR//sroC//bioA//ftnB//
BluR	ycjF//cecR//tonB//seqA//
BolA	tsr//ybaS//
CRP	phnF//ada//tonB//gpsA//dapB//fruA//mipA//cyaA//rplU//potF//phnN//yjhC//yncE//ydfH//speA//glgX//trpA//speB//pepD//ydcT//leuW//hslJ//tdh//mhpR//dhaL//tktB//ybbW//glnW//ydbD//iscR//ttdA//tadA//ptrA//mcbA//pheT//cvpA//mntS//yeaG//ecpA//gltX//hslJ//agp//fabI//ydfW//ycjX//tehA//ecnB//dkgA//ilvB//cpxQ//fliN//rsmA//flhE//aaeR//sbcC//patD//glnU//ubiX//valU//znuC//trxC//ftnB//livF//narQ//fruK//yhdZ//envC//omrB//
CdaR	kbp//uvrC//yjhB//ppdB//ilvY//
CecR	leuQ//mukF//narQ//recB//patZ//
CpxR	xseA//yfdE//uspB//asnB//glyU//bdm//ilvY//creA//thrW//spf//grxD//cvpA//murR//glk//ybjG//polA//ddpA//ybhR//iscU//accA//ymjD//potH//trpD//flgL//arcZ//flgH//valT//mhpT//trpD//ampE//dtpA//dgkA//
Cra	agaC//ddpA//nadC//mcaS//glgX//ykgR//trpC//yafO//thrS//ribA//cynX//ydfN//fnrS//agaI//grxA//
CreB	lysO//
CsgD	yjhC//cho//ilvB//nlpA//mukB//entS//aaeB//cheR//potH//
CueR	osmB//hflX//
CynR	arcA//yhdX//xdhC//creA//
CysB	bacA//rybA//wecE//rnlB//ddpF//yfdX//rdoA//yibQ//dhaK//agaS//
Dan	mngA//tyrT//thrW//mscM//
DhaR	ydfN//hemF//ymgA//mlrA//
DicA	yjhC//phoA//sbcC//sbcD//aroH//phoB//dinD//thiP//
DnaA	speA//ydjM//
EvgA	allE//oxyS//cmoM//uvrD//lrhA//umuD//ubiX//
FNR	livG//bioD//acrR//glnX//gltI//yciX//fldB//rffM//uvrY//ruvA//fhuC//artJ//hflK//borD//accA//uidR//umuC//ydfW//metJ//yjjZ//crl//dinB//argC//nlpA//ybbY//ruvA//hisR//
FadR	ada//efeU_1//allD//psd//xapB//fbaB//lysC//murI//
FeaR	gcl//
Fis	ddpF//fabI//rpoD//metA//ynjI//trpA//fecI//flgH//thiQ//pykF//cvpA//kbaY//pspF//valX//amiA//hflC//efeU_2//metT//cmoM//trxC//yegH//dkgB//agaB//ydeA//bioA//trmA//nlpE//gudP//pheS//xapB//ttdT//murR//pdeH//ftnB//arcZ//ycgR//thiP//leuW//ygiZ//artP//yciX//yeiP//tsgA//artM//ycjG//cheA//yciW//hofC//ychO//argW//glgS//phoB//ykgR//tonB//bioA//yeaD//
FlhDC	ompA//flgD//sxy//yegR//tpr//leuD//ompA//lysT//gltK//ymiA//comR//yhdZ//fabG//flhA//tehA//gudD//cecR//mgrR//cecR//potI//iscU//ybhR//patZ//oxc//tyrA//phnF//ilvC//ydfH//dhaR//mukE//leuE//hcaD//ybhG//dgcC//metF//dapB//psiF//ampD//
FliZ	allB//
Fur	flgB//rpmA//glnX//yfdV//apaH//uvrC//msrA//ydbK//valU//recC//dsbC//mpaA//fliR//garD//mcbA//sutR//manA//argB//kbaY//tar//ybhL//dsbC//bioA//rclB//
GadX	alaC//yhdY//polA//yaeP//infC//rybB//flgH//
GcvA	purE//ybbW//
H-NS	tehA//fliT//nlpA//sdaA//lysW//rybB//arsR//nadA//osmB//ynbA//htrE//ilvB//wcaB//sutR//
HU	ycjG//chiA//
HcaR	dnaG//glpG//yeiP//tktB//potH//bioD//
IHF	ykgR//gpmA//kbl//argE//ydfN//ygaC//fliN//
IlvY	ompA//ycgZ//
IscR	rfe//mscM//ymjD//oxyS//mgrR//wecB//lysO//metC//
KdpE	wzyE//sfsB//bioC//wcaA//
LeuO	mukF//grxD//apaH//livG//tyrU//emrB//
LexA	iscU//phnP//nadC//metT//flu//cvpA//hofN//symE//yafN//glpE//serX//ppdA//potH//exbD//flgF//cynT//tbpA//flgI//rffH//purE//bluF//leuA//fecR//murR//trpR//bcsB//motB//fepD//ompT//ydbD//ftnB//hslJ//thrU//motA//cynS//alaC//mhpR//
LrhA	iraD//
Lrp	hflD//creC//yegZ//kbl//flgF//pepT//ydeI//nlpA//cheA//yidL//raiA//ubiG//polA//yfbR//
LysR	glnV//
MalT	leuV//
MarA	murI//iscS//
MatA	treR//pheS//
McbR	flgK//
MetJ	serX//rpsP//efeU_2//proM//gltX//
MlrA	phoE//ydfW//yebG//emrB//fldA//
MngR	tisB//dsbA//murR//
MntR	recA//ydeA//
MprA	umuD//preT//glpE//
MqsA	ygdB//dgcC//
MurR	dsrA//
Nac	ilvC//dicB//fhuA//ydeA//ychF//
NadR	ydbK//glpG//aaeX//
NagC	aaeX//mlrA//trpC//torR//rimM//
NanR	trmD//pgi//
NimR	cvpA//recN//
NsrR	tsgA//yfdE//yqhD//oxyS//ddpD//argC//ynbC//yegZ//arfB//yfdV//nohA//gcl//pnuC//ygeH//dgkA//cynX//bcsB//fhuE//fabI//ilvN//bioC//ybhL//mgrB//erpA//leuA//ampD//cysK//treR//ilvB//rcsD//
NtrC	pspF//rffC//ampE//ydfD//rpsU//cdaR//yqhG//sbcC//wecC//hcaB//yaiW//fruK//ybhR//fbaB//znuA//purK//yeiW//
OmpR	dicB//narQ//dkgA//cueO//
OxyR	cysN//ydeJ//ybbW//iraP//cheR//yhdY//fruK//ybbW//envC//
PaaX	livM//xdhC//
PepA	torR//
PgrR	ydfX//trxC//cheW//mgtA//yaiW//hcaB//yhbS//
PhoB	creC//dhaL//rdoA//purE//flgF//murI//cstA//ddpD//gltI//fruA//cysN//gor//ymgA//ynbD//ycgR//fadM//obgE//rpsU//dkgA//ychF//sbmA//ppdC//leuQ//lrhA//manA//fecI//ttdB//grpE//ydjM//efeU_2//dsrA//
PhoP	fepC//nadC//glmU//motA//isrC//livH//rmf//flhE//narQ//luxS//prs//phnN//ygaC//ribA//yqaE//fbaB//
PspF	iraD//
PurR	fepG//rpmA//gpmA//sdaA//hflC//tehA//dnaG//mepH//dapD//hisR//ruvA//rffM//tpr//
RbsR	ycgR//
RcdA	yfbR//htrE//rpsF//
RclR	allC//tehA//fabG//
RcnR	yiiS//
RcsAB	dinQ//zraP//artJ//apaG//fabH//
RcsB	xdhA//yadV//infC//ybaS//
RcsB-BglJ	yoaC//dinD//rybA//ppdD//agaR//rnlA//entS//rplU//garD//yidQ//cbpM//
Rob	ykgR//
RutR	uspE//
SdiA	iraD//
SgrR	fruK//argT//yccT//insK//zraP//alaW//
SoxS	dinF//fliR//valT//rplS//flgD//lysW//
SutR	yegR//thrW//
TorR	ddpX//
TrpR	ftsK//yhjC//ybbW//adeD//ldtD//dinD//yegR//rarA//
TyrR	tyrV//rstA//wecB//
UidR	pitB//
UvrY	yagK//leuX//
XapR	recA//flgK//
YdeO	uspE//uvrD//
YjjQ	agaS//mngB//tehB//osmB//yhbE//fliL//hfq//
YpdB	ydfD//
YqhC	luxS//infC//
ZntR	motB//
ZraR	potH//
Zur	queA//yeiW//wza//speA//ygaC//
