#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	yafO//
Ada	ynbD//mukB//dicB//
AgaR	osmB//sutR//rplS//alsA//rffH//yhjC//artQ//
AlaS	lysV//
AllR	yciX//pepT//hofM//lon//dkgA//fhuE//copA//dapD//yccT//
AllS	leuD//hofP//argT//
AlsR	xseA//rpiB//ycgZ//garD//arcA//dsbG//
ArcA	pitB//phoB//
ArgP	fliT//fabD//rplS//
ArgR	hfq//glnX//bioF//yhfA//hisR//potF//flgG//arsB//glnW//valX//ydjM//leuW//tufB//livH//
ArsR	flgK//xseA//agaI//
AscG	tar//
AsnC	valU//
BasR	uspD//
BirA	ydfE//ydfH//ampE//mscM//trpB//
BluR	rybB//tcyP//cpdB//xapA//
BolA	rpmI//rpsF//
CRP	glnW//htpG//fruA//mngR//xapB//flgF//omrB//ryhB//gpmA//lysR//phnP//yadV//yhdX//fruK//tyrA//tfaQ//ybhR//ymgC//yqjA//hchA//ykgR//rpsP//ymgA//cpxA//tufB//pdxA//hfq//phnK//polA//kdpB//ymgA//dicB//ttdR//yeaE//rffG//yhbS//omrB//ibpB//gltJ//gudD//valX//agaS//yqhG//pgi//yeiB//ilvY//cysC//ttdB//efeU_2//leuV//wzyE//recD//fhuB//xapA//glgB//phnK//ygaC//pagP//yciX//glnU//gltX//cho//mcbA//folE//gyrB//mngB//tehB//bacA//
CdaR	hcaE//znuB//nadA//pitA//slt//
CecR	pepA//tpiA//fliQ//wza//leuC//
CpxR	seqA//emrA//dhaM//queA//wecB//yibQ//yhdZ//yhfA//ddpF//cysN//ydeA//metA//flgH//thrU//cheZ//bioF//ruvA//ribA//agaD//gyrB//fliL//lolA//btuB//uspB//motB//uspD//yjjP//wza//ddpB//yqaE//fliM//sroC//
Cra	nlpA//ubiX//arsC//dhaL//trpB//yhdX//mngB//allS//wecE//wzc//flu//argI//xdhA//proK//hcaF//
CreB	decR//
CsgD	thiQ//sbcD//tufB//ecpR//argE//yjjZ//rpmI//kbp//ykgO//
CueR	csrB//ydfX//
CynR	grxA//preT//rpsU//pheS//
CysB	livF//arsR//yccJ//mltF//argB//pheV//ibaG//yebE//hslJ//dinQ//
Dan	cra//ynjI//fadM//trxC//
DhaR	luxS//dapD//flgL//rffG//
DicA	trpB//glyU//pgi//cysD//recX//yeiB//metF//yegZ//
DnaA	kdpF//sfsB//
EvgA	flgJ//xdhA//allS//phnD//potH//wcaA//ymjD//
FNR	gspB//cynX//ecnB//mukB//arsB//ttdA//spf//cho//flhB//glpE//artQ//yebE//yoaC//hofO//hofN//manA//manA//pitB//ychO//sutR//murI//yhjX//obgE//arsC//trmA//mukB//artI//
FadR	nohA//trpL//flgA//ubiX//ydbK//phoR//mqsA//ppdD//
FeaR	torR//
