#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	rffC//
Ada	flgE//argC//phnN//
AgaR	phnE_2//yojI//rclA//motB//serT//argF//amn//
AlaS	topA//
AllR	cpdB//uvrY//ibpB//argF//arcA//cynS//artJ//znuB//raiA//
AllS	lysT//leuV//fnrS//
AlsR	yecT//tyrA//sbmA//rfe//uraA//avtA//
ArcA	purL//mgrB//
ArgP	grpE//nlpA//fabH//
ArgR	mscM//ybhR//fhuA//tsr//serT//argT//livF//aroH//pdeF//fepG//cecR//fliD//leuE//sdaA//
ArsR	yfdE//gyrB//dinF//
AscG	potG//
AsnC	phoE//
BasR	ppdB//
BirA	flgK//rcsD//ilvC//kdpB//tbpA//
BluR	intQ//isrC//tufB//fhuE//
BolA	ydfH//ycjF//
CRP	ynjI//mscM//ppdC//dinF//yfiB//rstA//dksA//wzzE//alaC//trmD//trxC//leuE//glgX//tktB//phnF//znuA//ruvA//phnD//ampE//livJ//argI//arsR//ddpX//mngB//leuX//rffM//lysV//thiP//uspB//phnJ//mhpR//thrW//znuB//yiiS//leuT//copA//dnaG//phnE_1//sgrR//phnG//flgF//wrbA//thiQ//ynbB//mgrR//potH//fldA//tyrT//flu//rclC//phr//iscR//cheW//cysD//flgF//rstB//ampD//treR//kdpF//dkgB//phnN//msrA//ynbB//uvrY//yoaC//kbaY//trmD//agaD//
CdaR	rffC//yhdW//ybhR//creA//flgE//
CecR	purL//dhaM//cynX//treR//purE//
CpxR	cra//fruA//hofO//slyB//trpD//seqA//rybB//ybbW//leuX//gudD//kdpA//yeiB//fabI//xapB//symE//adeD//creA//allB//apaG//ppdA//speA//dapB//argC//ynbD//leuE//valY//arfB//ydcV//potG//argA//pheV//ydjM//
Cra	potI//flgE//xdhA//gspB//yhdY//yeiB//kdpC//ecpR//recN//cysC//cynR//emrA//speC//glpG//ruvB//
CreB	nlpE//
CsgD	dsbA//trpE//serX//wzb//yfiR//lysR//allB//mgrR//recD//
CueR	yjeV//ycjF//
CynR	argH//ycjX//psiF//hofN//
CysB	yhfA//tpr//wecC//gudX//metA//cho//yfdX//pheV//rclC//decR//
Dan	flu//rmf//ybbW//ampE//
DhaR	cecR//rimM//yfdX//yciW//
DicA	apaG//gltX//symE//trpD//creB//phnL//bioC//ppdB//
DnaA	azuC//ptrA//
EvgA	flgB//yhjC//yhbT//ampC//artQ//apaG//rffM//
FNR	glpG//yfiB//yfdX//rpsP//agaB//cpxQ//ychO//ampD//ynbA//mscM//asnB//flhB//fabH//fadM//agaB//wzb//gltX//recA//artI//artJ//yfdV//hisR//leuA//topA//argU//cysE//yfdX//
FadR	flgG//yncE//recN//agp//mgrR//fldB//mgtL//cysK//
FeaR	btuB//
Fis	hcaB//phnO//luxS//ycjG//arsR//lacI//phnC//tktB//fliQ//argC//uraA//fabD//pheT//cynR//cecR//hflX//artM//ppiD//pepT//insD//yeiW//kbp//gpsA//znuC//fhuD//mcaS//cynT//kbl//ychF//dinB//ilvC//yebE//hslJ//ycgZ//yebG//alaC//mgrR//osmB//ycjY//rffH//gfcA//ecpA//glmS//phnG//creC//dinG//xdhA//ychH//efeU_1//gcvA//ldtD//tsr//cheA//add//rcnR//kbaY//
FlhDC	ung//tcyP//serT//wzyE//xdhB//ymgA//polB//yeaG//allD//yoaC//livK//argB//cueO//flgJ//fepC//kdpF//dgcN//cra//argI//zntA//tisB//mcaS//livH//cpxQ//mqsR//yfbR//ychH//sbcC//metF//arcA//insK//phnC//patZ//yqhD//leuT//mltF//hcaF//ybfE//
FliZ	cpxR//
Fur	aaeB//iraP//ydeJ//symE//uidR//preT//purF//rpsP//flu//fecI//rclB//aroH//thrS//mscM//gudD//dinB//fecI//hcaR//fnrS//serT//yneM//hcaC//yjjP//hyi//
GadX	insK//cheY//rfe//tisB//xapA//recB//sfsA//
GcvA	livG//dinQ//
H-NS	gyrB//rpsF//ecpA//ilvC//rstA//rybA//yjjZ//sdaA//yhhY//dinQ//fliM//alaW//bioD//artP//
HU	aaeA//glnX//
HcaR	xapA//leuA//iraD//flxA//wzc//argA//
IHF	wecB//pspF//flu//livH//dsbC//gfcA//trpB//
IlvY	phoR//xdhA//
IscR	ymjC//yebE//cysC//murI//phoP//yaiW//wecC//rdoA//
KdpE	fhuE//csrB//bcsZ//cra//
LeuO	dnaG//lysT//iscU//yafN//bioF//gfcA//
LexA	pheT//znuC//ygiZ//lon//yidL//mukE//tap//rffC//trpC//garD//fliD//ompA//potF//fecR//rffM//yccT//tar//leuW//grpE//ydfE//rutR//motB//rpoD//pfkA//ttdB//cheB//yhbT//dhaR//mgrR//gcvB//cpxP//rof//erpA//ydfE//rffC//dhaL//btuB//
LrhA	lysW//
Lrp	yegZ//trpR//artM//yebG//mcaS//argH//flgG//paaX//leuD//iscA//xdhB//hflX//mngA//flgB//
LysR	fruK//
MalT	rimM//
MarA	ydcS//fhuE//
MatA	metJ//fldA//
McbR	ppdB//
MetJ	infC//ydfH//bacA//tyrB//ecpA//
MlrA	ydbD//fliM//yfdE//phnH//leuB//
MngR	fruA//leuW//ryhB//
MntR	allE//ygaC//
MprA	fruK//ykgM//murI//
MqsA	ilvB//glpG//
MurR	hemF//
Nac	yqhG//ttdB//dgkA//ecnB//ybfE//
NadR	hcaD//ycgR//cmoM//
NagC	yhdZ//ykgO//glgX//fruK//pheV//
NanR	nohA//proM//
NimR	gltL//ychF//
NsrR	phnJ//yqjA//proM//yhdZ//isrC//ydbD//ttdT//upp//gpmA//cysD//cheR//wzyE//argE//yhfA//leuC//alaA//nohA//recC//btuB//glnU//yeiP//avtA//kbl//cbpA//phnO//purE//rpiR//tonB//prs//fhuD//
NtrC	artM//serX//yoaC//wza//cynS//purB//yjeV//dsbA//ttdA//ibaG//trxC//yqaE//ydfN//uvrD//hflX//purF//wcaB//
OmpR	fldB//lysT//entS//yoaC//
OxyR	yccT//fliN//dapD//bioB//valU//bioF//ygiZ//phnH//mgtL//
PaaX	cdaR//garD//
PepA	prs//
PgrR	manA//cheA//cbpA//yqhD//rsmA//wcaA//fecI//
PhoB	alaC//pheV//ydfX//potH//ppdA//fliS//dinF//ycgR//yqhD//dsbC//queA//glpG//oxyS//frc//ycjX//xseA//aroF//hisR//ompA//flgL//erpA//ydfE//arsC//fepC//agaI//hemH//pheU//pepD//ybbW//rnlA//ybaS//
PhoP	phnG//leuX//znuB//trmD//glpE//ygbK//cynR//comR//mngA//ilvB//kbp//flgB//ydcT//ydbD//yaeQ//fbaB//
PspF	agaI//
PurR	nadB//rffT//artM//fliP//fhuC//iscR//leuA//dinG//dinF//ddpA//mhpT//cysD//valX//
RbsR	pheV//
RcdA	uspE//iscR//trpD//
RclR	dinB//dsrA//hcaC//
RcnR	fliO//
RcsAB	fhuE//ddpD//ymjD//dinG//rffH//
RcsB	ybjG//gltJ//mntS//pepT//
RcsB-BglJ	kdpA//ddpD//tadA//rpsP//ibaG//fabH//artM//copA//cdaR//mqsA//rarA//
Rob	talA//
RutR	thrS//
SdiA	ydeJ//
SgrR	cheB//pheS//mukB//uvrD//ybhF//arcA//
SoxS	wzb//tpiA//mpaA//fhuA//yhjX//ybjG//
SutR	ddpB//seqA//
TorR	arcZ//
TrpR	omrB//fliD//yeiW//glpE//pheT//cheR//agaI//mhpT//
TyrR	allE//ychO//ariR//
UidR	lysC//
UvrY	purE//ttdT//
XapR	bcsB//xdhC//
YdeO	bioF//livH//
YjjQ	znuB//argF//yeiB//fhuA//glpG//ynjI//purK//
YpdB	ybfE//
YqhC	yhbS//dapB//
ZntR	yebG//
ZraR	wza//
Zur	argW//tyrU//gltK//ruvA//artJ//
