#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	folE//
Ada	yeaD//phnP//yfdE//
AgaR	phr//tsr//rdoA//cheR//flgI//argX//fepD//
AlaS	cysE//
AllR	hofN//mukE//ilvC//sroA//grpE//slt//dsbG//cpxQ//potI//
AllS	ybhS//rpsP//aaeX//
AlsR	fruK//thrT//phnM//ecpR//tpr//trpA//
ArcA	yfbR//fldB//
ArgP	bioF//pspF//ubiG//
ArgR	cdaR//gyrB//argC//hokE//ybaS//tyrU//uvrY//hflC//sbmA//iraP//yagK//hokE//rpsR//leuW//
ArsR	metA//mhpT//cheB//
AscG	sbcC//
AsnC	apaH//
BasR	ttdR//
BirA	trpC//lysT//agaS//yjhB//flgG//
BluR	flgK//ydcV//fliO//gudP//
BolA	uspE//tcyP//
CRP	pnuC//ecnB//yaiW//cho//mngA//fhuA//yafP//pepT//purK//azuC//rfe//cheB//psd//sgrR//ydfN//yadV//speC//mntS//rpmI//upp//mltF//allB//add//xdhA//artI//talA//gfcA//ynbC//aaeA//ymjC//fliO//symE//sbmA//yidQ//ygeH//speC//yciW//leuB//dgcN//hfq//pheT//murI//valY//cheB//tisB//ydfH//argW//symE//polB//phnO//bcsB//rpiB//hflD//hflD//fruB//mhpT//azuC//ydiU//entS//fliO//yjeV//agaS//adeD//yaeQ//alsB//yibQ//ycjX//hcaE//
CdaR	fliD//rutR//luxS//tar//phoP//
CecR	artP//ybfE//iraD//ada//uspE//
CpxR	glnB//ubiX//leuB//purL//artP//iraD//hflC//rpmI//cvpA//lysU//ihfB//csrB//agaB//yfdX//yebE//ivbL//rclB//purK//trpL//phnH//yebG//metA//ruvB//yafO//yhdY//znuC//wecE//rstA//ybhR//phnL//lolA//yfdV//
Cra	bdcA//cpdB//slt//flgE//agaR//cysC//agaS//rffG//ibpB//argH//sbcD//argI//hcaC//fliO//ymgC//
CreB	trxA//
CsgD	creA//dgcC//rplI//htpG//speC//apaH//ydfH//hcaF//yneM//
CueR	mgrR//ompN//
CynR	alaS//ydiV//yoaC//phnL//
CysB	psiF//leuP//asnB//uvrB//aaeX//lexA//yegZ//fliP//rffC//agaR//
Dan	trpD//phnJ//sfsB//aaeR//
DhaR	glyU//potH//rpsU//gltX//
DicA	yjjZ//wzzE//tynA//ddpA//bdcA//emrA//alsC//emrB//
DnaA	yqhG//dicC//
EvgA	copA//ihfB//ampC//arsB//mukB//trpE//yfdV//
FNR	tcyP//efeU_1//znuB//recD//rarA//wecC//lysO//yidL//ynbB//prs//uspB//cyaA//fadM//artJ//flgB//ddpA//yfbR//rpsP//fldA//ydbD//tsr//sroC//grxD//yqjA//ydcV//agaD//ampE//
FadR	fhuA//purK//thrU//tsgA//rpsR//glmS//tonB//uvrY//
FeaR	ibaG//
Fis	dapB//pgi//ygeH//tfaQ//phr//ddpD//ftsK//gltL//motB//cueO//rmf//wcaA//mcaS//ychH//hdfR//ykiA//tonB//secB//yeaD//artM//arcA//sdaA//flgA//apaG//yhhY//topA//rnlA//osmB//comR//glnB//cysC//phoR//fruB//fruB//dsbC//hcaR//rpiR//argR//proK//livF//mngA//mukB//decR//apaH//ydcS//znuC//agaI//decR//ftsK//ydcT//hflC//rffC//hofO//dnaG//ttdR//ftnB//
FlhDC	cheR//tehB//ivbL//yjjP//leuC//ycjF//yjjP//omrA//ftnB//ppc//trxA//flgA//ybfE//uvrD//dhaL//leuE//alaW//hslJ//dnaG//kbp//hcaB//paaX//tehB//agaR//comR//ydcV//rimM//glpR//bioB//pheS//dhaK//ychO//ybhF//allD//yciW//argT//fruK//dinG//
FliZ	yafN//
Fur	crl//ldtC//paaX//phnM//trxA//allC//rpsU//accD//uvrD//hcaC//tyrA//adiY//ppdA//ubiG//tehA//tsgA//ibpB//znuB//mukB//proM//ppsA//agaS//hcaB//paaY//
GadX	mngA//metT//rpiB//ybhL//artQ//phoB//yhbT//
GcvA	glgS//ecpR//
H-NS	tufB//ftnB//ubiG//fliQ//nlpA//ybjG//fbaB//bacA//alkB//hcaB//flgJ//yqjA//bioB//ihfB//
HU	sroA//yneM//
HcaR	ung//tsgA//fhuB//rdoA//yojI//hemF//
IHF	ydcT//speC//pspF//flhE//rybB//ubiX//hfq//
IlvY	amiA//rclA//
IscR	ptrA//ymgC//cheA//flu//yidQ//fepC//alaC//fruB//
KdpE	ychO//thiP//mngB//tehB//
LeuO	ykiA//gyrB//pgpC//ynbD//tap//yegR//
LexA	uvrC//hcaD//hofP//ttdT//argI//thiQ//alaX//exbB//phoB//rfe//mcbA//hokE//mgrB//leuL//purB//yaiW//tsr//yhbS//xdhC//tehB//ykgR//amn//fhuC//yhjC//uspE//fepC//priB//lysV//dinF//ddpX//rfe//metU//prs//tpiA//tsgA//ydcU//ybfE//
LrhA	sroC//
Lrp	nimR//kdpB//arsB//cpdB//thiP//ompT//argA//agaC//phnF//ttdR//frc//yecT//hcaD//trmA//
LysR	ryhB//
MalT	gpsA//
MarA	leuC//dinQ//
MatA	cbpA//gltI//
McbR	cstA//
MetJ	pheU//ygbK//fhuD//yhdW//purB//
MlrA	ttdT//allD//mscM//rpiB//tehA//
MngR	ampC//rplS//rnlB//
MntR	hofC//tap//
MprA	pgm//phnP//rarA//
MqsA	dacC//wcaA//
MurR	yccJ//
Nac	ydeI//yjhC//yeaE//uvrB//yaeP//
NadR	agaS//alsC//cysD//
NagC	argH//fecR//argI//argH//ldtC//
NanR	yeiB//yqaE//
NimR	azuC//yeaH//
NsrR	yeaD//mzrA//yfdX//ybfE//phoR//fliS//ubiX//mzrA//fliT//ybhL//pheV//hofP//fecR//erpA//glnX//dinD//allD//gltJ//add//cynR//rclA//murR//btuB//recA//hcaD//proK//rffC//ompN//ynbA//iscS//
NtrC	ttdA//cueO//ygiZ//secB//cheR//yagK//yeiW//gpsA//fadR//ycjG//ddpX//flgA//recD//speA//trpB//argB//ttdR//
OmpR	ecnB//upp//ampD//patD//
OxyR	argB//ynbC//yhjC//yafN//xdhA//alkB//yegH//livF//gudD//
PaaX	phnL//ompT//
PepA	ycgR//
PgrR	gpmA//yeaG//leuA//wzc//gltL//livM//yhhY//
PhoB	pgpC//yagK//leuX//tsgA//spf//recC//valU//fliT//ybhF//cpxA//yhdY//rpmI//yeiP//pheV//mepH//wzxE//leuV//ycjY//leuT//accA//recA//yeaD//sbcC//alaC//glmU//gpmM//glpG//slt//leuV//ddpX//phnM//
PhoP	yeaE//speC//cheR//rpoD//garD//cueO//yfiR//insK//glnX//dinB//hcaF//trpD//wecB//symE//csrB//ydfE//
PspF	nohA//
PurR	dkgA//livH//lrhA//rnlA//creB//trpB//ubiX//tynA//fliR//ilvB//chiA//cynX//insK//
RbsR	cho//
RcdA	sdaA//allC//speB//
RclR	lysV//cstA//ydiU//
RcnR	serT//
RcsAB	grpE//ycgZ//glmS//alaA//btuB//
RcsB	obgE//amiA//gltL//lolA//
RcsB-BglJ	fbaB//leuC//tar//tdh//gltX//aaeA//msrA//fecR//cysN//metC//ykgR//
Rob	phnE_1//
RutR	hcaB//
SdiA	fabG//
SgrR	raiA//yeiW//lysC//pheT//wzxE//thrW//
SoxS	tfaQ//cdaR//insK//frc//ldtC//rffT//
SutR	ilvC//trpA//
TorR	pgi//
TrpR	kdpC//xapB//fadR//rcsD//bioC//artQ//aspV//arsR//
TyrR	efeU_2//ilvC//phnN//
UidR	pheT//
UvrY	rfe//pepA//
XapR	mgrB//slyB//
YdeO	ybhG//rcsD//
YjjQ	cysN//rclC//ymgC//cra//tpiA//secB//glgB//
YpdB	kbaY//
YqhC	allC//priB//
ZntR	tyrV//
ZraR	crl//
Zur	flhE//arsC//ynjI//kdpC//proM//
