#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	ftsK//
Ada	fliM//flgJ//yneM//
AgaR	yhjX//nadB//mzrA//ompA//flhE//ychH//rarA//
AlaS	livJ//
AllR	topA//iscR//hemH//sgrR//fruB//yegR//motB//yaiW//leuC//
AllS	dinQ//ttdA//fruB//
AlsR	rcsB//yidL//gcvB//paaY//insD//purC//
ArcA	hdfR//yhdX//
ArgP	mlrA//cpdB//oxc//
ArgR	yaeP//leuD//pdxA//alaC//hofM//pepT//zntA//potI//phnG//rclB//ybbY//dicB//fabI//mngA//
ArsR	cpxA//hflD//glnU//
AscG	recB//
AsnC	wecB//
BasR	flhE//
BirA	umuD//gcvB//znuC//ynbC//purL//
BluR	rffH//bacA//agaB//trxC//
BolA	ycjX//manA//
CRP	manA//lysR//trxC//glnX//yhhY//emrA//amn//ygaC//bioB//insK//seqA//cvpA//ybhL//aaeA//cyaA//gspA//hcaR//hemF//cynT//yciW//hcaC//ydfX//iscU//oxyS//isrC//iscS//ampD//gltK//mhpR//yebE//lon//yaiW//ppdC//wecB//hemF//pheS//trxC//ydiU//uraA//hcaR//rpmI//glk//envC//purC//yncE//hflK//pepD//ubiG//ppc//yegR//rffT//ynjI//ycjG//tsgA//ydiU//xdhB//hcaR//sutR//ydiU//exbD//alaW//tonB//mgrB//glnB//cueO//leuT//aaeA//yjjP//
CdaR	cynR//mzrA//allD//accA//fepG//
CecR	arsB//gudP//glnW//treR//ydeA//
CpxR	ompX//arcZ//mgrR//fliM//tyrA//fabI//cueO//flgI//ibpB//yhjC//ppsA//tadA//flgC//wzxE//trpB//flgF//iscA//tsgA//tonB//apaG//ydcU//uvrC//dapB//allA//hcaR//gltK//metC//pagP//nadB//ldtD//fhuE//ilvN//
Cra	kbaY//ybhR//uspD//mukF//ddpD//flhB//livK//cbpM//ddpA//ybhL//aaeR//hslJ//yjjZ//wecE//fruK//
CreB	mltF//
CsgD	glgB//kdpF//ybaS//fhuC//rclB//flgC//dhaK//flgH//gcvB//
CueR	creC//cyaA//
CynR	cynR//yebE//yegR//alaA//
CysB	paaX//xdhB//ygbK//metT//yidQ//tyrV//trxA//gltK//mscM//lysW//
Dan	gfcA//ldtC//pheT//flgA//
DhaR	uvrY//recD//kdpF//asnB//
DicA	cpxP//ybbY//rstA//yeaH//mltF//phoP//narQ//paaY//
DnaA	ydbD//efeU_1//
EvgA	hisR//cecR//ymjD//gspB//argX//leuA//ycjX//
FNR	secB//fliM//insD//aaeB//dapD//phnP//uidR//priB//rdoA//lysC//proL//ygiZ//fliP//hemF//polB//ybhR//pheV//ilvN//yfiB//ecpR//obgE//polB//hdfR//trpB//allS//livK//phnL//
FadR	mcbA//dinD//ddpB//tcyP//dinF//phnJ//livF//glnU//
FeaR	ilvB//
Fis	thrS//lexA//upp//oxyS//dacC//yciW//yjjZ//pspF//rpiR//ybhG//ybhG//bdm//pgm//dkgB//mpaA//sroA//pspF//ykgM//ecnB//phnG//cynT//yfiR//slt//allD//sohB//yecT//hemF//luxS//recC//rclA//yqhG//tyrA//hofM//rpiB//mqsR//metA//ppiD//trpL//pgpC//ygdB//insD//pdeF//phoE//yjjZ//cpdB//pitB//fliO//mntS//flgA//upp//ibpB//copA//cyaA//iscS//alaA//lolA//
FlhDC	rstA//lysO//nohA//uvrD//ynbC//hofO//bluF//hofP//ysgA//arsC//ycgR//lon//yibQ//phnP//frc//pheU//ybhF//decR//luxS//nimR//ompX//cbpM//ubiX//ilvB//metA//livK//bdm//yfdE//ybaS//tktB//ydeA//kbp//yeiP//hemH//mqsA//dinG//speC//glnV//
FliZ	glk//
Fur	thrT//allE//thiQ//flgA//ynjI//cynS//slt//murI//leuB//artJ//wza//potG//thrU//cra//zraP//ynbD//rcsD//apaG//ycjF//xseA//tynA//metU//yeaE//dinD//
GadX	envC//glnV//paaX//phnE_1//tsr//fabH//rstB//
GcvA	mhpT//umuD//
H-NS	alaX//yhbS//mngB//nlpA//phoR//fepC//decR//yibQ//yhhY//dsbC//alsA//fldB//yjjZ//argR//
HU	yeiW//tehA//
HcaR	gpmM//yfiB//arcZ//slt//sgrR//yaiW//
IHF	treR//phoE//cdaR//obgE//iscR//fruA//bcsB//
IlvY	alsA//lysO//
IscR	copA//yebE//phoA//preA//nadC//isrC//rclA//lexA//
KdpE	wzzE//hslJ//uspB//cecR//
LeuO	agaD//trpR//tehA//glxK//wcaB//lolA//
LexA	purL//decR//flu//ilvB//cyaA//rffH//dinD//ykgO//malZ//dkgA//cysN//fliQ//aaeB//frc//rpmA//flxA//bcsZ//borD//artP//nimR//purK//gltI//pdeH//xdhB//yciW//purF//rimM//purL//leuT//mipA//hofO//ppdC//cvpA//ybhR//psiF//leuA//yjhB//
LrhA	hofN//
