#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	cbpM//
Ada	ung//insD//pheS//
AgaR	gltI//mpaA//rarA//ybhL//yhdW//yhbS//xdhC//
AlaS	wzzE//
AllR	nadC//livK//lysU//tbpA//thiP//zraP//cpxP//ilvC//fruK//
AllS	ydiV//trmA//potI//
AlsR	xapB//flgL//wcaA//fldB//tcyP//ymgA//
ArcA	ihfB//yagK//
ArgP	nlpA//recB//priB//
ArgR	ydfE//yeaH//cysC//cvpA//pheT//tyrT//yhfA//rclA//bdcA//rpiB//ribA//glmU//yaiW//mhpT//
ArsR	treR//mgtA//pepA//
AscG	intQ//
AsnC	emrB//
BasR	ddpD//
BirA	tisB//ampD//yafN//ldtC//ybjG//
BluR	ttdR//gcl//rybB//acrR//
BolA	thiP//flgG//
CRP	hofP//yneM//cyaA//dkgB//pdxA//yeaE//glnX//patD//crl//argH//yhfA//gspA//yecT//leuD//pepA//cpxA//glk//metJ//yjjZ//ldtC//glnW//bioD//ychH//livK//glmU//sroC//ihfB//ychF//yidL//flgG//arcA//cstA//pepD//dsbA//allD//sxy//aaeA//ydcV//btuB//hslJ//leuT//potI//yneM//leuV//raiA//ydfD//purB//cysC//yaeP//ymjC//dacC//umuC//oxc//fliS//secB//creB//kdpF//yfiB//rplI//allC//ynbA//sroA//kdpC//ldtC//prs//glxK//artJ//gudD//
CdaR	rplS//alsE//rpiR//ygdB//ydcT//
CecR	lexA//mqsR//phnG//cpxA//yecT//
CpxR	rclA//ftsK//sxy//rcsB//glxK//ykgO//kbaY//ddpF//phnI//ymjC//lysR//pepT//bioD//phnI//artI//pspF//flxA//znuC//ppdD//valT//yeaE//ybaT//purE//fliR//hflX//pgi//phnH//fhuA//patD//recA//paaY//tap//
Cra	apaH//iraD//argX//dinD//paaY//fliL//yojI//yafO//znuA//lacI//flgE//lysU//treR//ygaC//phoH//
CreB	agaD//
CsgD	lysT//mlrA//mlrA//ydjM//amn//ykiA//priB//ydfH//alaX//
CueR	ddpF//wecB//
CynR	fhuB//murR//tdh//purC//
CysB	ynbA//sgrR//tufB//argX//allD//ymjC//phnL//lrhA//mqsR//sbcC//
Dan	rdoA//pdxA//leuA//ybjG//
DhaR	bcsZ//ychO//allA//yhdX//
DicA	yhdW//leuW//wzc//rybB//allA//sgrR//crl//mhpR//
DnaA	flhB//leuC//
EvgA	ybhR//rutR//alaW//ykgR//rpsU//valX//leuB//
FNR	trpR//motA//cheY//speA//pitA//sutR//lysO//rcsD//mcaS//fepC//iscS//hisR//flgI//isrC//yhbE//ychF//dsbG//fldB//livJ//yccA//recC//insK//ybbW//yecT//gltL//purB//ddpF//
FadR	hofM//flhE//artM//fnrS//sxy//agaD//pdeF//lacI//
FeaR	arfB//
