#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	pheU//
Ada	rffT//yhbT//ddpC//
AgaR	uspB//flhA//purL//ybjG//yaiW//dinG//yeaD//
AlaS	bioC//
AllR	umuC//recA//ycjF//agaR//ygdB//secB//dsbA//tyrA//cra//
AllS	valY//valY//kdpC//
AlsR	leuB//fldB//glpE//ychH//fliT//arsC//
ArcA	amn//alaS//
ArgP	phnG//argX//cbpM//
ArgR	yhfA//metU//argR//ilvB//tpiA//mngB//fruB//fliQ//yhhY//phnK//ddpX//fruB//recB//yebG//
ArsR	dinD//glgS//frc//
AscG	ivbL//
AsnC	metC//
BasR	leuE//
BirA	valU//ybaS//yhhY//yjhC//mipA//
BluR	pgi//yciW//yebE//aaeR//
BolA	dksA//yojI//
CRP	grxA//cysN//fruB//fadM//iraD//mprA//alsA//ppdC//ymiA//phnF//znuC//purE//tfaQ//fepG//phoE//glnB//sxy//luxS//argW//fecI//mzrA//gltX//ttdR//uspE//yafP//osmB//rmf//rarA//znuC//glgS//rclC//kdpF//leuQ//ttdB//alaS//wzzE//yebG//psiF//exbD//ecpA//yhdY//nadB//phnO//glxR//ybaT//ybhR//glpR//ddpA//mukE//copA//iraD//livG//argW//lon//yiiS//ibpB//polA//allD//hcaD//hflD//rpoD//ilvC//nimR//wzyE//nadC//ykgO//fliM//valT//
CdaR	phoB//kdpC//glxR//hcaB//speB//
CecR	isrC//phnE_2//ecnB//allB//argT//
CpxR	pitA//wzxE//hofO//patD//tpiA//metF//iraD//hofB//ompX//ymgC//allE//ryhB//ydcV//bioF//yeaD//yhdY//ychF//ygaC//tonB//pgm//rybB//bcsB//ydeA//mngR//rplI//hslJ//htrE//phoP//patD//bacA//recD//bluF//
Cra	hcaR//fhuB//glpE//pepA//ydiV//hflX//rarA//pitA//gpmA//ydeI//fliO//allB//hofC//phnP//ydcT//
CreB	yjeV//
CsgD	cysK//hisR//yafO//trpC//ompT//phr//ymiA//yhdX//hofB//
CueR	allS//fabD//
CynR	yaeP//uspE//ydfW//pdeF//
CysB	ldtC//trpB//creC//hslJ//oxyS//cpxP//sfsA//yfdE//rffT//metJ//
Dan	yebG//insD//sfsA//recB//
DhaR	rybA//valX//rclB//ycgZ//
DicA	tyrB//torR//ecpR//yebG//glgS//cecR//yjjP//cynX//
DnaA	cvpA//trmD//
EvgA	pheU//ybaS//fecR//glgS//leuV//ymgA//cysE//
