#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	yojI//
Ada	cra//ampC//yegH//
AgaR	ycjF//lysT//ynbB//motA//nimT//fldA//xdhA//
AlaS	kdpB//
AllR	gudD//flgH//fliM//aspV//dinD//uvrD//hslJ//ybhG//flgB//
AllS	leuE//topA//mukF//
AlsR	ung//ppdA//rffC//glgS//gcvA//ybhG//
ArcA	insK//accD//
ArgP	xdhC//ampD//insK//
ArgR	artI//btuB//fabI//hyi//zntA//gudX//livG//phoR//alaA//efeU_1//gpmA//aaeR//yhjX//ruvB//
ArsR	proK//alaW//cynT//
AscG	gyrB//
AsnC	tpiA//
BasR	pgpC//
BirA	xdhC//uspD//cheZ//nadA//yidL//
BluR	cheR//purC//ygbK//yncE//
BolA	iraP//apaH//
CRP	yhjX//spf//znuB//bdm//bdcA//fadM//leuQ//rpiR//uraA//artM//dhaL//mipA//dapD//dsbG//ddpD//ydfW//ydeJ//yafO//hcaC//lysW//bluF//glnU//ppdC//uraA//gltX//potH//flgB//phnE_2//livM//chiA//glpG//trxC//motB//glgX//rplU//ompA//arsR//thiQ//arcA//glnB//glnB//phnL//fabD//yidL//sxy//nlpE//rof//uraA//hofO//ygiZ//mgrB//htpG//fliM//ampD//topA//wza//yciX//mgrR//cra//talA//pheU//leuP//leuL//phnC//accD//yhdW//gfcA//ybhR//
CdaR	motA//zntA//patZ//mhpT//ddpF//
CecR	phoR//trmA//pdxA//dapB//yjhB//
CpxR	bluF//gcl//tbpA//hdfR//ldtD//sroC//ymgC//recA//yhbT//alkB//garD//rpmA//purC//mlrA//murR//yeiW//nlpA//yadV//glmU//artJ//phnD//pepA//luxS//yegR//fliS//rdoA//ada//sfsA//rpoD//mukB//wcaB//alaS//
Cra	sbmA//adiY//recC//dinB//fhuE//fliM//rutR//yqhD//gudP//ecpA//leuD//speB//umuD//bioD//acrR//
CreB	ycjY//
CsgD	serT//yneM//ftsK//potH//yqaE//patD//accA//ppsA//flgH//
CueR	mipA//gspA//
CynR	rpsP//phnI//gpmM//exbB//
CysB	ybaT//iraP//bcsB//potG//cysC//hflD//sroA//hyi//rybB//cysC//
Dan	rplU//ftnB//glgB//hchA//
DhaR	murR//ygaC//tfaQ//dtpA//
DicA	tisB//patZ//tonB//hflC//ydfX//emrA//sutR//thrW//
DnaA	rplS//pepT//
EvgA	alkA//fldA//pgi//hofO//ddpF//argX//tyrU//
