#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	rpiB//
Ada	allE//pdeF//leuA//
AgaR	dsbG//argB//sohB//emrA//alaW//argB//glxK//
AlaS	preA//
AllR	argF//fbaB//dicB//valU//ygbK//tfaQ//rpsR//yqhG//cvpA//
AllS	pheV//kbaY//rplU//
AlsR	flgL//livH//argI//hflC//phnF//rimM//
ArcA	agaR//leuP//
ArgP	rutR//yeaH//kdpF//
ArgR	glnU//cheB//ddpC//ydfE//ydeI//flgG//efeU_2//fabI//ybbY//ygeH//bioA//dsbC//trpL//cynS//
ArsR	yegZ//ompX//amn//
AscG	proM//
AsnC	yidQ//
BasR	fruA//
BirA	tyrT//zraP//bacA//yfiR//fecR//
BluR	lrhA//gcvA//cheR//wzc//
BolA	ung//potH//
CRP	yhdY//psiF//rybB//xseA//rimM//fnrS//valX//cueO//alkA//dgcN//prs//yhdX//hdfR//glk//kdpC//argH//alsC//ibaG//aroF//argB//yidQ//phnD//metJ//cynR//rdoA//bioF//alaW//metJ//rcnR//argA//cynX//hflX//flgL//phnF//kbl//hofO//paaX//phnM//tyrA//fepC//borD//thrT//serT//fliQ//cstA//yfbR//ycgR//mhpT//cynR//cysN//cysN//valU//acrR//phnL//flgH//wzyE//cysD//creA//ruvB//cheB//flgA//bdm//mgtL//lysV//cysC//fadR//arcZ//upp//
CdaR	tpiA//ycgZ//fliS//metT//yidL//
CecR	mgtL//pheV//flgH//yjhC//borD//
CpxR	creB//hcaR//cysK//lysR//rnlB//yhjC//hemH//arsB//lysC//murI//ychH//cueO//accA//fliQ//dicB//phnH//potF//dacC//uspE//envC//ppc//rdoA//flhA//ygbK//fabH//rdoA//recX//wrbA//iscR//emrA//hflC//ftnB//
Cra	ddpA//bioC//ydfX//patZ//dhaK//fliQ//yhbS//msrA//secB//yafP//gpmA//fhuB//polB//leuA//rplI//
CreB	rpmI//
CsgD	fecI//bcsB//dinQ//yjhB//uspD//argW//fabI//phr//lacI//
CueR	phoR//argF//
CynR	ompN//livM//cecR//yjjZ//
CysB	bcsB//hslJ//dgkA//xapB//arfB//osmB//wzb//agaB//cbpA//argW//
Dan	fruK//hofP//hflX//arfB//
DhaR	trxA//arcZ//fldA//bluF//
DicA	rclB//ribA//lysR//dkgB//yeaD//yafP//argC//argF//
DnaA	mcaS//folE//
EvgA	leuW//yadV//livM//aroH//nimT//hcaE//ymjC//
FNR	rffT//aaeR//rybB//glpG//glmS//ydbK//ydcS//speC//bcsB//ybhL//nlpA//fhuB//yegR//seqA//dkgB//ptrA//rybA//ykgM//bacA//dksA//motA//psiF//rffT//ynbC//argI//fliN//phoA//
FadR	intQ//aaeB//aroF//pheT//nimR//rcsB//uvrC//fliO//
FeaR	ada//
Fis	livG//msrA//phoE//cueO//iraP//flgF//tisB//phnN//rplS//pheT//yiiS//yafO//cra//ddpB//pheV//hokE//gltL//bioD//mhpR//zraP//wcaA//mprA//ilvB//ynbB//sbmA//efeU_2//iscA//yhdX//fliM//thrW//yegZ//allA//aroH//ycjX//rsmA//ynjI//fruA//dtpA//xdhC//exbB//ompX//envC//hofM//cheB//rpiB//metF//pepA//yfdE//yebE//glnX//artI//allS//argI//flgJ//ddpA//obgE//
FlhDC	fbaB//paaY//tsr//mzrA//ung//allS//pgpC//flgA//eno//fhuA//ykiA//uspB//dsbG//agaB//narQ//yhjC//tyrT//infC//sbcC//fliO//fecI//ddpD//yeaD//mpaA//fadR//emrA//uvrD//metT//emrA//dsbG//ilvB//lysV//decR//bdcA//agaD//oxyS//ydiU//gudD//
FliZ	trxC//
Fur	spf//livH//narQ//yegR//emrA//argA//sgrR//nadB//ftnB//yhhY//trpR//cstA//cheZ//ompX//purF//ydfH//rclC//yjhC//ldtC//cheB//alkB//ung//dgcN//glnW//
GadX	mukF//cho//fhuA//creC//purF//adeD//cstA//
GcvA	valY//ynbC//
H-NS	yfiB//wzb//fhuD//dsbA//bcsB//fliN//ttdA//pdeF//entS//fabG//rpsF//rpsU//ampC//ydiU//
HU	nlpE//gltJ//
HcaR	yojI//glmS//priB//ptrA//hofC//gor//
IHF	cheW//hfq//phoR//eno//tisB//yidQ//phoH//
IlvY	uspB//cpxR//
IscR	dkgA//leuV//pykF//lysO//thiP//flgK//rybA//wecE//
KdpE	creB//aaeX//bioC//glmS//
LeuO	mprA//yqhD//fruB//ychO//livF//ybhG//
