#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	hofM//
Ada	argW//trpL//trpD//
AgaR	rdoA//ydfE//ecpA//flgB//trxC//pfkA//leuW//
AlaS	zraP//
AllR	fadR//psd//flgC//xapA//umuC//leuT//phnH//ycjX//rutR//
AllS	glgB//arcA//flgJ//
AlsR	phnK//sbmA//proK//ygdB//isrC//yfdV//
ArcA	ttdT//thiP//
ArgP	btuB//dksA//ynbC//
ArgR	zraP//recB//sgrR//mntS//phnI//livH//leuL//ycjX//thrT//trxA//yeiW//adeD//yfdX//exbB//
ArsR	ydfN//nadB//hyi//
AscG	phnE_1//
AsnC	cysC//
BasR	leuQ//
BirA	pdeH//recB//hcaC//argF//fliM//
BluR	tyrV//mukF//gfcA//ubiG//
BolA	allA//pepA//
CRP	cdaR//tufB//yaeP//fliR//ygaC//lysO//gfcA//ydfN//agaB//purB//phnP//hflC//phnM//phoE//pepA//spf//wcaA//ddpA//ynjI//gltI//yeaG//livG//ydfD//cysE//cvpA//hflD//tyrB//serX//yeaE//argR//rpoD//leuX//fldB//topA//yegH//cdaR//rclC//adiY//patZ//uspD//sohB//ybhG//bioB//argX//livF//yeaH//purL//metJ//ygaC//seqA//grxD//tpiA//alsB//sgrR//metC//wcaA//yfiB//dsbC//mepH//yegH//ynbA//ftnB//ybaT//yeiW//thiQ//tyrT//phnE_1//yeiP//
CdaR	crl//potG//phr//fadM//intQ//
CecR	hofM//lysO//yncE//gltX//bioD//
CpxR	cysD//bioC//rcnR//creB//agaS//yhbS//prs//hofM//cbpM//proK//tynA//mscM//glmS//cheB//lysU//prs//trmA//gudP//iscR//yegZ//dacC//yegR//ycjF//gpsA//pagP//dsbC//trpR//asnA//agaB//glnV//dksA//dacC//
Cra	rplI//yhbE//tyrU//ydfN//frc//nadA//glnW//recD//ybhS//cheB//leuA//allD//ybbY//sutR//ompT//
CreB	hflX//
CsgD	cpxR//recB//cpxP//ompA//recC//ecpR//ppdD//garD//alaW//
CueR	pdeF//mlrA//
CynR	lrhA//hcaR//hslJ//tyrA//
CysB	allD//rpsR//dinG//trmD//tadA//arsC//fliD//valU//hchA//ybhG//
Dan	ykgR//grxD//aaeA//flhA//
DhaR	uspE//ycjG//borD//cra//
DicA	thrS//insK//crl//xdhC//pspF//mhpR//dsrA//sroC//
DnaA	rpoD//rybA//
EvgA	ribA//efeU_1//fepD//purB//rpsF//aspV//lon//
