#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	ppsA//
Ada	cysK//ymjC//yciX//
AgaR	znuA//envC//efeU_1//adeD//hcaE//dtpA//hokE//
AlaS	rpiR//
AllR	flgL//rpsR//yhbE//yjjP//cheW//gcvB//leuE//rffM//tap//
AllS	ybbY//comR//leuT//
AlsR	cheZ//mukB//rffC//ydjM//fliN//grxD//
ArcA	mukE//yneM//
ArgP	yhhY//allS//ampC//
ArgR	paaX//adiY//hyi//rsmA//cueO//borD//tehB//phnM//livG//allE//hofM//pdeF//glgB//yhjX//
ArsR	ycjG//bcsZ//trpR//
AscG	phnE_2//
AsnC	garD//
BasR	artI//
BirA	sbcD//metT//kbaY//comR//phnE_1//
BluR	garD//alsA//cheA//arcZ//
BolA	dinD//pepT//
CRP	yhbE//yebG//ybbW//ybjG//dgkA//ddpB//btuB//ilvC//uspE//bdcA//leuQ//yhbS//agp//ttdA//fliQ//ecpR//tyrU//leuP//trpL//cheZ//ybjG//cysC//adeD//ttdT//speB//amn//glgX//ddpB//mntS//infC//mepH//yaiW//ydbK//sroC//fruA//htpG//sohB//ydcT//dhaM//borD//queA//phoP//dgcC//ykgR//avtA//yeaH//rstA//flgH//fruB//grxA//gudX//ttdT//serX//gcl//allD//fldA//gltL//trpA//ycgZ//xapB//cynS//ppdB//pdxA//gcl//xdhB//yagK//purF//hcaB//
CdaR	ydfX//livJ//slt//iscR//nohA//
CecR	mgtL//ykgR//leuC//thrU//mhpR//
CpxR	creC//ygiZ//yhbS//alaW//cynS//hcaC//mgrR//ibaG//cynT//mgtA//fhuC//ftsK//fhuE//yhbT//bcsB//fliM//rpmI//raiA//thrS//thiQ//tsgA//mhpR//gcl//gpmA//ttdA//ycgR//phoP//hyi//hslJ//ydeJ//eno//tyrB//
Cra	allD//hcaF//pgpC//ddpX//mntS//ybaS//trpR//narQ//hflC//ydfN//prs//flgL//preA//cra//dtpA//
CreB	allS//
CsgD	kdpA//pgpC//ybaT//yqhG//yafO//gfcA//rfe//zntA//flgB//
CueR	tbpA//pheU//
CynR	glpG//leuP//yhdY//znuA//
CysB	phnK//rstB//livH//alsB//thrW//ygaC//yebG//thrT//intQ//phnH//
Dan	flhB//argE//yeaD//rpsU//
DhaR	glnU//lolA//trmD//gyrB//
DicA	ydjM//iraP//cheZ//lon//phnE_1//xdhC//dsbG//tcyP//
DnaA	rnlA//recX//
EvgA	cueO//omrB//gltL//ppiD//adiY//allA//aspV//
FNR	bioD//dinF//insD//cdaR//talA//hisR//pykF//ivbL//dsbA//nadC//frc//purC//ydiU//glnU//ydiV//ykgM//preT//ydcS//dsbC//fnrS//rmf//ecpA//mngB//rpiB//ybjG//flgC//hflX//
FadR	mqsA//pdeH//gspB//fadR//lysO//glnU//alsC//rnlA//
FeaR	ybbY//
Fis	yeaH//yjhC//nohA//cmoM//ibaG//ribA//fadM//copA//alaA//glk//aroF//gudD//ycjX//ydcT//rpsF//xapA//alaW//dsbA//yafN//yegZ//yhdX//dapD//pitA//cynT//lysV//ilvY//yadV//trpA//dicC//gor//arfB//kbp//rffT//ampC//cynS//flgC//leuX//recA//xapB//yhjC//cbpA//manA//potI//grpE//flgK//yciW//argU//yeiP//hyi//leuA//pheT//leuT//rof//yhbS//glgX//cpdB//
FlhDC	rybB//rpsU//tyrU//ydfE//dkgA//ttdR//bdcA//hchA//wrbA//htrE//ppdB//grxA//avtA//trpC//trpD//sbcC//fecI//yojI//cynT//arfB//glpR//hcaE//flgK//ttdR//speC//tyrT//grxD//speA//yjjZ//fliQ//bcsB//tyrU//cstA//fliL//uraA//mcaS//trxC//gfcA//
FliZ	ldtC//
Fur	alaS//yjhB//fliM//folE//oxyS//fliN//pykF//leuP//ppc//sohB//dsbC//rplU//leuA//copA//psd//pheU//cyaA//glyT//thrT//wzyE//yjjZ//gpsA//lrhA//wzzE//
GadX	apaG//yhdX//folE//thrW//gor//dsrA//flgE//
GcvA	yagK//phr//
H-NS	xdhA//phoH//entS//cho//ysgA//sohB//frc//ynbC//rclA//ydjM//metJ//flhA//glgB//gltX//
HU	comR//aspV//
HcaR	mgtL//purE//dinF//rclC//wzb//hofB//
IHF	motB//rplS//agaC//ptrA//ampE//ppdA//sfsB//
IlvY	hcaR//patZ//
IscR	argH//yfiR//cheW//hofM//purE//rffM//eno//gltI//
KdpE	mhpR//tktB//pheU//rffH//
LeuO	rcnR//kdpB//dsrA//yjhB//gspA//ynbA//
LexA	ilvC//alaX//ompA//grxA//hcaF//flgB//murR//fruK//ibpB//creA//ttdR//hofP//agaC//kbp//iscU//spf//btuB//allS//hdfR//glpR//hemF//fliO//pdeH//nadA//cstA//yqjA//rplU//rfe//yfdV//uspD//rstB//phnH//ruvA//slyB//purB//hcaF//rpsR//
LrhA	yhdW//
Lrp	decR//phnN//tyrA//glnX//phnG//yfbR//glpE//upp//gspA//tsr//comR//xdhB//ynbD//rcsB//
LysR	ychH//
MalT	dkgA//
MarA	glnV//cueO//
MatA	hdfR//frc//
McbR	alaA//
MetJ	cynS//umuD//ydcS//cheR//ampC//
MlrA	thrW//cyaA//ubiG//alsA//uvrD//
MngR	nlpE//xdhB//dinQ//
MntR	sutR//phoA//
MprA	cho//ubiX//mhpT//
MqsA	mltF//sbmA//
MurR	yebG//
Nac	purB//purF//wecB//preT//pykF//
NadR	cpxQ//ubiG//talA//
NagC	metF//intQ//hcaB//dinF//cecR//
NanR	fliR//mpaA//
NimR	yjjP//rpsR//
NsrR	phoP//ilvC//glmU//phnK//mhpT//ybjG//lysT//yeaE//hchA//malZ//fabD//dkgA//pgi//bcsB//ruvA//tdh//fhuE//serT//yojI//polA//gcvA//metU//glpG//xapA//argE//pheT//eno//metA//argX//livJ//
