#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	rstB//
Ada	ppsA//trpE//uidR//
AgaR	bdcA//livK//symE//rimM//wecE//pnuC//cecR//
AlaS	dhaK//
AllR	preA//tehB//artJ//lacI//pdxA//fliL//tpr//cmoM//znuC//
AllS	phoR//phoB//hyi//
AlsR	znuB//metJ//yadV//hofO//fliT//erpA//
ArcA	yfdV//aaeX//
ArgP	yagK//xdhB//nadB//
ArgR	rnlA//artI//metT//iraP//yfdV//flgC//argF//ydbD//yafO//ydfD//rfe//ftsK//yhfA//lysT//
ArsR	aaeR//glnX//glnV//
AscG	rpmI//
AsnC	htpG//
BasR	tufB//
BirA	pitA//dksA//yfdE//yojI//lysR//
BluR	ydfE//glnV//yadV//yhhY//
BolA	trpR//mngB//
CRP	ymgC//dhaR//ppdD//agaI//lysR//lysC//kbp//paaY//glk//folE//cpxQ//trxA//yebE//insD//rpmI//ydcT//ampD//mukF//argR//yhdX//fldB//iscA//ydfD//alaS//rplI//allS//rffT//livJ//thrU//phnF//wcaB//ddpD//ybaT//flgL//glgX//cheA//proK//trpL//gudX//glxK//tyrV//cynT//tcyP//phnD//ecnB//znuC//yhdX//leuW//mukE//purL//rpiR//ydcV//cho//fabD//lon//amiA//phnH//uspE//dicC//potH//cynR//tpiA//leuV//avtA//ydeI//rpoD//dinB//hcaB//
CdaR	allC//yciW//yjhC//erpA//rpmI//
CecR	sbcD//fldB//fldB//pheT//lolA//
CpxR	yafN//lysV//dsbC//aaeB//mltF//purF//hfq//mngA//yhbS//rstB//cynX//yebG//valX//gltL//mipA//artJ//trpR//alsA//ppc//allS//entS//rffM//yqhD//alsB//glxK//bioC//arcZ//ymiA//trmD//omrB//pitA//motA//
Cra	bioF//fliP//cheR//exbD//oxc//ada//znuB//fabG//valY//phnJ//rffG//rpmI//mngB//hcaE//pgpC//
CreB	ampD//
CsgD	mukE//apaH//argX//htrE//rcsB//uidR//ybjG//zraP//yoaC//
CueR	malZ//aaeB//
CynR	ydcU//flgB//ysgA//ydeA//
CysB	rstB//symE//btuB//flhE//ygeH//iraP//azuC//polB//pfkA//artP//
Dan	pgpC//gcvA//yhbT//argR//
DhaR	flgL//bioA//glxK//ybbW//
DicA	rplS//motA//speB//bdm//ykgO//rplU//bacA//phoE//
DnaA	zntA//fliQ//
EvgA	argW//yidL//cpxA//acrR//paaY//allD//lolA//
FNR	fadR//argC//tar//hemH//ydbK//ppsA//ftsK//flgC//ampE//aaeB//dksA//creC//hofC//emrB//comR//dacC//ilvY//ampC//yfiR//phoH//xapB//flgF//ttdR//comR//thiQ//flgB//purL//
FadR	fliT//hchA//mipA//yfiB//dtpA//xdhB//fliM//alsC//
FeaR	ampD//
Fis	intQ//ydfH//chiA//htpG//valT//hofO//ivbL//lysT//dksA//gpmM//yebE//allB//ada//ilvY//dhaK//insK//ycjX//rpmA//agaD//cpdB//ynbC//yiiS//arsB//ddpX//ddpF//yneM//trpE//ompT//gltJ//csrB//potF//yidQ//gltK//pspF//gor//xdhC//yegH//ppsA//ftsK//creB//tsgA//agaC//cheZ//rsmA//rstA//yqjA//alsE//dsbA//valY//decR//cpxR//flgI//rpiR//pdeF//xdhA//iraD//
FlhDC	gpmA//iscR//rcsB//bioA//rpsU//ycjF//yhdW//ubiX//lysW//phnG//bdm//talA//potI//ydfD//ppdB//dinB//rpiR//yegR//dgcC//leuC//yegR//recB//hfq//fepC//phoH//yhhY//tonB//tdh//accD//pdeH//ddpB//gpmA//fhuB//folE//rutR//potH//argF//speB//
FliZ	bcsZ//
Fur	nlpE//ymgC//argC//ydfN//iraP//tar//ydcT//leuQ//yqaE//dgkA//dksA//sbcD//ygdB//manA//yhbE//trmD//sutR//ydfH//gcvA//livK//alsE//ompN//pepD//speA//
GadX	ddpA//tyrU//gcvB//ybfE//pnuC//pepD//ykgM//
GcvA	creB//kdpB//
H-NS	argW//erpA//wecC//mukF//ydfX//tonB//phoR//flgA//mgtA//rnlB//pfkA//ydcT//agp//argF//
HU	rimM//patZ//
HcaR	ydeJ//rplU//rsmA//fadM//motA//glpR//
IHF	rimM//alsB//fecI//yadV//iscS//dhaR//yaiW//
IlvY	speC//kbp//
IscR	leuQ//bdm//yegR//tap//pdxA//pdxA//allD//bdcA//
KdpE	pdxA//gpmA//wzyE//hchA//
LeuO	yhdX//bioB//fliM//lysC//yegH//rplU//
LexA	sroC//yfdV//sbmA//fabH//hslJ//dsrA//psiF//polA//metF//efeU_2//speA//trxA//rpsR//paaY//yjjZ//yafO//yecT//creA//yeiB//yegZ//flgF//upp//hofC//phnF//ymgC//tehA//tfaQ//kdpB//potG//aaeR//hcaE//artP//yaeQ//yhbT//aaeB//yeaG//ydiU//
LrhA	tyrB//
Lrp	ilvN//rdoA//recX//rybB//flgK//yqaE//leuX//lrhA//add//argF//sroC//aroF//cheA//hcaF//
LysR	arsR//
MalT	gudD//
MarA	yidL//hemF//
MatA	leuE//ppdC//
McbR	tyrU//
MetJ	nadA//mngB//alsB//glpE//ycgZ//
MlrA	fecR//aaeB//cysC//ydfN//leuX//
MngR	upp//fliN//slyB//
MntR	allC//nadA//
MprA	fliL//yegR//omrB//
MqsA	infC//ymgA//
MurR	ddpB//
Nac	wzyE//recC//hcaC//allS//flu//
NadR	cysD//rimM//fhuC//
NagC	phnD//secB//yjhC//gpmA//aaeA//
NanR	ymgC//ihfB//
NimR	yqjA//symE//
NsrR	phoE//rybA//dhaL//flgJ//amiA//ycgZ//argR//cysD//ivbL//tyrA//ttdR//tfaQ//prs//lysT//tufB//aspV//yojI//nlpE//mgtA//mngA//tpr//tonB//fruK//ampE//hchA//dsrA//ydfH//hchA//ymjC//preT//
NtrC	yoaC//wzyE//azuC//znuA//psd//ynbD//tpiA//fliP//pheS//preT//ycgZ//yeaG//proK//ygeH//flhB//ycjG//flgB//
OmpR	pheT//yqjA//phnO//comR//
OxyR	pfkA//metF//ynjI//rffM//artM//pykF//pfkA//yccA//trpD//
PaaX	ynbA//argC//
PepA	treR//
PgrR	iscA//iscA//msrA//argA//ybbW//speC//yhdZ//
PhoB	pepD//dhaK//ymiA//borD//accD//wecC//ariR//sohB//talA//ybhG//leuQ//agaC//purL//ivbL//ykgM//pheU//btuB//leuA//tcyP//yidQ//mgrB//ttdT//allC//fabI//sxy//motA//mgrB//fhuB//crl//ynbD//flgE//
PhoP	cheR//purE//chiA//oxyS//dkgA//allC//agaI//creA//fruA//ftsK//iscU//lrhA//dinQ//ykgR//msrA//asnB//
PspF	aaeX//
PurR	glmU//dgcC//phnG//flhB//leuW//ldtC//ynbD//rpmI//ung//dicB//rnlA//yjjZ//purK//
RbsR	creC//
RcdA	gpmM//leuQ//rfe//
RclR	ygaC//umuC//hofM//
RcnR	fliS//
RcsAB	exbD//bcsZ//ibaG//zntA//yqaE//
RcsB	mgrB//yfdX//ttdB//fabD//
RcsB-BglJ	nohA//argW//tyrB//phoR//polB//fliT//ydeI//mukB//wecB//flhA//preA//
Rob	hchA//
RutR	purF//
SdiA	efeU_2//
SgrR	yeaD//psiF//queA//ygiZ//fhuC//sfsB//
SoxS	cysN//cbpM//rybA//intQ//nlpA//phnJ//
SutR	mukB//iscS//
TorR	arcA//
TrpR	ptrA//treR//tehB//nlpE//pnuC//tehA//rpmA//bacA//
TyrR	gcvB//pheV//dhaR//
UidR	ysgA//
UvrY	ydcV//leuA//
XapR	phnI//flgK//
YdeO	intQ//htpG//
