#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	tyrB//
Ada	ykgO//ydbK//bcsZ//
AgaR	bioF//cheR//yhhY//seqA//flgI//ygeH//glgX//
AlaS	ydcV//
AllR	rutR//ptrA//xdhA//yhdW//potI//artJ//dsrA//gcvB//uspD//
AllS	nlpA//cynR//phoH//
AlsR	yfbR//rmf//phoH//yccA//sfsA//polA//
ArcA	ybhF//hdfR//
ArgP	flgH//rpiR//phnM//
ArgR	yjjZ//htpG//msrA//uvrD//phoH//cysN//mepH//flgJ//rclA//rpsP//allS//mgrR//livF//ompX//
ArsR	slt//glgB//mcbA//
AscG	bioF//
AsnC	tktB//
BasR	mgtA//
BirA	uvrC//ttdB//ydfE//yaeP//cynS//
BluR	ompA//wza//yfiB//tehA//
BolA	ynbC//ychH//
CRP	dapB//paaX//fhuC//ydjM//pheS//pgpC//cpxA//yhdY//rpiB//ybaS//isrC//chiA//exbB//sfsB//phoH//flgD//flgC//pnuC//grxD//agaD//flgJ//ilvC//nadB//rfe//preT//uvrY//yeiW//fhuB//dnaG//mukE//sfsB//mukB//tar//bioC//oxc//gltI//umuD//yegZ//flgB//bioC//fhuC//pepT//hofC//mltF//uspD//malZ//queA//trmD//omrA//dsbC//fruK//mgrB//yafN//ybhS//trpB//serT//ecnB//grpE//exbD//ydeI//cpxR//thrW//insK//argE//tyrB//yegZ//hisR//phnL//
CdaR	yeiW//psiF//mqsR//phnJ//yhbE//
CecR	tbpA//accA//dsbG//copA//potG//
CpxR	rcnR//dnaG//yqjA//ampC//phoP//hcaR//mhpR//ygaC//mepH//patZ//tyrB//phnD//rclC//phnF//cheB//accA//proL//asnB//hofB//argX//bdm//dsbG//mipA//uidR//yibQ//kdpA//iscS//kdpC//lysW//potI//tpiA//pykF//
Cra	ydeJ//ychH//csrB//wzyE//accA//pheS//yeaH//ompN//topA//paaY//yebE//efeU_1//alkA//purF//fliP//
CreB	trpC//
CsgD	ppdB//cheY//yhfA//fliQ//kbp//iraD//fliM//bioA//amn//
CueR	raiA//copA//
CynR	mqsR//ygaC//ybaS//tisB//
