#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	gor//
Ada	fhuD//rcsD//dksA//
AgaR	pheU//purF//rnlA//glgX//ttdB//ydjM//argI//
AlaS	nlpA//
AllR	yqjA//topA//yjhB//alaX//trpA//omrA//leuC//cheR//rpoD//
AllS	glk//rybA//phnE_1//
AlsR	pepA//ycjG//alaS//pitB//rimM//gudD//
ArcA	ychO//leuP//
ArgP	purE//mngB//lrhA//
ArgR	mgrR//mzrA//sdaA//yneM//allS//dsbG//lysO//alaC//pitB//agaB//mipA//patD//allA//fabI//
ArsR	hcaB//amn//yegR//
AscG	wecE//
AsnC	sfsB//
BasR	ybjG//
BirA	yciX//yfdV//ung//tsgA//hokE//
BluR	cpxQ//yeaD//infC//emrA//
BolA	ydcS//rstA//
CRP	insK//glxR//creC//patD//wecB//leuV//fliM//frc//ttdA//pepT//alkA//dkgB//agaR//fabH//flgA//tyrT//asnA//ydbK//ybhF//crl//mcaS//mlrA//fliT//yciX//yqjA//cheA//mlrA//ydfD//xapB//wzyE//mntS//alsE//rplI//rdoA//yeiP//dsbC//gcl//kbp//tehB//ddpA//ompX//aaeR//isrC//amn//thiQ//sxy//ibpB//glnW//phnI//bioD//fnrS//topA//garD//ompA//ddpF//btuB//trxA//cpxP//tehB//yjeV//fhuE//pdxA//arsB//ykgO//glgB//ykgM//flgL//znuA//
CdaR	wecC//dksA//bioA//valT//flgC//
CecR	ynbA//yhfA//dkgA//ddpA//yhdY//
CpxR	recX//aroH//ydbD//dsbG//pgm//fhuE//yhfA//fliS//leuC//ariR//tfaQ//cecR//amn//manA//alsE//trxC//fliD//ppdB//mepH//cbpA//fruA//hofN//wrbA//gcl//ada//cysE//hofB//uspB//leuD//rpsU//ubiG//accA//
Cra	gcvA//dinB//ampC//decR//recX//rclC//insK//hyi//ruvA//ydjM//yciW//ygbK//leuT//eno//yhfA//
CreB	flhA//
CsgD	psiF//gltK//accA//pgi//murR//speC//ynbC//glpG//borD//
CueR	yjeV//mcbA//
CynR	artI//hofC//ompX//alsC//
CysB	yciW//cysD//csrB//aaeX//lysO//leuA//metJ//potF//purC//mzrA//
Dan	mcbA//thiP//ldtD//prs//
DhaR	ynbD//hofN//ubiX//mukE//
DicA	speB//argE//hslJ//hflX//cdaR//entS//glnX//paaX//
DnaA	dsbG//mngB//
EvgA	cheA//cynR//agaB//symE//borD//wcaA//lysT//
FNR	bioD//trpC//dinQ//metC//ptrA//leuQ//leuE//metA//fruA//hdfR//bioC//ychH//yccT//dkgA//cysD//insD//yafN//ydcS//proM//fabI//avtA//phnL//aaeA//hcaD//hflX//potH//trpA//
FadR	gpsA//thrU//dapD//argT//pdeH//lysO//chiA//flgD//
FeaR	hofC//
Fis	lysV//nadC//dkgA//uvrB//yhfA//cueO//phoB//hokE//cysE//ilvN//fadM//ryhB//fliM//rpsR//ydeI//iscR//ibaG//fliO//znuA//rstB//nlpE//yidL//gor//kdpB//flgH//lysU//alaA//ung//alaS//trpL//ecnB//artP//thrU//valT//glpR//motB//torR//eno//cecR//rffT//arsR//aroF//nadC//flgH//yaiW//priB//kbaY//ycgZ//pitB//uidR//rpsR//yidL//ydcU//ubiG//folE//nimT//
FlhDC	rpsF//creA//hcaR//purB//ruvA//creB//thrT//argR//lysT//ptrA//fliN//trpB//allA//intQ//alsB//cheR//yaeQ//ychF//pspF//borD//folE//iraP//gudX//tadA//wrbA//yebE//glgB//hofP//potG//ynjI//bioC//flhE//hcaF//leuB//ycjF//ompT//ldtC//lysU//
FliZ	efeU_1//
Fur	yhbS//eno//ddpB//dhaM//entS//gpmM//cheA//fhuC//yhdW//dinF//recN//rpsR//symE//ampE//allE//phnM//lysW//gcvA//allE//pdxA//rffT//ydjM//mhpT//argX//
GadX	aroF//grpE//slt//polB//gfcA//fadR//aaeB//
GcvA	trpE//ybhR//
H-NS	ydfE//uspE//ompT//yneM//fliM//yeiB//yaeP//xdhC//purL//yeaD//crl//gpmA//rcnR//fadM//
HU	gcl//bioF//
HcaR	kdpB//gudD//ppdB//dsbA//alaS//avtA//
IHF	yeaD//tpiA//ynjI//bdcA//sohB//leuQ//gudD//
IlvY	yccT//pheT//
IscR	narQ//phnK//sdaA//treR//apaH//yeiB//trpL//tynA//
KdpE	yjjP//pdxA//gspB//yoaC//
LeuO	yadV//metU//yfdE//recB//fliD//ppc//
LexA	flgH//dhaM//flgA//allA//glmU//pgm//aroF//nohA//yibQ//pagP//envC//ydbK//glgX//creB//gudX//arsR//hflX//hofN//apaG//metA//ampD//recB//znuA//arcZ//lysU//yeiP//yqaE//creA//rplS//gfcA//wcaA//ecpA//yagK//pykF//glxR//fhuD//umuD//
LrhA	znuA//
Lrp	phoB//ddpB//arfB//pheS//phnE_1//ybjG//ydcT//hofM//glnU//adiY//csrB//fldA//artJ//mhpR//
LysR	yeaG//
MalT	rffH//
MarA	mngR//rpsP//
MatA	leuX//flxA//
McbR	ycjY//
MetJ	recX//priB//bdm//tyrA//azuC//
MlrA	speB//htpG//apaH//yccJ//upp//
MngR	proK//argC//tyrA//
MntR	preA//phnP//
MprA	yhdW//recC//umuC//
MqsA	hokE//mukF//
MurR	livF//
Nac	nadB//ompT//dinD//glmS//fliS//
NadR	gpsA//ydeJ//entS//
NagC	flgI//rstA//rclA//ybjG//kdpF//
NanR	ychH//serT//
NimR	ybaS//ycjY//
NsrR	alsE//rplS//flgL//ychO//hofC//yecT//phoE//ppdD//ung//sroA//artJ//mpaA//dicB//nadC//fecI//agaI//gltX//hcaF//mscM//rybB//tbpA//ymjC//topA//cynT//leuW//purL//dinD//ompX//ompN//sbcC//
NtrC	fliP//amiA//cysN//yjeV//ppiD//ygiZ//ttdB//yeiP//cysC//queA//yafO//bioF//ibaG//ykgM//rpsF//uspB//flhB//
OmpR	alsB//alkB//dhaM//phoB//
OxyR	ydfW//ydcU//fliM//iscU//artI//envC//malZ//ttdT//preT//
PaaX	tonB//aspV//
PepA	ruvB//
PgrR	dhaR//dhaK//cheR//yhbT//cbpM//rof//glpR//
PhoB	crl//decR//tpr//hcaR//efeU_2//rpoD//speC//cueO//ybhF//fnrS//yeaG//mgtA//manA//accD//znuA//arsB//yciX//flgI//ppdB//argU//hyi//kbl//fliS//hslJ//tynA//thrW//argU//purE//bcsZ//glyT//mltF//
PhoP	emrA//thrU//nadC//cheB//ynbA//adiY//uspD//yafP//fhuA//trxA//fhuE//ruvA//proM//dhaL//apaH//rpsF//
PspF	aaeB//
PurR	rimM//gudX//trpR//yeiW//rpsP//cysE//thiP//csrB//rpsU//polA//tyrB//ychH//emrB//
RbsR	dnaG//
RcdA	mcaS//yhdW//gspA//
RclR	hcaF//dhaK//omrB//
RcnR	glmU//
RcsAB	intQ//frc//tyrA//cynX//yhhY//
RcsB	htrE//htrE//flgD//serT//
