"Names"	"RegulonSize"	"SpearmanCorrelationMean"	"SpearmanCorrelationMedian"
"AcrR"	1	1	1
"Ada"	3	0.212291020161248	0.214806235173394
"AgaR"	7	0.214291088011407	0.235002476839196
"AlaS"	1	1	1
"AllR"	9	0.191962875468097	0.184401495021666
"AllS"	3	0.257597564043294	0.298816636782892
"AlsR"	6	0.29981202568103	0.325304987940908
"ArcA"	1	1	1
"ArgP"	3	0.317642814230302	0.349248081244644
"ArgR"	14	0.236933849540704	0.190609414781736
"ArsR"	3	0.225303563794983	0.176339198047336
"AscG"	1	1	1
"AsnC"	1	1	1
"BasR"	1	1	1
"BirA"	5	0.511666559900828	0.514336899112241
"BluR"	4	0.5543551912826	0.56854247364051
"BolA"	2	0.208911035958259	0.208911035958259
"CRP"	66	0.154065165027837	0.119940347138311
"CdaR"	5	0.309599254821066	0.322614249209439
"CecR"	5	0.341188753652191	0.349561988385073
"CpxR"	29	0.104020458737944	0.0735715507497811
"Cra"	15	0.159736827293292	0.14405356787888
"CreB"	1	1	1
"CsgD"	9	0.151502270381118	0.110192120753161
"CueR"	2	0.388001606304872	0.388001606304872
"CynR"	4	0.236389948579525	0.231437354437589
"CysB"	10	0.210429909882709	0.0620761911582514
"Dan"	4	0.194939289614307	0.19794760268333
"DhaR"	4	0.390992011155478	0.373724989155869
"DicA"	8	0.152479446896495	0.142226270252377
"DnaA"	2	0.203539971680227	0.203539971680227
"EvgA"	6	0.29376873859342	0.317101626701238
"FNR"	26	0.132421097134056	0.0789630227821786
"FadR"	8	0.184952440959131	0.184643176716861
"FeaR"	1	1	1
"Fis"	15	0.139529872270828	0.110336727589713
"FlhDC"	37	0.271674680462053	0.282191460521872
"FliZ"	1	1	1
"Fur"	23	0.245096456442099	0.179323767505405
"GadX"	7	0.148937709867954	0.118537584112545
"GcvA"	1	1	1
"H-NS"	14	0.0948545269763664	0.0540173557601105
"HU"	2	0.394658450193711	0.394658450193711
"HcaR"	6	0.225705058982369	0.243977018684906
"IHF"	7	0.0993568039584941	0.0669433825666261
"IlvY"	2	0.0256439380022435	0.0256439380022435
"IscR"	8	0.248316746436988	0.144133286323733
"KdpE"	4	0.206528800457538	0.135732826512598
"LeuO"	5	0.47929359966603	0.581081576325332
"LexA"	37	0.175670212552937	0.145713933464255
"LrhA"	1	1	1
"Lrp"	14	0.194932025209555	0.145650700864596
"LysR"	1	1	1
"MalT"	1	1	1
"MarA"	2	0.0212364806362294	0.0212364806362294
"MatA"	2	0.204761189607985	0.204761189607985
"McbR"	1	1	1
"MetJ"	5	0.256266740816023	0.199637247507401
"MlrA"	5	0.365585684685619	0.343477517872378
"MngR"	3	0.106334424508649	0.132244707917561
"MntR"	1	1	1
"MprA"	3	0.361553228347247	0.43154732535411
"MqsA"	2	0.628891671053285	0.628891671053285
"MurR"	1	1	1
"Nac"	5	0.515579037846118	0.510211711709594
"NadR"	3	0.38845615853028	0.38562032684513
"NagC"	5	0.171214991631585	0.0498822965735301
"NanR"	2	0.512176094191686	0.512176094191686
"NimR"	2	0.13791780457803	0.13791780457803
"NsrR"	29	0.128577431345645	0.0869768571366792
"NtrC"	17	0.20701432775759	0.203262079636217
"OmpR"	2	0.111290686546693	0.111290686546693
"OxyR"	7	0.0765928868172852	0.0650244148337937
"PaaX"	2	0.469014117368238	0.469014117368238
"PepA"	1	1	1
"PgrR"	7	0.244704068622507	0.211764207783783
"PhoB"	30	0.124805446891956	0.0745220025695496
"PhoP"	15	0.180610090774374	0.153671324743359
"PspF"	1	1	1
"PurR"	13	0.304536925751896	0.272101171623891
"RbsR"	1	1	1
"RcdA"	3	0.0221357227959569	0.0181066447047453
"RclR"	3	0.228227553093931	0.133551452710728
"RcnR"	1	1	1
"RcsAB"	5	0.266534029081054	0.278383534115045
"RcsB"	4	0.191263529616762	0.131372921896099
"RcsB-BglJ"	11	0.101256042439297	0.072529662421323
"Rob"	1	1	1
"RutR"	1	1	1
"SdiA"	1	1	1
"SgrR"	5	0.170587874551634	0.0938261377480477
"SoxS"	6	0.122283196432817	0.0824708845882635
"SutR"	2	0.0834046559440209	0.0834046559440209
"TorR"	1	1	1
"TrpR"	8	0.334630773785986	0.317750432968744
"TyrR"	3	0.271439003916329	0.119087811184083
"UidR"	1	1	1
"UvrY"	1	1	1
"XapR"	2	0.0577012632373762	0.0577012632373762
"YdeO"	2	0.716419906790738	0.716419906790738
"YjjQ"	7	0.139550012191709	0.0808589638579478
"YpdB"	1	1	1
"YqhC"	2	0.300505385074961	0.300505385074961
"ZntR"	1	1	1
"ZraR"	1	1	1
"Zur"	5	0.374506190435831	0.316257097734184
