"Names"	"RegulonSize"	"SpearmanCorrelationMean"	"SpearmanCorrelationMedian"
"b0001"	3	1	1
"b0002"	3	1	1
"b0003"	3	1	1
"b0004"	3	1	1
"b0005"	3	1	1
"b0006"	3	1	1
"b0007"	3	1	1
"b0008"	3	1	1
"b0009"	3	1	1
"b0010"	3	1	1
"b0011"	3	1	1
"b0013"	3	1	1
"b0014"	3	1	1
"b0015"	3	1	1
"b0016"	3	1	1
"b0018"	3	1	1
"b0019"	3	1	1
"b0020"	3	1	1
"b0021"	3	1	1
"b0022"	3	1	1
"b0023"	3	1	1
"b0024"	3	1	1
"b0025"	3	1	1
"b0026"	3	1	1
"b0027"	3	1	1
"b0028"	3	1	1
"b0029"	3	1	1
"b0030"	3	1	1
"b0031"	3	1	1
"b0032"	3	1	1
"b0033"	3	1	1
"b0034"	3	1	1
"b0035"	3	1	1
"b0036"	3	1	1
"b0037"	3	1	1
"b0038"	3	1	1
"b0039"	3	1	1
"b0040"	3	1	1
"b0041"	3	1	1
"b0042"	3	1	1
"b0043"	3	1	1
"b0044"	3	1	1
"b0045"	3	1	1
"b0046"	3	1	1
"b0047"	3	1	1
"b0048"	3	1	1
"b0049"	3	1	1
"b0050"	3	1	1
"b0051"	3	1	1
"b0052"	3	1	1
"b0053"	3	1	1
"b0054"	3	1	1
"b0055"	3	1	1
"b0058"	3	1	1
"b0059"	3	1	1
"b0060"	3	1	1
"b0061"	3	1	1
"b0062"	3	1	1
"b0063"	3	1	1
"b0064"	3	1	1
"b0065"	3	1	1
"b0066"	3	1	1
"b0067"	3	1	1
"b0068"	3	1	1
"b0069"	3	1	1
"b0070"	3	1	1
"b0071"	3	1	1
"b0072"	3	1	1
"b0073"	3	1	1
"b0074"	3	1	1
"b0075"	3	1	1
"b0076"	3	1	1
"b0077"	3	1	1
"b0078"	3	1	1
"b0080"	3	1	1
"b0081"	3	1	1
"b0082"	3	1	1
"b0083"	3	1	1
"b0084"	3	1	1
"b0085"	3	1	1
"b0086"	3	1	1
"b0087"	3	1	1
"b0088"	3	1	1
"b0089"	3	1	1
"b0090"	3	1	1
"b0091"	3	1	1
"b0092"	3	1	1
"b0093"	3	1	1
"b0094"	3	1	1
"b0095"	3	1	1
"b0096"	3	1	1
"b0097"	3	1	1
"b0098"	3	1	1
"b0099"	3	1	1
"b0101"	3	1	1
"b0102"	3	1	1
"b0103"	3	1	1
"b0104"	3	1	1
"b0106"	3	1	1
"b0107"	3	1	1
"b0108"	3	1	1
"b0109"	3	1	1
"b0110"	3	1	1
"b0111"	3	1	1
"b0112"	3	1	1
"b0113"	3	1	1
"b0114"	3	1	1
"b0115"	3	1	1
"b0116"	3	1	1
"b0117"	3	1	1
"b0118"	3	1	1
"b0119"	3	1	1
"b0120"	3	1	1
"b0121"	3	1	1
"b0122"	3	1	1
"b0123"	3	1	1
"b0124"	3	1	1
"b0125"	3	1	1
"b0126"	3	1	1
"b0127"	3	1	1
"b0128"	3	1	1
"b0129"	3	1	1
"b0130"	3	1	1
"b0131"	3	1	1
"b0132"	3	1	1
"b0133"	3	1	1
"b0134"	3	1	1
"b0135"	3	1	1
"b0136"	3	1	1
"b0137"	3	1	1
"b0138"	3	1	1
"b0139"	3	1	1
"b0140"	3	1	1
"b0141"	3	1	1
"b0142"	3	1	1
"b0143"	3	1	1
"b0144"	3	1	1
"b0145"	3	1	1
"b0146"	3	1	1
"b0147"	3	1	1
"b0148"	3	1	1
"b0149"	3	1	1
"b0150"	3	1	1
"b0151"	3	1	1
"b0152"	3	1	1
"b0153"	3	1	1
"b0154"	3	1	1
"b0155"	3	1	1
"b0156"	3	1	1
"b0157"	3	1	1
"b0158"	3	1	1
"b0159"	3	1	1
"b0160"	3	1	1
"b0161"	3	1	1
"b0162"	3	1	1
"b0163"	3	1	1
"b0164"	3	1	1
"b0166"	3	1	1
"b0167"	3	1	1
"b0168"	3	1	1
"b0169"	3	1	1
"b0170"	3	1	1
"b0171"	3	1	1
"b0172"	3	1	1
"b0173"	3	1	1
"b0174"	3	1	1
"b0175"	3	1	1
"b0176"	3	1	1
"b0177"	3	1	1
"b0178"	3	1	1
"b0179"	3	1	1
"b0180"	3	1	1
"b0181"	3	1	1
"b0182"	3	1	1
"b0183"	3	1	1
"b0184"	3	1	1
"b0185"	3	1	1
"b0186"	3	1	1
"b0187"	3	1	1
"b0188"	3	1	1
"b0189"	3	1	1
"b0190"	3	1	1
"b0191"	3	1	1
"b0192"	3	1	1
"b0193"	3	1	1
"b0194"	3	1	1
"b0195"	3	1	1
"b0196"	3	1	1
"b0197"	3	1	1
"b0198"	3	1	1
"b0199"	3	1	1
"b0200"	3	1	1
"b0207"	3	1	1
"b0208"	3	1	1
"b0209"	3	1	1
"b0210"	3	1	1
"b0211"	3	1	1
"b0212"	3	1	1
"b0213"	3	1	1
"b0214"	3	1	1
"b0215"	3	1	1
"b0217"	3	1	1
"b0218"	3	1	1
"b0219"	3	1	1
"b0220"	3	1	1
"b0221"	3	1	1
