# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	dgcZ//
aas_lplT	galM//
abgABT_ogt	dgt//truD//yjjX//
abpAB	
accBC	nudJ//ispH//
aceBAK	araB//psd//eptB//
aceEF	cheB//hemG//nrfA//
ackA_pta	poxB//arnC//
acpP_fabF	yciV//
acrAB	ribE//mgsA//
acrEF	pyrG//
acs_yjcH_actP	ushA//hisG//
ada_alkB	yihU//ubiG//
agaS_kbaY_agaBCDI	yigB//
ahpCF	wzb//
alaA_yfbR	rutA//eptB//
alaWX	
allDCE	gcvT//fabB//pphA//
alsBACE	bcsB//yihU//
amiA_hemF	fabA//dmlA//
ampDE	ulaE//
ansA_pncA	trmL//dacA//orn//
apaGH	pgaD//
appCBXA	asnB//lyxK//
araBAD	ftsI//solA//roxA//
araE_ygeA	cobT//
araFGH	yfiH//
argCBH	plsB//mpaA//thiI//
argT_hisJQMP	ghrB//luxS//
argX_hisR_leuT_proM	
arnBCADTEF	glpK//cynT//ldtD//rfbC//ogt//
aroF_tyrA	lpcA//fabA//
aroKB_damX_dam_rpe_gph_trpS	talB//ilvG_1//purA//malZ//moeA//sdhB//
aroL_yaiA_aroM	garK//
arpB_1B_2	
arsRBC	yghA//arnT//
artPIQM	treF//
ascFB	yieH//gutQ//
asnC_mioC	
asnC_mioC_mnmG	thrB//
aspA_dcuA	tdcD//phnP//
astCADBE	ygeX//wecB//curA//fcl//ilvG_1//
atoDAEB	pyrD//ilvD//fkpB//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	gpsA//argH//paaI//metA//poxB//ampC//
bamB_der	hcaC//
basRS	
bcsABZC	sthA//trmA//
bcsBZ	rhaD//psuG//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	frmB//ldtE//
bfd_bfr	mnmC//
bglGFB	hcp//entA//
bglH_yieLK	
bioBFCD	slt//mpl//waaB//aldA//
brnQ_proY	cdh//asnS//
btuB_murI	cobU//ddlB//
btuCED	uvrA//avtA//
cadBA	tdcG//argD//
caiCDE	tsaB//pbpC//
caiTABCDE	gss//napC//thrA//katE//ygeX//
carAB	pdeR//
casABCDE12	nrfB//
casDE12	cobC//
cbpAM	
cbrBC	
ccmABCDEFGH	ssuD//
cecR_ybhGFSR	
chaBC	
chbBCARFG	murG//fabB//mutH//
chiP_ybfN	leuB//
chpSB	dosC//
citCDEFXG	cobC//purN//tam//
clpPX	ppx//waaL//rfbA//tam//
clpX_lon	ulaD//cysN//queG//
clsA_yciU	ubiE//
cmk_rpsA	dut//
cmoM_mukFEB	
cmtBA_yggPFDC	epmC//tyrA//
coaE_zapD_yacG	slt//
cobUST	nadC//ribF//prs//
codBA	nrfD//sdhC//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	allE//
csgBAC	
csgDEFG	asnB//
csiD_lhgO_gabDTP	murA//fabF//glcE//sbcB//
cusCFBA	lpoA//
cusRS	
cvpA_purF_ubiX	dgcZ//rsmD//
cydAB	murE//
cydDC	hmp//
cydX_ybgE	yfaU//
cynTS	ugd//aceA//
cynTSX	tig//fau//nagB//
cyoABCDE	adiA//fbaB//
cysDNC	yeiR//yieH//
cysJIH	trmD//dmsC//yigL//
cysPUWAM	trpD//rpiB//argC//
dadAX	hyi//hpt//
damX_dam_rpe_gph_trpS	phnP//asd//epmA//ahpF//
dam_rpe_gph_trpS	bglB//ynjE//gatZ//narZ//
dapA_bamC	dapD//
dapE_ypfN	idnD//
dcm_vsr	cysS//
dcuB_fumB	purB//rdgB//
dcuSR	
dcyD_tcyLN	yeiR//pabC//
ddpXABCDF	lysU//
def_fmt	aroL//acpH//
degQS	ndh//mltA//
deoABD	ackA//thiE//thrA//
deoBD	dcd//mnmE//
deoCABD	lplA//narY//narG//phnO//
dgoRKADT	trmI//cynS//frdC//gpt//
dhaKLM	kbaY//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	mqo//yigB//
dinJ_yafQ	frlB//
dksA_gluQ	rffM//
dmsABC	rsmI//
dnaAN_recF	tktA//
dnaK_tpke11_dnaJ	pflB//
dnaN_recF	cdd//
dnaTC	
dnaTC_yjjA	
dosCP	slt//rfbD//
dpiBA	
dppABCDF	agp//
dsbC_recJ_prfB	nfsB//yccX//
dsbD_yjdC	
dsdXA	csdA//fucU//
dusB_fis	alaS//
dut_slmA	pta//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	rfbC//pgi//
efeOB	hisG//
efeU_1U_2	
elbB_mtgA	csdA//
elfDCG_ycbUVF	
emrKY	tsaE//
entCEBAH	rihA//allD//purF//dxr//thiE//uxuB//
envY_ompT	bglA//
epd_pgk	ileS//hypB//
epd_pgk_fbaA	glpB//lpxM//betB//
essD_rrrD_rzpD	rne//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	ynfG//
eutHA	
eutNEJG	
eutSPQTDM	wrbA//
evgAS	
exbBD	
fabDG_acpP	thiE//gloB//
fabG_acpP	gmd//
fabHDG	surA//clsC//hisH//
fabR_yijD	
fadBA	hemD//wrbA//
fadD_sroD	rdoA//
fadIJ	acs//moaE//
fdnGHI	
fdoGHI_fdhE	caiD//
fdrA_ylbEF_ybcF	argG//
fecABCDE	gcd//fadH//
fecIR	
feoABC	pdxK//
fepA_entD	proC//argH//rnt//
fepDGC	pinE//
fes_ybdZ_entF_fepE	leuA//pphB//phnN//
fetAB	
fhuACDB	mug//btuE//
ficA_fic_pabA	nadC//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	pflB//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	spoT//thrA//
folC_dedD	nanA//
folD_ybcJ	idnK//
folE_yeiB	def//
folP_glmM	yigB//hchA//
folX_yfcH	fkpA//
frdABCD	chbF//
frlABCDR	malZ//yliI//cheB//tesA//
frmRAB	nudF//ubiA//
fruBKA	scpA//kbl//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	eptC//moaA//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	mltD//uvrA//thiF//murA//guaB//mobA//yfdE//guaD//nadB//nudJ//
ftsQAZ	
ftsYEX	
fucAO	dusA//cyaA//
fucPIKUR	argB//xdhA//rsmE//glpX//
fumAC	ftnA//nadE//
fusA_tufA	
gabDTP	glpA//tdcB//ubiG//
gadAX	queF//
gadBC	btuR//mutT//
gadEF	
gadEF_mdtEF	eptA//
gadXW	
galET	lsrG//xdhC//
galETK	galT//coaD//pepD//
galETKM	glmM//srlD//pncC//tmcA//
gapA_yeaD	fadD//
gapC_1C_2	
garPLRK_rnpB	lacA//hchA//rdgB//trmD//pgpC//udp//
gatYZABCD	rihB//entD//allD//
gatZABCD	fsaA//nadR//ansB//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	yjcS//azoR//hinT//gcvH//alr//
gcvTHP	xthA//ppc//sgbH//
gfcBCD	
gfcE_etp_etk	yggF//tpiA//
ghoST	ldcA//
glcBA	yfdE//scpA//
glcDEFGBA	sucD//pdxA//mazG//
glf_wbbH	dusB//
glgAP	ubiE//napA//
