# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	ilvN//
aas_lplT	malZ//
abgABT_ogt	waaH//eutB//yrfG//
abpAB	
accBC	rsmB//napA//
aceBAK	dinB//nadC//insI-2//
aceEF	lldD//pncC//prpD//
ackA_pta	gstA//yfiH//
acpP_fabF	asnA//
acrAB	gloB//thrA//
acrEF	glcB//
acs_yjcH_actP	gpmM//nrdD//
ada_alkB	argE//ldtA//
agaS_kbaY_agaBCDI	truC//
ahpCF	sthA//
alaA_yfbR	fucI//cadA//
alaWX	
allDCE	yihV//thrB//atoA//
alsBACE	selA//fadM//
amiA_hemF	fadH//glmM//
ampDE	nagK//
ansA_pncA	sucA//gcvH//entF//
apaGH	cobU//
appCBXA	nanA//argC//
araBAD	mnmE//fabA//tauD//
araE_ygeA	ldtC//
araFGH	speG//
argCBH	rnb//pdxK//aphA//
argT_hisJQMP	aroE//glgB//
argX_hisR_leuT_proM	
arnBCADTEF	lpxC//wecB//queD//dgoA//glyQ//
aroF_tyrA	gdhA//hisH//
aroKB_damX_dam_rpe_gph_trpS	dnaE//nagA//rutE//rnpA//ilvN//purU//
aroL_yaiA_aroM	gloC//
arpB_1B_2	
arsRBC	glmS//yniC//
artPIQM	queD//
ascFB	bglA//rsmH//
asnC_mioC	
asnC_mioC_mnmG	lhgO//
aspA_dcuA	ppiC//mhpA//
astCADBE	eptB//ltaE//fadB//ybhA//gutQ//
atoDAEB	nudJ//narH//yiaY//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	guaA//rdgB//hycB//ispD//gstB//ulaF//
bamB_der	phnL//
basRS	
bcsABZC	fucA//purN//
bcsBZ	melA//ttdA//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	yahK//ydiB//
bfd_bfr	rsmJ//
bglGFB	pldB//sdaB//
bglH_yieLK	
bioBFCD	gntK//sgbU//puuA//hypF//
brnQ_proY	yggF//pgk//
btuB_murI	sgbE//lyxK//
btuCED	apt//mutY//
cadBA	pgpC//folA//
caiCDE	sgbU//argF//
caiTABCDE	pgk//ispF//tilS//thyA//pyrC//
carAB	uidA//
casABCDE12	pphB//
casDE12	rnpB//
cbpAM	
cbrBC	
ccmABCDEFGH	rbsD//
cecR_ybhGFSR	
chaBC	
chbBCARFG	rsmJ//ppc//moeB//
chiP_ybfN	uvrB//
chpSB	lysC//
citCDEFXG	yfeX//hycD//puuB//
clpPX	hisI//rsmE//uxuA//aroG//
clpX_lon	glyQ//yfdR//rpiB//
clsA_yciU	opgB//
cmk_rpsA	rsmI//
cmoM_mukFEB	
cmtBA_yggPFDC	thiM//cyaA//
coaE_zapD_yacG	uxaA//
cobUST	cynS//rffM//rutA//
codBA	frlC//citX//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	sucA//
csgBAC	
csgDEFG	paoC//
csiD_lhgO_gabDTP	aslA//metE//cdd//tdk//
cusCFBA	ymdB//
cusRS	
cvpA_purF_ubiX	dapA//uxaA//
cydAB	truC//
cydDC	entH//
cydX_ybgE	insI-1//
cynTS	umpH//fabG//
cynTSX	thiC//frmB//amiD//
cyoABCDE	coaA//sad//
cysDNC	rhaD//aspC//
cysJIH	folC//hemN//bioB//
cysPUWAM	hemE//mtgA//iscS//
dadAX	malY//ldhA//
damX_dam_rpe_gph_trpS	hchA//ldtB//patZ//cyaA//
dam_rpe_gph_trpS	iaaA//treF//yjjG//btuR//
dapA_bamC	folC//
dapE_ypfN	rnd//
dcm_vsr	rbsK//
dcuB_fumB	mpaA//dhaL//
dcuSR	
dcyD_tcyLN	valS//ung//
ddpXABCDF	hycG//
def_fmt	rfaD//yegS//
degQS	dgcP//pgm//
deoABD	mutM//waaQ//waaH//
deoBD	tcdA//waaU//
deoCABD	lpxC//pgpA//mutL//trmL//
dgoRKADT	fbaA//mhpD//truC//wrbA//
dhaKLM	yiaY//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	fadD//ftsI//
dinJ_yafQ	nudL//
dksA_gluQ	malS//
dmsABC	glyQ//
dnaAN_recF	nadB//
dnaK_tpke11_dnaJ	ghrB//
dnaN_recF	chbG//
dnaTC	
dnaTC_yjjA	
dosCP	atoA//thrA//
dpiBA	
dppABCDF	nagZ//
dsbC_recJ_prfB	cysS//gcvT//
dsbD_yjdC	
dsdXA	yghA//kbaZ//
dusB_fis	wecB//
dut_slmA	ilvH//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	yneH//ndh//
efeOB	lpd//
efeU_1U_2	
elbB_mtgA	pgsA//
elfDCG_ycbUVF	
emrKY	yqaB//
entCEBAH	ugd//ascB//rnb//hemF//yigL//frlC//
envY_ompT	rlmC//
epd_pgk	nagK//alsK//
epd_pgk_fbaA	garR//bioH//maeA//
essD_rrrD_rzpD	yjhG//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	aceA//
eutHA	
eutNEJG	
eutSPQTDM	hisF//
evgAS	
exbBD	
fabDG_acpP	folD//aroL//
fabG_acpP	pgaD//
fabHDG	aroK//tig//pgpA//
fabR_yijD	
fadBA	yniC//psuG//
fadD_sroD	puuB//
fadIJ	cmk//allB//
fdnGHI	
fdoGHI_fdhE	yidA//
fdrA_ylbEF_ybcF	nudF//
fecABCDE	yccX//yghA//
fecIR	
feoABC	mcrC//
fepA_entD	murI//lacZ//rfbB//
fepDGC	kefF//
fes_ybdZ_entF_fepE	gpt//yjhH//pabB//
fetAB	
fhuACDB	bglX//purU//
ficA_fic_pabA	narY//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	mhpE//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	aslA//lpxC//
folC_dedD	nrfB//
folD_ybcJ	yliI//
folE_yeiB	nudL//
folP_glmM	leuB//fabA//
folX_yfcH	udp//
frdABCD	gcl//
frlABCDR	rutA//malZ//glcF//tgt//
frmRAB	citC//malZ//
fruBKA	dut//galU//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	yihS//puuE//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	rutB//hisI//pyrE//bioH//ulaD//puuE//dgcP//acpS//uvrC//epmC//
ftsQAZ	
ftsYEX	
fucAO	rnpA//hemC//
fucPIKUR	cheB//argF//thiK//aroD//
fumAC	pgpA//eutD//
fusA_tufA	
gabDTP	idi//tesA//argI//
gadAX	speD//
gadBC	mltB//dam//
gadEF	
gadEF_mdtEF	rlmL//
gadXW	
galET	bglX//gsk//
galETK	hyi//argF//coaA//
galETKM	folD//rsmJ//hemA//ung//
gapA_yeaD	ilvM//
gapC_1C_2	
garPLRK_rnpB	rhaD//wcaJ//menA//dapD//yccX//ruvA//
gatYZABCD	chbF//alaS//pssA//
gatZABCD	serA//ynfH//paoC//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	xapA//scpB//uvrB//lgoD//araB//
gcvTHP	waaO//phnH//hisD//
gfcBCD	
gfcE_etp_etk	cheB//glxR//
ghoST	yieH//
glcBA	aceF//gcl//
glcDEFGBA	menI//cmoA//dapE//
glf_wbbH	tyrA//
glgAP	alkB//gatD//
glgBXCAP	murD//yghA//nanE//scpB//feaB//
glgCAP	rluF//trmD//can//
glmUS	folP//truD//
glnALG	yieH//
glnHPQ	dhaM//
glnK_amtB	nrfD//
glnLG	
glnW_metU_glnVX	
glpABC	serC//
glpEGR	ribE//aceF//
glpFKX	allB//ydiO//yeaG//
glpGR	sodC//
glpTQ	sodA//galU//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	ldtA//
glvCBG_ysdC	
glyQS	poxB//
glyVXY	
glyW_cysT_leuZ	
gntKU	gstA//clsC//
gntRKU	dmsA//deoD//
gntX_nfuA	
gpmM_envC_yibQ	adhP//sodB//
groSL	
gspAB	
gspCDEFGHIJKLMO	pyrD//
guaBA	pgpC//alr//
gudPXD	hycF//fadK//
hcaEFCBD	pykF//citX//
hcp_hcr	nanE//nrdE//
hdeAB_yhiD	
hemA_prfA_prmC	ppx//ndk//
hemCDXY	rph//thiK//
hflD_purB	cpsB//
hfq_hflXKC	rutD//
hicAB	
higBA	tilS//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	aspC//dcm//nagA//nfsA//
hipBA	yceF//
hisBHAFI	ldcC//surA//adk//phnP//
hisJQMP	kdsA//alkB//
hisLGDCBHAFI	ybiV//aroB//eno//ulaF//thiC//rluF//murB//
hofMNOP	
holC_valS	ispE//
holD_rimI_yjjG	hcp//insI-3//
hscBA_fdx_iscX	sodA//
hsdMS	allD//
hsdRMS	fabI//
hslRO	
hslVU	fbp//
hyaABCDEF	
hybOABCDEFG	uxaB//
hycABCDEFGHI	apaH//bioC//
hydN_hypF	waaU//
hyfABCDEFGHIJR_focB	panE//
hypABCDE	asnA//
hypABCDE_fhlA	entD//
hypBCDE	ruvB//
hypBCDE_fhlA	rnt//
iaaA_gsiABCD	azoR//citD//
ibaG_murA	thiE//
ibpAB	
idnDOTR	ispE//rfbA//psd//
ileS_lspA_fkpB_ispH	yghA//wzc//fruK//sgbH//
ilvEDA	glcD//wbbI//mhpA//hcaE//
ilvIH	udp//
ilvLXG_1G_2MEDA	aspA//glnA//rnb//uxuB//otsB//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	zwf//
insN_1I_1O_1	rluB//
insO_2_yjhWV	
iscRSUA	aroD//treF//
ispDF	pgpC//glmU//
ispG_sroE	frlD//
isrC_flu	
ivbL_ilvBN	mdh//
ivbL_ilvBN_uhpABC	aspA//
kbaZ_agaVWA	fsaB//
kbl_tdh	cysM//tesA//
kdpDE	
kdpFABC	recF//
kdsC_lptCAB	narV//lhgO//
kefFC	yfaU//ychF//
kefGB_yheV	fabF//
kilR_ydaE	
lacYA	guaD//murE//
lacZYA	allD//ispU//rbsD//
lapAB	
lapAB_pyrF_yciH	argS//
lepAB	dgt//
leuLABCD	mrcB//murF//yfeX//
leuQPV	
leuS_lptE_holA_nadD_cobC	caiC//wecB//dut//
lexA_dinF	
lgt_thyA	thyA//cdsA//
ligA_ypeB	dacA//
livKHMGF	purD//malP//
lldPRD	glyS//glnS//
lolA_rarA	
lolB_ispE_prs	epmA//hemD//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	dapF//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	ghrA//ppiB//
lptFG	
lspA_fkpB_ispH	frc//hcaB//uvrA//
lsrACDBFG_tam	mhpB//kdgK//uxuB//argS//
lsrRK	ispU//
ltaE_ybjT	rlmF//
lysT_valT_lysW	
macAB	cysH//
malEFG	rbsK//
malK_lamB_malM	thiL//allD//
malPQ	nudE//rluD//
malXY	aspA//dacA//
manXYZ	accD//
map_glnD_dapD	purU//rpe//ribC//
marRAB	
mazEFG	purF//
mcrBC	yccX//
mdlAB	
mdtABCD_baeSR	lplA//
mdtEF	psd//
mdtJI	hpt//
mdtM_yjiN	aroH//
mdtNOP	acnB//
melAB	ldcA//yfiC//
menA_rraA	ansB//
menBCE	menB//folE//epmB//
menDHBCE	gph//rlmL//tnaA//sdhC//ydjG//
menFDHBCE	rfbB//acpS//fucU//asd//folP//entH//
metBL	umpG//alkB//
metNIQ	hemD//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	alaA//acpT//rhaA//
metZWV	
mglAC	xylB//
mglBAC	nadR//
mgtLA	glk//
