# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	trmD//
aas_lplT	ilvN//
abgABT_ogt	nudE//dusB//hyaA//
abpAB	
accBC	entA//mepS//
aceBAK	cysK//queC//amn//
aceEF	mcrC//aroE//proA//
ackA_pta	speD//ppc//
acpP_fabF	mnaT//
acrAB	frdC//fabG//
acrEF	mltC//
acs_yjcH_actP	leuD//yjjG//
ada_alkB	ispD//tgt//
agaS_kbaY_agaBCDI	trxB//
ahpCF	hemL//
alaA_yfbR	trmJ//yqjH//
alaWX	
allDCE	sucD//caiA//aes//
alsBACE	mocA//fabH//
amiA_hemF	ruvA//accC//
ampDE	nudL//
ansA_pncA	lpxM//sseA//ftsI//
apaGH	gcvP//
appCBXA	ybiV//ispH//
araBAD	mnmC//pphB//rsuA//
araE_ygeA	dusA//
araFGH	phnP//
argCBH	cysC//gpp//tdcD//
argT_hisJQMP	pta//hemD//
argX_hisR_leuT_proM	
arnBCADTEF	acnB//epd//cynS//yccX//narI//
aroF_tyrA	entD//entC//
aroKB_damX_dam_rpe_gph_trpS	yhdH//ynjE//pgaB//rsmA//preT//alaS//
aroL_yaiA_aroM	bcsZ//
arpB_1B_2	
arsRBC	yeiG//rluB//
artPIQM	waaA//
ascFB	preT//fes//
asnC_mioC	
asnC_mioC_mnmG	ycjG//
aspA_dcuA	moeA//cysC//
astCADBE	selB//mmuM//waaH//pdxJ//nadD//
atoDAEB	pdeR//tauD//sodB//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	metB//dgkA//rhaA//mazG//rsmJ//rsmH//
bamB_der	fadB//
basRS	
bcsABZC	betB//sdhD//
bcsBZ	aldB//gpp//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	efeB//pgaC//
bfd_bfr	xdhB//
bglGFB	ppiB//yohF//
bglH_yieLK	
bioBFCD	ribA//nfi//rlmG//dmlA//
brnQ_proY	phnL//sbcB//
btuB_murI	tktA//cysS//
btuCED	nudJ//gudD//
cadBA	etp//idnK//
caiCDE	ubiX//bioF//
caiTABCDE	speD//dosC//opgB//pdeF//hchA//
carAB	gmk//
casABCDE12	ispH//
casDE12	lsrG//
cbpAM	
cbrBC	
ccmABCDEFGH	fucK//
cecR_ybhGFSR	
chaBC	
chbBCARFG	yjjX//rdgB//aspC//
chiP_ybfN	pflB//
