# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	otsA//
aas_lplT	nrfA//
abgABT_ogt	thiD//idnO//tehB//
abpAB	
accBC	metE//nudL//
aceBAK	psuG//rutE//hycG//
aceEF	menA//yjcS//bglB//
ackA_pta	trmA//ampD//
acpP_fabF	ybaS//
acrAB	rutA//dgoK//
acrEF	recO//
acs_yjcH_actP	malS//dgcZ//
ada_alkB	bioD//mrcA//
agaS_kbaY_agaBCDI	wzc//
ahpCF	hflX//
alaA_yfbR	bglX//argS//
alaWX	
allDCE	astD//pyrF//mcrB//
alsBACE	cysG//purL//
amiA_hemF	acs//uxaB//
ampDE	alaA//
ansA_pncA	rfbC//rph//paoA//
apaGH	mazG//
appCBXA	argE//ribE//
araBAD	araB//paaG//bacA//
araE_ygeA	gltX//
araFGH	yieF//
argCBH	purU//lsrK//fabD//
argT_hisJQMP	ispD//tdk//
argX_hisR_leuT_proM	
arnBCADTEF	ubiE//folK//galK//apaH//yihV//
aroF_tyrA	menB//nagK//
aroKB_damX_dam_rpe_gph_trpS	ybcF//melA//glyQ//mraY//ygaP//waaP//
aroL_yaiA_aroM	rfbD//
arpB_1B_2	
arsRBC	truA//aspA//
artPIQM	pphA//
ascFB	speB//murD//
asnC_mioC	
asnC_mioC_mnmG	phnM//
aspA_dcuA	miaA//dcyD//
astCADBE	araA//glf//dfp//glpE//menF//
atoDAEB	ascB//uxaC//entA//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	sgbU//deoA//acs//mrdA//nadB//psd//
bamB_der	cysE//
basRS	
bcsABZC	ppiC//araD//
bcsBZ	phoA//fruK//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	pepD//emtA//
bfd_bfr	ndh//
bglGFB	nudB//cheR//
bglH_yieLK	
bioBFCD	citG//ilvB//rsmA//lpoB//
brnQ_proY	dacA//trmA//
btuB_murI	sodA//ghrB//
btuCED	panC//arnC//
cadBA	allC//nudL//
caiCDE	ppsA//uxaA//
caiTABCDE	yneH//kbaY//aroB//allA//bglX//
carAB	yhdJ//
casABCDE12	dusA//
casDE12	garL//
cbpAM	
cbrBC	
ccmABCDEFGH	ydiB//
cecR_ybhGFSR	
chaBC	
chbBCARFG	hdhA//rluE//allA//
chiP_ybfN	xapA//
chpSB	folA//
citCDEFXG	cof//ligB//fruK//
clpPX	purL//fadE//rlmM//pyrG//
clpX_lon	menF//ilvB//pgm//
clsA_yciU	fruK//
cmk_rpsA	hflX//
cmoM_mukFEB	
cmtBA_yggPFDC	mrcA//fumA//
coaE_zapD_yacG	adhP//
cobUST	moaA//nagK//fucO//
codBA	frdA//rlmE//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	appA//
csgBAC	
csgDEFG	btuR//
csiD_lhgO_gabDTP	ispH//tesA//lplA//gluQ//
cusCFBA	entH//
cusRS	
cvpA_purF_ubiX	pdxB//pdxH//
cydAB	puuE//
cydDC	paaE//
cydX_ybgE	pdxA//
cynTS	fes//xylA//
cynTSX	tag//torC//murG//
cyoABCDE	lyxK//ispE//
cysDNC	ynfH//galU//
cysJIH	phr//alsE//dadA//
cysPUWAM	epd//btuR//metF//
dadAX	ssuD//cysK//
