# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	gph//
aas_lplT	pykF//
abgABT_ogt	prpD//murQ//ispD//
abpAB	
accBC	rne//pphA//
aceBAK	def//rsmJ//yghU//
aceEF	ilvM//fabG//dapA//
ackA_pta	gabD//uxuB//
acpP_fabF	mocA//
acrAB	dgkA//frdC//
acrEF	fadJ//
acs_yjcH_actP	purL//clsA//
ada_alkB	sthA//ydfG//
agaS_kbaY_agaBCDI	yohF//
ahpCF	rdgB//
alaA_yfbR	speB//ampC//
alaWX	
allDCE	phnP//truA//cfa//
alsBACE	epmB//cysN//
amiA_hemF	dacA//avtA//
ampDE	yohF//
ansA_pncA	hemF//psuG//ispH//
apaGH	fadD//
appCBXA	gstA//pfkB//
araBAD	tesA//paaG//pssA//
araE_ygeA	dapD//
araFGH	lpxD//
argCBH	pssA//nagA//argS//
argT_hisJQMP	carA//yagF//
argX_hisR_leuT_proM	
arnBCADTEF	rsmJ//astB//galM//mcrA//cpdA//
aroF_tyrA	tdh//kduI//
aroKB_damX_dam_rpe_gph_trpS	nrdE//pfkA//rfaE//nemA//prs//glcE//
aroL_yaiA_aroM	hflX//
arpB_1B_2	
arsRBC	ugpQ//narI//
artPIQM	glgP//
ascFB	agp//clsB//
asnC_mioC	
asnC_mioC_mnmG	nrdD//
aspA_dcuA	nudK//pgpB//
astCADBE	waaP//hemD//rlmD//ilvC//nadK//
atoDAEB	avtA//dgcP//gpmM//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	tehB//fklB//treA//ilvG_2//etp//accB//
bamB_der	lpoA//
basRS	
bcsABZC	phnO//bioH//
bcsBZ	hypB//queC//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	mltD//lpxL//
bfd_bfr	napA//
bglGFB	ahr//trmJ//
bglH_yieLK	
bioBFCD	ppiA//glpX//ppiC//tsaE//
brnQ_proY	bcsZ//yfeW//
btuB_murI	cpsG//panE//
btuCED	ilvE//mocA//
cadBA	dsdA//yagE//
caiCDE	galT//pyrC//
caiTABCDE	queD//ydjG//citD//ispF//ubiX//
carAB	folA//
casABCDE12	opgB//
casDE12	ppc//
cbpAM	
cbrBC	
ccmABCDEFGH	aes//
cecR_ybhGFSR	
chaBC	
chbBCARFG	rluC//dapD//aroL//
chiP_ybfN	ttdB//
chpSB	thiM//
citCDEFXG	pyrD//ligB//treF//
clpPX	ubiH//waaQ//ldcC//ribC//
clpX_lon	asnA//yfaU//gmk//
clsA_yciU	garR//
cmk_rpsA	yfcF//
cmoM_mukFEB	
cmtBA_yggPFDC	fucI//cpdA//
coaE_zapD_yacG	argD//
cobUST	ppx//eutB//mltA//
codBA	scpC//gloC//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	thiL//
csgBAC	
csgDEFG	dsdA//
csiD_lhgO_gabDTP	queC//trpS//ulaG//rffT//
cusCFBA	pdxB//
cusRS	
cvpA_purF_ubiX	rihB//ispG//
cydAB	mltB//
cydDC	yhdJ//
cydX_ybgE	polB//
cynTS	pbpC//opgE//
cynTSX	ilvC//purE//fklB//
cyoABCDE	rhaA//bioA//
cysDNC	panC//mltD//
cysJIH	phnO//glxK//paoB//
cysPUWAM	argH//serA//cdh//
dadAX	paaJ//dosP//
damX_dam_rpe_gph_trpS	opgB//queD//thrA//rbsD//
dam_rpe_gph_trpS	bglA//abgB//ynjE//insI-3//
dapA_bamC	panD//
dapE_ypfN	cysN//
dcm_vsr	pgl//
dcuB_fumB	gluQ//narI//
dcuSR	
dcyD_tcyLN	yihT//rihB//
ddpXABCDF	fumB//
def_fmt	rfbA//recF//
degQS	astD//waaG//
deoABD	suhB//mltD//hemA//
deoBD	arsC//nrfC//
deoCABD	uxuA//sufS//murD//nudB//
dgoRKADT	speC//argC//polA//nfsB//
dhaKLM	spoT//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	putA//birA//
dinJ_yafQ	dcm//
dksA_gluQ	rbsD//
dmsABC	coaE//
dnaAN_recF	fabZ//
dnaK_tpke11_dnaJ	gstB//
dnaN_recF	purH//
dnaTC	
dnaTC_yjjA	
dosCP	cadA//trmD//
dpiBA	
dppABCDF	murC//
dsbC_recJ_prfB	kdsA//eutC//
dsbD_yjdC	
dsdXA	glpE//ispD//
dusB_fis	tmcA//
dut_slmA	nanA//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	bioH//wzc//
efeOB	yfdR//
efeU_1U_2	
elbB_mtgA	citG//
elfDCG_ycbUVF	
emrKY	hcaC//
entCEBAH	aroC//coaA//gadB//lysC//mhpB//murE//
envY_ompT	trmD//
epd_pgk	yigB//araB//
epd_pgk_fbaA	ldtC//hemA//tpiA//
essD_rrrD_rzpD	clsC//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	mnaT//
eutHA	
eutNEJG	
eutSPQTDM	rpiB//
evgAS	
exbBD	
fabDG_acpP	pheA//sufS//
fabG_acpP	rnd//
fabHDG	phoA//yqaB//hemN//
fabR_yijD	
fadBA	rpiB//yghU//
fadD_sroD	entH//
fadIJ	caiC//trmD//
fdnGHI	
fdoGHI_fdhE	purF//
fdrA_ylbEF_ybcF	folC//
fecABCDE	gpt//pldB//
fecIR	
feoABC	mngB//
fepA_entD	ugpQ//rihA//mcrB//
fepDGC	deoB//
fes_ybdZ_entF_fepE	selA//paaC//gntK//
fetAB	
fhuACDB	sucB//fumC//
ficA_fic_pabA	murG//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	iaaA//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	pphA//rlmC//
folC_dedD	slt//
folD_ybcJ	ribC//
folE_yeiB	cobU//
folP_glmM	insI-1//aroD//
folX_yfcH	rfbA//
frdABCD	eutD//
frlABCDR	asnB//asnA//narZ//xylA//
frmRAB	surA//queA//
fruBKA	gltA//patA//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	mpaA//moeA//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	katG//eutC//yqhD//rlmL//entH//wrbA//mltD//purF//dgcZ//lsrF//
ftsQAZ	
ftsYEX	
fucAO	def//pyrI//
fucPIKUR	pgi//yjjG//paaK//fabI//
fumAC	pcm//mutL//
fusA_tufA	
gabDTP	gltD//paaA//emtA//
gadAX	glpK//
gadBC	fbaA//yibQ//
gadEF	
gadEF_mdtEF	mltC//
gadXW	
galET	rhaM//glk//
galETK	mgsA//amn//yliI//
galETKM	ycaO//dgoK//menF//argI//
gapA_yeaD	dkgB//
gapC_1C_2	
garPLRK_rnpB	udk//dgoD//yiaY//tig//waaC//ogt//
gatYZABCD	dacC//nagA//pinE//
gatZABCD	ubiI//pheT//carB//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	rfaD//pldB//sucC//napH//idi//
gcvTHP	cfa//panE//kbl//
gfcBCD	
gfcE_etp_etk	glk//recJ//
ghoST	tdcD//
glcBA	rutD//pta//
glcDEFGBA	sgbE//cdsA//dapF//
glf_wbbH	clsA//
glgAP	murC//hisD//
glgBXCAP	cheR//murE//fau//napG//entC//
glgCAP	yccX//frlC//gor//
glmUS	fabF//fucA//
glnALG	ychF//
glnHPQ	citG//
glnK_amtB	citF//
glnLG	
glnW_metU_glnVX	
glpABC	slt//
glpEGR	lhgO//selD//
glpFKX	cysH//psuK//umuD//
glpGR	sad//
glpTQ	plsB//speD//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	adeD//
glvCBG_ysdC	
glyQS	ruvC//
glyVXY	
glyW_cysT_leuZ	
gntKU	gadB//rlmC//
gntRKU	ilvI//gatD//
gntX_nfuA	
gpmM_envC_yibQ	cobC//hyi//
groSL	
gspAB	
gspCDEFGHIJKLMO	thiK//
guaBA	bioA//trmJ//
gudPXD	yfdE//thrC//
hcaEFCBD	dcd//rfaD//
hcp_hcr	deoC//pgk//
hdeAB_yhiD	
hemA_prfA_prmC	sseA//etp//
hemCDXY	pyrB//pyrI//
hflD_purB	udp//
hfq_hflXKC	hycG//
hicAB	
higBA	mhpB//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	dmsB//dgoD//fucO//paaH//
hipBA	metB//
hisBHAFI	glgX//sucB//hemH//fabA//
hisJQMP	hemD//paaC//
hisLGDCBHAFI	dmsB//recJ//mutL//ydiF//hmp//gltX//opgE//
hofMNOP	
holC_valS	rsmC//
holD_rimI_yjjG	murD//bcsZ//
hscBA_fdx_iscX	phnN//
hsdMS	citE//
hsdRMS	scpA//
hslRO	
hslVU	miaB//
hyaABCDEF	
hybOABCDEFG	frlB//
hycABCDEFGHI	menB//glmM//
hydN_hypF	aphA//
hyfABCDEFGHIJR_focB	cheB//
hypABCDE	kbl//
hypABCDE_fhlA	aphA//
hypBCDE	kduI//
hypBCDE_fhlA	gpp//
iaaA_gsiABCD	tcdA//dgoD//
ibaG_murA	maeB//
ibpAB	
idnDOTR	tcdA//otsA//paaE//
ileS_lspA_fkpB_ispH	arnB//waaZ//yiaK//mnaT//
ilvEDA	kdsA//ulaF//mhpA//ubiX//
ilvIH	icd//
ilvLXG_1G_2MEDA	tyrB//speA//cynT//ahr//pssA//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	gloB//
insN_1I_1O_1	btuE//
insO_2_yjhWV	
iscRSUA	phnL//nanA//
ispDF	bcsA//lpxL//
ispG_sroE	lplA//
isrC_flu	
ivbL_ilvBN	dgcZ//
ivbL_ilvBN_uhpABC	scpA//
kbaZ_agaVWA	cysJ//
kbl_tdh	entE//yrfG//
kdpDE	
kdpFABC	tsaD//
kdsC_lptCAB	garK//tktA//
kefFC	gss//pheT//
kefGB_yheV	mnaT//
kilR_ydaE	
lacYA	purD//metL//
lacZYA	cdsA//yajO//mnaT//
lapAB	
lapAB_pyrF_yciH	nudF//
lepAB	nfi//
leuLABCD	yfiC//moeB//galK//
leuQPV	
leuS_lptE_holA_nadD_cobC	nagZ//hisC//alaA//
lexA_dinF	
lgt_thyA	wrbA//apt//
ligA_ypeB	tyrA//
livKHMGF	iscS//mqo//
lldPRD	icd//mnmA//
lolA_rarA	
lolB_ispE_prs	leuS//acnA//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	pabA//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	argE//tatD//
lptFG	
lspA_fkpB_ispH	trmO//umuD//rbn//
