# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	btuR//
aas_lplT	mhpE//
abgABT_ogt	yjhH//glmS//coaE//
abpAB	
accBC	pphB//coaA//
aceBAK	folP//ydiB//epmA//
aceEF	ulaG//murQ//ttdB//
ackA_pta	fau//fabD//
acpP_fabF	eptB//
acrAB	tnaA//maeA//
acrEF	sdhC//
acs_yjcH_actP	lpd//ugd//
ada_alkB	nadE//tsaE//
agaS_kbaY_agaBCDI	yfiC//
ahpCF	thiC//
alaA_yfbR	queG//asnA//
alaWX	
allDCE	gmhB//gmk//iaaA//
alsBACE	mnmE//bioA//
amiA_hemF	yihU//narG//
ampDE	ynfG//
ansA_pncA	ispF//yjcS//paaJ//
apaGH	pncC//
appCBXA	pncA//narI//
araBAD	hemG//ssuD//murF//
araE_ygeA	udp//
araFGH	opgB//
argCBH	galT//fadI//eutC//
argT_hisJQMP	frdB//lhgO//
argX_hisR_leuT_proM	
arnBCADTEF	trpS//phoA//ynfE//rutE//ybjI//
aroF_tyrA	moaD//mgsA//
aroKB_damX_dam_rpe_gph_trpS	feaB//dkgA//ygiF//yahK//narH//argK//
aroL_yaiA_aroM	accC//
arpB_1B_2	
arsRBC	prmC//mobA//
artPIQM	aceA//
ascFB	aspS//argC//
asnC_mioC	
asnC_mioC_mnmG	thiL//
aspA_dcuA	pssA//cysG//
astCADBE	mhpB//hisI//rlmJ//pdeR//dhaL//
atoDAEB	pheA//dusB//mak//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	rffT//trmI//rnb//mhpB//pdxB//ligB//
bamB_der	patZ//
basRS	
bcsABZC	glnA//fucU//
bcsBZ	rutA//ttdB//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	iaaA//menC//
bfd_bfr	rffH//
bglGFB	fumA//narY//
bglH_yieLK	
