# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	wzb//
aas_lplT	kbl//
abgABT_ogt	fumB//yeaE//fadB//
abpAB	
accBC	rbsD//mutM//
aceBAK	paaE//alr//hycC//
aceEF	murC//dacC//truD//
ackA_pta	pgl//lpoB//
acpP_fabF	argF//
acrAB	rrrD//recG//
acrEF	paaZ//
acs_yjcH_actP	putA//purA//
ada_alkB	paaA//purB//
agaS_kbaY_agaBCDI	aroG//
ahpCF	trpD//
alaA_yfbR	pgaC//cobS//
alaWX	
allDCE	trmA//lipA//argI//
alsBACE	iaaA//napG//
amiA_hemF	dfp//queG//
ampDE	folC//
ansA_pncA	birA//polA//cysC//
apaGH	waaB//
appCBXA	glyS//hcaC//
araBAD	ampH//gltB//aroD//
araE_ygeA	etk//
araFGH	dmsC//
argCBH	ppx//yciV//asnA//
argT_hisJQMP	nfi//ilvC//
argX_hisR_leuT_proM	
arnBCADTEF	ycjG//prpB//tyrS//putA//scpA//
aroF_tyrA	rsmG//yihS//
aroKB_damX_dam_rpe_gph_trpS	pyrB//pphA//rlmC//gdhA//yegS//cdd//
aroL_yaiA_aroM	lpxA//
arpB_1B_2	
arsRBC	dsdA//mug//
artPIQM	dut//
ascFB	bioF//pdxH//
asnC_mioC	
asnC_mioC_mnmG	atoA//
aspA_dcuA	yjjX//waaZ//
astCADBE	puuB//dapB//hycB//patZ//aroC//
atoDAEB	cysD//rffG//spoT//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	argG//waaQ//waaU//opgE//queD//mdh//
bamB_der	tilS//
basRS	
bcsABZC	rfaD//ppiA//
bcsBZ	mog//nrfA//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	narZ//speA//
bfd_bfr	mnmA//
bglGFB	fucI//mmuM//
bglH_yieLK	
bioBFCD	orn//mnmG//yfiC//ldhA//
brnQ_proY	panC//solA//
btuB_murI	apt//nrfD//
btuCED	gss//caiC//
cadBA	ynfG//birA//
caiCDE	waaS//hcaB//
caiTABCDE	dnaE//yfdE//purK//hemC//trmA//
carAB	mutT//
casABCDE12	gcl//
casDE12	fumB//
cbpAM	
cbrBC	
ccmABCDEFGH	ynjE//
cecR_ybhGFSR	
chaBC	
chbBCARFG	glmU//aroE//pyrI//
chiP_ybfN	deoB//
chpSB	ddlB//
citCDEFXG	dosP//ygeX//nudI//
clpPX	selA//mcrC//metK//fumA//
clpX_lon	rluA//ansB//tsaC//
clsA_yciU	glgX//
cmk_rpsA	malP//
cmoM_mukFEB	
cmtBA_yggPFDC	gph//rfbB//
coaE_zapD_yacG	ldhA//
cobUST	ispE//relA//dcyD//
codBA	hyuA//alr//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	truC//
csgBAC	
csgDEFG	acs//
csiD_lhgO_gabDTP	nagA//thiC//tilS//pdxJ//
cusCFBA	aceE//
cusRS	
cvpA_purF_ubiX	rluA//nagB//
cydAB	frlC//
cydDC	rlmG//
cydX_ybgE	phnO//
cynTS	hflX//folM//
cynTSX	serS//lpxD//nudJ//
cyoABCDE	mhpC//lpxT//
cysDNC	rutC//fadB//
cysJIH	sgbU//malS//nrdD//
cysPUWAM	truA//queG//gpp//
dadAX	cysS//can//
damX_dam_rpe_gph_trpS	idnK//pgk//menC//sucD//
dam_rpe_gph_trpS	umpH//rlmA//pbpC//queD//
dapA_bamC	leuA//
dapE_ypfN	tdk//
dcm_vsr	tcdA//
dcuB_fumB	allE//ygiF//
dcuSR	
dcyD_tcyLN	menC//yohF//
ddpXABCDF	rlmG//
def_fmt	aspC//dhaK//
degQS	rfaE//fumA//
deoABD	yfiH//carA//cysI//
deoBD	pgpB//cysK//
deoCABD	alaC//dkgA//upp//gmhB//
dgoRKADT	gatD//thiF//paoB//pdeL//
dhaKLM	abgA//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	entB//menB//
dinJ_yafQ	menB//
dksA_gluQ	thiF//
dmsABC	dmsB//
dnaAN_recF	nagZ//
dnaK_tpke11_dnaJ	pgsA//
dnaN_recF	dsdA//
dnaTC	
dnaTC_yjjA	
dosCP	glcF//tpiA//
dpiBA	
dppABCDF	metA//
dsbC_recJ_prfB	cpsG//rfbA//
dsbD_yjdC	
dsdXA	folM//yieF//
dusB_fis	accD//
dut_slmA	gcvP//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	rffM//cpsB//
efeOB	dapA//
efeU_1U_2	
elbB_mtgA	rlmB//
elfDCG_ycbUVF	
emrKY	cynT//
entCEBAH	ftsI//panB//rsmF//ssuD//yihS//rfbC//
envY_ompT	truA//
epd_pgk	fes//iaaA//
epd_pgk_fbaA	ilvN//pyrH//ydfG//
essD_rrrD_rzpD	fabD//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	pgm//
eutHA	
eutNEJG	
eutSPQTDM	tgt//
evgAS	
exbBD	
fabDG_acpP	ung//guaA//
fabG_acpP	clsC//
fabHDG	ppsA//preA//pheS//
fabR_yijD	
fadBA	metC//hyaA//
fadD_sroD	cof//
fadIJ	btuR//tilS//
fdnGHI	
