# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	sbcB//
aas_lplT	acpH//
abgABT_ogt	rfbB//rsmH//aes//
abpAB	
accBC	argF//btuE//
aceBAK	moaD//ymdB//yggF//
aceEF	dadA//hyuA//entD//
ackA_pta	btuR//ybhA//
acpP_fabF	waaB//
acrAB	galM//ydiF//
acrEF	ispU//
acs_yjcH_actP	pdxK//cdd//
ada_alkB	nadD//proB//
agaS_kbaY_agaBCDI	bioF//
ahpCF	fucU//
alaA_yfbR	glcB//lpxL//
alaWX	
allDCE	pyrF//fumC//mhpD//
alsBACE	folB//ldtE//
amiA_hemF	dcyD//chbF//
ampDE	rsuA//
ansA_pncA	kbaY//waaF//pfkA//
apaGH	alaC//
appCBXA	kdgK//sdaA//
araBAD	pldA//dacA//yibQ//
araE_ygeA	cyaA//
araFGH	cynT//
argCBH	cysC//glcE//ackA//
argT_hisJQMP	aroK//argI//
argX_hisR_leuT_proM	
arnBCADTEF	selD//gadB//rnt//aroL//hemG//
aroF_tyrA	pykF//pphB//
aroKB_damX_dam_rpe_gph_trpS	dacA//azoR//rlmA//mepS//caiD//ssuD//
aroL_yaiA_aroM	pyrH//
arpB_1B_2	
arsRBC	tesB//cysK//
artPIQM	citX//
ascFB	mhpD//pldB//
asnC_mioC	
asnC_mioC_mnmG	eptA//
aspA_dcuA	puuC//ybjI//
astCADBE	rffM//trpS//yihX//asnB//fklB//
atoDAEB	fucK//lpxD//opgE//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	glxR//aroD//bglX//sdaB//kduD//ilvG_2//
bamB_der	cysC//
basRS	
bcsABZC	rbsK//chbF//
bcsBZ	rrrD//ubiA//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	idnO//pphA//
bfd_bfr	ilvH//
bglGFB	speF//nagK//
