# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	cpsB//
aas_lplT	tyrB//
abgABT_ogt	ascB//metB//chbF//
abpAB	
accBC	nagZ//scpC//
aceBAK	can//glcB//lpxH//
aceEF	ygaP//ghrB//dhaL//
ackA_pta	arnB//yihU//
acpP_fabF	metE//
acrAB	glmS//rihA//
acrEF	pinE//
acs_yjcH_actP	nhoA//moaE//
ada_alkB	murG//thrA//
agaS_kbaY_agaBCDI	upp//
ahpCF	recG//
alaA_yfbR	btuR//dosC//
alaWX	
allDCE	surA//pgpB//alsK//
alsBACE	gatD//kefF//
amiA_hemF	pgaB//purA//
ampDE	gatD//
ansA_pncA	amn//sthA//eptC//
apaGH	cfa//
appCBXA	mutY//aroG//
araBAD	yjeF//lpxM//frdC//
araE_ygeA	yihU//
araFGH	yqjH//
argCBH	ydfG//ispH//queF//
argT_hisJQMP	glgC//aroL//
argX_hisR_leuT_proM	
arnBCADTEF	rfbC//tktB//purB//umpH//hflX//
aroF_tyrA	arnB//glyS//
aroKB_damX_dam_rpe_gph_trpS	narG//ispG//menC//prpB//mrcB//entC//
aroL_yaiA_aroM	bfr//
arpB_1B_2	
arsRBC	adeD//nudK//
artPIQM	plsC//
ascFB	gmm//rlmC//
asnC_mioC	
asnC_mioC_mnmG	yccX//
aspA_dcuA	adiA//arnT//
astCADBE	idi//polA//argF//serS//yjeF//
atoDAEB	lpxC//eno//pdeR//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	glyA//uxaB//sad//mdh//dcm//preT//
bamB_der	spoT//
basRS	
bcsABZC	dosC//nudK//
bcsBZ	aphA//argB//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	atoA//frdC//
bfd_bfr	pdeH//
bglGFB	cmoB//maeB//
bglH_yieLK	
bioBFCD	aroC//torA//mog//cysC//
brnQ_proY	srlD//araB//
btuB_murI	fabZ//add//
btuCED	prs//dgoA//
cadBA	thrB//queG//
caiCDE	dgt//entA//
caiTABCDE	prpE//yfiH//pyrE//gloA//caiB//
carAB	entH//
casABCDE12	pepD//
casDE12	cobT//
cbpAM	
cbrBC	
ccmABCDEFGH	trpS//
