# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	aroE//
aas_lplT	ubiD//
abgABT_ogt	apt//hycB//yegS//
abpAB	
accBC	fadB//napH//
aceBAK	dhaK//waaP//rne//
aceEF	nagZ//gcvT//adk//
ackA_pta	fabG//ydiO//
acpP_fabF	asd//
acrAB	ilvD//paaF//
acrEF	frlC//
acs_yjcH_actP	mltA//argE//
ada_alkB	astB//yfbT//
agaS_kbaY_agaBCDI	orn//
ahpCF	nrdF//
alaA_yfbR	ychF//rihC//
alaWX	
allDCE	dosP//nfsA//deoA//
alsBACE	yhhW//solA//
amiA_hemF	hemD//astE//
ampDE	pck//
ansA_pncA	mnmE//ilvB//gshB//
apaGH	frlD//
appCBXA	puuB//glgP//
araBAD	uvrB//serC//psuG//
araE_ygeA	rffM//
araFGH	recO//
argCBH	insI-2//moeA//tesB//
argT_hisJQMP	phnH//narY//
argX_hisR_leuT_proM	
arnBCADTEF	ubiX//citE//gpsA//trmH//dld//
aroF_tyrA	bglB//speE//
aroKB_damX_dam_rpe_gph_trpS	truA//citX//serB//pgaC//idnO//ybdL//
aroL_yaiA_aroM	queD//
arpB_1B_2	
arsRBC	rutD//rnd//
artPIQM	aldB//
ascFB	phnN//menH//
asnC_mioC	
asnC_mioC_mnmG	yicI//
aspA_dcuA	rhaM//phnH//
astCADBE	tktB//pfkB//fabG//hcaE//rutA//
atoDAEB	tilS//lpxL//uvrA//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	rsmD//tam//moaE//pncB//paaK//pheS//
bamB_der	talB//
basRS	
bcsABZC	hemL//yihS//
bcsBZ	mhpA//mug//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	paoA//gph//
bfd_bfr	sgbH//
bglGFB	dcm//nrdF//
bglH_yieLK	
bioBFCD	ybhA//sdaA//cysM//gcvH//
brnQ_proY	aceF//scpB//
