# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	pphB//
aas_lplT	rne//
abgABT_ogt	epmB//ssuE//napG//
abpAB	
accBC	rffH//truC//
aceBAK	eptA//glf//thrA//
aceEF	rfaE//lpcA//truA//
ackA_pta	metG//purT//
acpP_fabF	tatD//
acrAB	cysM//ligB//
acrEF	rffH//
acs_yjcH_actP	araB//preA//
ada_alkB	ligA//glcD//
agaS_kbaY_agaBCDI	putA//
ahpCF	astB//
alaA_yfbR	cysQ//dmsB//
alaWX	
allDCE	ymdB//gmhB//rfbB//
alsBACE	cdsA//cynS//
amiA_hemF	malQ//dgoA//
ampDE	ppc//
ansA_pncA	gpmA//coaE//entH//
apaGH	rihC//
appCBXA	glpD//garK//
araBAD	cysE//ddlB//fumA//
araE_ygeA	pncC//
araFGH	lipB//
argCBH	ppa//ydiO//aslA//
argT_hisJQMP	pyrB//paaE//
argX_hisR_leuT_proM	
arnBCADTEF	ldtA//lpxM//thiE//lpxP//proC//
aroF_tyrA	speD//ttdA//
aroKB_damX_dam_rpe_gph_trpS	narZ//amn//frmA//pgaB//upp//ndh//
aroL_yaiA_aroM	glnA//
arpB_1B_2	
arsRBC	pssA//dapE//
artPIQM	rdoA//
ascFB	mtlD//curA//
asnC_mioC	
asnC_mioC_mnmG	ilvE//
aspA_dcuA	ispA//ahpF//
astCADBE	cysJ//mocA//gph//rnb//slyD//
atoDAEB	gatZ//lplA//dfp//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	waaB//mrcA//solA//ubiI//hisH//phnH//
bamB_der	leuA//
basRS	
bcsABZC	mrdA//ycaO//
bcsBZ	mazG//garR//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	cpdB//phnP//
bfd_bfr	rfbC//
bglGFB	hisS//yghU//
bglH_yieLK	
bioBFCD	ldcC//glgA//ldtE//pgaB//
brnQ_proY	alaA//fadD//
btuB_murI	caiA//metK//
btuCED	murG//tynA//
cadBA	rpe//bioB//
caiCDE	moeA//ugpQ//
caiTABCDE	fucO//pinE//kbl//ydjG//bcsZ//
carAB	thyA//
casABCDE12	garL//
casDE12	citG//
cbpAM	
cbrBC	
ccmABCDEFGH	tsaC//
cecR_ybhGFSR	
chaBC	
chbBCARFG	lpxA//fadM//mazG//
chiP_ybfN	thiL//
chpSB	alr//
citCDEFXG	sad//nanK//yahK//
clpPX	phnL//mmuM//entE//epmA//
clpX_lon	rlmD//dmlA//menA//
clsA_yciU	argS//
cmk_rpsA	waaP//
cmoM_mukFEB	
cmtBA_yggPFDC	pdeF//aceA//
coaE_zapD_yacG	glpB//
cobUST	ampC//astC//pdxJ//
codBA	nrdE//paaB//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	ppa//
csgBAC	
csgDEFG	chbF//
csiD_lhgO_gabDTP	epmC//fabH//ilvM//hycF//
cusCFBA	dusA//
cusRS	
cvpA_purF_ubiX	hemG//menF//
cydAB	murA//
cydDC	thiF//
cydX_ybgE	ulaE//
cynTS	der//yccX//
cynTSX	citE//gcd//sdhC//
cyoABCDE	sseA//adhE//
cysDNC	galT//yagE//
cysJIH	gpmA//mrcB//mltB//
cysPUWAM	ycaO//dnaE//amyA//
dadAX	selA//nth//
damX_dam_rpe_gph_trpS	deoC//gapA//hypB//tcdA//
dam_rpe_gph_trpS	lpxT//ruvC//mcrB//aslA//
dapA_bamC	agp//
dapE_ypfN	mrcB//
dcm_vsr	ispH//
dcuB_fumB	ynjE//folA//
dcuSR	
dcyD_tcyLN	aroE//pheT//
ddpXABCDF	roxA//
def_fmt	truB//waaU//
degQS	adhE//glk//
deoABD	apaH//avtA//pgk//
deoBD	melA//gcvH//
deoCABD	dhaM//treC//ispU//yfeX//
dgoRKADT	proA//rsmF//ribF//scpB//
dhaKLM	pncB//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	rhaB//malS//
dinJ_yafQ	ybaS//
dksA_gluQ	ynfF//
dmsABC	adhP//
dnaAN_recF	gpsA//
dnaK_tpke11_dnaJ	entC//
dnaN_recF	kbl//
dnaTC	
dnaTC_yjjA	
dosCP	ybdL//malS//
dpiBA	
dppABCDF	gatZ//
dsbC_recJ_prfB	prpD//thiE//
dsbD_yjdC	
dsdXA	lpoB//torC//
