# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	xdhA//
aas_lplT	trmH//
abgABT_ogt	glgX//pflB//pdeR//
abpAB	
accBC	iaaA//surA//
aceBAK	ydiO//allE//truB//
aceEF	yghA//tesB//clsC//
ackA_pta	pgi//aroK//
acpP_fabF	proA//
acrAB	waaZ//rutB//
acrEF	trmD//
acs_yjcH_actP	roxA//hycG//
ada_alkB	sucA//xylA//
agaS_kbaY_agaBCDI	tcdA//
ahpCF	nfsA//
alaA_yfbR	nadR//mhpC//
alaWX	
allDCE	rfaD//purN//pyrD//
alsBACE	moaA//rfaD//
amiA_hemF	ydbC//garL//
ampDE	idi//
ansA_pncA	thiG//talA//murE//
apaGH	paaC//
appCBXA	gltD//fbaB//
araBAD	fes//speE//ubiH//
araE_ygeA	wecB//
araFGH	cysH//
argCBH	yicI//truB//rpiB//
argT_hisJQMP	astD//yjiA//
argX_hisR_leuT_proM	
arnBCADTEF	yfbR//fabF//glcD//polB//amyA//
aroF_tyrA	rsmJ//yieF//
aroKB_damX_dam_rpe_gph_trpS	fumA//aphA//folA//ilvB//glpE//hcp//
aroL_yaiA_aroM	preT//
arpB_1B_2	
arsRBC	ispE//ybiV//
artPIQM	dhaL//
ascFB	tauD//talA//
asnC_mioC	
asnC_mioC_mnmG	manA//
aspA_dcuA	pgsA//thiH//
astCADBE	glcB//argG//uxaC//gshB//pcm//
atoDAEB	yieF//fklB//yhdH//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	thiG//ybdL//recG//clsC//selD//ydiO//
bamB_der	otsB//
basRS	
bcsABZC	garD//ugpQ//
bcsBZ	cysH//phnL//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	dgcC//hemH//
bfd_bfr	prmC//
bglGFB	mhpD//ada//
bglH_yieLK	
bioBFCD	preT//avtA//dacA//fbaB//
brnQ_proY	umuD//moaD//
btuB_murI	gcl//arnB//
btuCED	ugpQ//fadJ//
cadBA	tdcE//preT//
caiCDE	cobU//coaE//
caiTABCDE	ulaE//ribA//adhE//ileS//dinB//
carAB	ribB//
casABCDE12	polA//
casDE12	thrC//
cbpAM	
cbrBC	
ccmABCDEFGH	rffH//
cecR_ybhGFSR	
chaBC	
chbBCARFG	asnA//paaB//pheA//
chiP_ybfN	fabI//
chpSB	scpC//
citCDEFXG	lpoA//rsmH//hisH//
clpPX	yrfG//malS//yfdE//cdd//
clpX_lon	dgcM//gshA//dusB//
clsA_yciU	allA//
cmk_rpsA	nadD//
cmoM_mukFEB	
cmtBA_yggPFDC	sufS//ttdA//
coaE_zapD_yacG	csdA//
cobUST	thrA//hyuA//waaP//
codBA	glpK//pgl//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	phoA//
csgBAC	
csgDEFG	cysI//
csiD_lhgO_gabDTP	dosP//cheB//mhpB//ybhA//
cusCFBA	proC//
cusRS	
cvpA_purF_ubiX	def//slyD//
cydAB	nhoA//
cydDC	yegS//
cydX_ybgE	lysA//
cynTS	tyrS//fadH//
cynTSX	nudE//phnJ//malZ//
cyoABCDE	ispB//guaC//
cysDNC	dcyD//yfcF//
cysJIH	ribC//mutL//ldtB//
cysPUWAM	citE//glpK//ygiF//
dadAX	arnT//asd//
damX_dam_rpe_gph_trpS	ulaD//argH//dhaK//puuA//
dam_rpe_gph_trpS	yggF//bglX//moeB//fadD//
dapA_bamC	hyaC//
dapE_ypfN	puuA//
dcm_vsr	glcB//
dcuB_fumB	glyQ//pncB//
dcuSR	
dcyD_tcyLN	pssA//polA//
ddpXABCDF	lpoB//
def_fmt	sad//hycB//
degQS	yqjH//glf//
deoABD	proC//hemL//mog//
deoBD	yghU//bioD//
deoCABD	astB//aceB//fucO//rph//
dgoRKADT	glnA//ampH//mhpA//lpoB//
dhaKLM	opgE//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	lpxL//insI-3//
dinJ_yafQ	iaaA//
dksA_gluQ	rutE//
dmsABC	ybjG//
dnaAN_recF	hcp//
dnaK_tpke11_dnaJ	nagK//
dnaN_recF	adiA//
dnaTC	
dnaTC_yjjA	
dosCP	pdeR//hyaC//
dpiBA	
dppABCDF	sodC//
dsbC_recJ_prfB	tcdA//rihB//
dsbD_yjdC	
dsdXA	gatD//betB//
dusB_fis	cdsA//
dut_slmA	rnpA//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	dinB//hycD//
efeOB	allB//
efeU_1U_2	
elbB_mtgA	hemH//
elfDCG_ycbUVF	
emrKY	queC//
entCEBAH	cysG//ddlA//gor//ugd//mmuM//glcD//
envY_ompT	pldB//
epd_pgk	recG//astB//
epd_pgk_fbaA	nadR//rhaA//argE//
essD_rrrD_rzpD	aspC//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	yfiH//
eutHA	
eutNEJG	
eutSPQTDM	frc//
evgAS	
exbBD	
fabDG_acpP	gloA//fucO//
fabG_acpP	lpoB//
fabHDG	pgaB//solA//waaS//
fabR_yijD	
fadBA	thrA//yagF//
fadD_sroD	acpS//
fadIJ	rsmJ//ttdB//
fdnGHI	
fdoGHI_fdhE	acpH//
fdrA_ylbEF_ybcF	torA//
fecABCDE	tynA//scpA//
fecIR	
feoABC	hcaC//
fepA_entD	tmk//mutH//rimK//
fepDGC	gltX//
fes_ybdZ_entF_fepE	betA//anmK//mog//
fetAB	
fhuACDB	entH//uvrC//
ficA_fic_pabA	malP//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	pgpB//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	lpxB//bioB//
folC_dedD	yjhH//
folD_ybcJ	xdhB//
folE_yeiB	phnP//
folP_glmM	torY//xdhA//
folX_yfcH	fabA//
frdABCD	glcB//
frlABCDR	pyrB//thiI//yihX//nagK//
frmRAB	ilvD//dapF//
fruBKA	guaA//luxS//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	waaB//hemN//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	plsB//kbl//gmhB//ruvB//leuD//kdsC//ydiF//ftnA//lpxM//trmA//
ftsQAZ	
ftsYEX	
fucAO	otsB//aroE//
fucPIKUR	tmk//rffG//aroB//rsmH//
fumAC	yfbR//ygeX//
fusA_tufA	
gabDTP	aceE//rsmH//asnA//
gadAX	cpsG//
gadBC	xapA//purM//
gadEF	
gadEF_mdtEF	prpD//
gadXW	
galET	pheS//ygiF//
galETK	yfbT//pyrC//dcyD//
galETKM	hisS//gatZ//nadK//nudF//
gapA_yeaD	nagA//
gapC_1C_2	
garPLRK_rnpB	apaH//ppa//dam//hycD//tcdA//acpH//
gatYZABCD	fabB//lpoA//uvrB//
gatZABCD	dsdA//hemH//fbaA//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	lyxK//rsmF//menA//thrA//glpD//
gcvTHP	mltA//metE//pdeH//
gfcBCD	
gfcE_etp_etk	trmD//rpiA//
ghoST	thiF//
glcBA	kdsD//feaB//
glcDEFGBA	cysK//wcaJ//uvrA//
glf_wbbH	dkgA//
glgAP	ssuE//anmK//
glgBXCAP	kdsC//folP//cyoE//garR//uxuB//
glgCAP	mnmG//lpxK//idi//
glmUS	moaD//hisA//
