# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	pck//
aas_lplT	pldB//
abgABT_ogt	acpS//xdhC//glyQ//
abpAB	
accBC	fsaB//fabH//
aceBAK	zwf//xylB//waaZ//
aceEF	aroH//acpT//alkA//
ackA_pta	ydjG//acs//
acpP_fabF	hisG//
acrAB	queF//gntK//
acrEF	lpoB//
acs_yjcH_actP	etp//dadX//
ada_alkB	murG//mutT//
agaS_kbaY_agaBCDI	entH//
ahpCF	mazG//
alaA_yfbR	ruvA//paaG//
alaWX	
allDCE	aes//panD//pgl//
alsBACE	gatD//aroE//
amiA_hemF	cobU//miaA//
ampDE	glpK//
ansA_pncA	rsuA//gshA//purM//
apaGH	preA//
appCBXA	acpT//rsmE//
araBAD	mpaA//insI-3//ispE//
araE_ygeA	aceE//
araFGH	lpxP//
argCBH	metG//uidA//der//
argT_hisJQMP	dcyD//trpS//
argX_hisR_leuT_proM	
arnBCADTEF	hmp//fumB//ispD//pdeR//fucU//
aroF_tyrA	treC//citF//
aroKB_damX_dam_rpe_gph_trpS	dusC//murC//ligB//tsaB//mobA//kbaZ//
aroL_yaiA_aroM	puuA//
arpB_1B_2	
arsRBC	dmsC//lpxB//
artPIQM	fadM//
ascFB	argC//lacA//
asnC_mioC	
asnC_mioC_mnmG	paaA//
aspA_dcuA	thiG//fabH//
astCADBE	rhaD//paaG//kbl//lpxP//btuR//
atoDAEB	ilvG_2//fabZ//rph//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	pldA//acnA//cobT//menH//paaA//dut//
bamB_der	bacA//
basRS	
bcsABZC	paaY//mcrC//
bcsBZ	malZ//lpxD//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	yneH//rhaD//
bfd_bfr	ispF//
bglGFB	menD//trmD//
bglH_yieLK	
bioBFCD	rlmI//argC//birA//rfbA//
brnQ_proY	hisH//frc//
btuB_murI	fes//thrC//
btuCED	ligB//yjhG//
cadBA	dnaE//sbcB//
caiCDE	ilvE//dgoA//
caiTABCDE	fau//eptC//astE//dusB//gmd//
carAB	malQ//
casABCDE12	purB//
casDE12	prpD//
cbpAM	
cbrBC	
ccmABCDEFGH	rfaE//
cecR_ybhGFSR	
chaBC	
chbBCARFG	slt//sodC//entB//
chiP_ybfN	bcsZ//
chpSB	nanA//
citCDEFXG	opgE//pagP//kduD//
clpPX	waaO//dhaL//fkpA//menD//
clpX_lon	mepS//fumC//valS//
clsA_yciU	cysH//
cmk_rpsA	icd//
cmoM_mukFEB	
cmtBA_yggPFDC	rutC//fre//
coaE_zapD_yacG	nudJ//
cobUST	kbl//yniC//yceF//
codBA	hchA//fabB//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	arnB//
csgBAC	
csgDEFG	phnI//
csiD_lhgO_gabDTP	cobT//ybhA//miaA//recO//
cusCFBA	nadB//
cusRS	
cvpA_purF_ubiX	betB//oxc//
cydAB	dmsB//
cydDC	dgoK//
cydX_ybgE	entA//
cynTS	fucI//coaD//
cynTSX	yicI//nadR//katE//
cyoABCDE	paoC//pyrF//
cysDNC	yjjX//guaA//
cysJIH	rlmD//nrfB//glyQ//
cysPUWAM	rdoA//rfaD//frlD//
dadAX	nadB//frlC//
damX_dam_rpe_gph_trpS	tyrA//yrfG//dosP//ilvM//
dam_rpe_gph_trpS	yajO//glgP//pdeL//aceE//
dapA_bamC	preA//
dapE_ypfN	accA//
dcm_vsr	dgcP//
dcuB_fumB	dmsC//garK//
dcuSR	
dcyD_tcyLN	speD//paaK//
ddpXABCDF	chbG//
def_fmt	sad//nagZ//
degQS	kduD//purF//
deoABD	dgcT//lsrF//caiD//
deoBD	xthA//mrdA//
deoCABD	puuA//ubiH//patA//yccX//
dgoRKADT	thrC//mdh//thiM//yfcG//
dhaKLM	hycG//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	queG//nfsA//
dinJ_yafQ	gloA//
dksA_gluQ	nhoA//
dmsABC	ldtA//
dnaAN_recF	nudC//
dnaK_tpke11_dnaJ	yjjX//
dnaN_recF	thiF//
dnaTC	
dnaTC_yjjA	
dosCP	tag//rlmM//
dpiBA	
dppABCDF	purT//
dsbC_recJ_prfB	hemN//sucB//
dsbD_yjdC	
dsdXA	avtA//purF//
dusB_fis	paoA//
dut_slmA	gatD//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	ychF//glpE//
efeOB	gcd//
efeU_1U_2	
elbB_mtgA	yghA//
elfDCG_ycbUVF	
emrKY	eno//
entCEBAH	nudE//tdcG//sufS//rluC//gabD//tig//
envY_ompT	srlD//
epd_pgk	appA//xylA//
epd_pgk_fbaA	truC//argG//bcsA//
essD_rrrD_rzpD	hyuA//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	rutD//
eutHA	
eutNEJG	
eutSPQTDM	trmA//
evgAS	
exbBD	
fabDG_acpP	rlmJ//deoC//
fabG_acpP	folX//
fabHDG	ilvG_2//rnpB//yiaK//
fabR_yijD	
fadBA	purA//xthA//
fadD_sroD	pagP//
fadIJ	alr//chbF//
fdnGHI	
fdoGHI_fdhE	miaA//
fdrA_ylbEF_ybcF	rlmM//
fecABCDE	pyrE//truA//
fecIR	
feoABC	rsmB//
fepA_entD	tag//rluE//gss//
fepDGC	ilvI//
fes_ybdZ_entF_fepE	patA//argH//carB//
fetAB	
fhuACDB	rimK//thiG//
ficA_fic_pabA	gluQ//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	lpxP//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	pldA//glpE//
folC_dedD	metL//
folD_ybcJ	uvrA//
folE_yeiB	acpS//
folP_glmM	hycD//folD//
folX_yfcH	araD//
frdABCD	pdxA//
frlABCDR	ndh//yniC//acpS//glpE//
frmRAB	paoA//kdgK//
fruBKA	lpxK//murB//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	rfe//mtgA//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	uidA//gmhB//aroF//fucU//nudB//suhB//ygjK//trmL//putA//torA//
ftsQAZ	
ftsYEX	
fucAO	lpxB//uxaB//
fucPIKUR	hycG//astC//ilvH//pagP//
fumAC	nrdF//slt//
fusA_tufA	
gabDTP	aslA//astA//dmsC//
gadAX	dld//
gadBC	tdk//dgoA//
gadEF	
gadEF_mdtEF	galU//
gadXW	
galET	cobU//ogt//
galETK	kbaZ//fklB//araB//
galETKM	guaB//kbaY//add//cdsA//
gapA_yeaD	nadD//
gapC_1C_2	
garPLRK_rnpB	mrcA//pdxK//eptA//nagZ//mpl//ybiV//
gatYZABCD	allC//yggF//ilvN//
gatZABCD	purB//phnN//kbaY//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	aldA//kduI//treA//xthA//rnt//
gcvTHP	purD//curA//xdhA//
gfcBCD	
gfcE_etp_etk	sucC//allE//
ghoST	fucK//
glcBA	fadD//caiD//
glcDEFGBA	napH//entF//prpB//
glf_wbbH	ruvB//
glgAP	kdsC//gltD//
glgBXCAP	dacC//sdhC//yfcG//sthA//dcd//
glgCAP	waaO//patD//preT//
glmUS	yjcS//kduD//
glnALG	agp//
glnHPQ	ada//
glnK_amtB	aspA//
glnLG	
glnW_metU_glnVX	
glpABC	yjjX//
glpEGR	ybcF//glmM//
glpFKX	accB//fucA//dusB//
glpGR	pyrC//
glpTQ	phr//dsdA//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	sad//
glvCBG_ysdC	
glyQS	rbn//
glyVXY	
glyW_cysT_leuZ	
gntKU	mrcB//metL//
gntRKU	ilvC//narZ//
gntX_nfuA	
gpmM_envC_yibQ	paaH//yihU//
groSL	
gspAB	
gspCDEFGHIJKLMO	aspC//
guaBA	fabA//ulaG//
gudPXD	nrdE//fabZ//
hcaEFCBD	menC//phnJ//
hcp_hcr	qor//cynT//
hdeAB_yhiD	
hemA_prfA_prmC	dgoK//purN//
hemCDXY	astD//glpA//
hflD_purB	hycB//
hfq_hflXKC	slyD//
hicAB	
higBA	thrB//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	katE//sthA//fdhF//ldcC//
hipBA	rlmJ//
hisBHAFI	pbpC//apt//hinT//lpd//
hisJQMP	gatD//paoB//
hisLGDCBHAFI	gpmM//cysQ//treC//clsB//pphB//cobT//waaH//
hofMNOP	
holC_valS	kbl//
holD_rimI_yjjG	yieH//rpiA//
hscBA_fdx_iscX	mnmA//
hsdMS	mltA//
hsdRMS	surA//
hslRO	
hslVU	abgA//
hyaABCDEF	
hybOABCDEFG	yfaU//
hycABCDEFGHI	hemE//lysC//
hydN_hypF	hisS//
hyfABCDEFGHIJR_focB	putA//
hypABCDE	prpE//
hypABCDE_fhlA	lipB//
hypBCDE	cysJ//
hypBCDE_fhlA	yihV//
iaaA_gsiABCD	cobC//glxR//
ibaG_murA	gltA//
ibpAB	
idnDOTR	hemC//purL//tdh//
ileS_lspA_fkpB_ispH	ansB//pncA//alr//lpoA//
ilvEDA	tpiA//adhE//clsA//napC//
ilvIH	glcB//
ilvLXG_1G_2MEDA	malZ//bcsZ//ydjG//folC//thiD//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	hemC//
insN_1I_1O_1	yfbR//
