# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	xthA//
aas_lplT	ynfH//
abgABT_ogt	glk//tyrB//fcl//
abpAB	
accBC	psuG//ribC//
aceBAK	amn//preT//trxB//
aceEF	metH//hemA//ldcC//
ackA_pta	rne//tyrA//
acpP_fabF	cpsG//
acrAB	aroE//rlmC//
acrEF	glpQ//
acs_yjcH_actP	cpdB//mug//
ada_alkB	aspA//mgsA//
agaS_kbaY_agaBCDI	gmm//
ahpCF	hycC//
alaA_yfbR	yieF//rph//
alaWX	
allDCE	mcrA//pgsA//rutD//
alsBACE	lpxH//moaE//
amiA_hemF	purK//murE//
ampDE	kdsC//
ansA_pncA	ldtE//gatD//araB//
apaGH	mltF//
appCBXA	ahr//rbsK//
araBAD	ispA//galU//mcrA//
araE_ygeA	asnS//
araFGH	dgcC//
argCBH	kbaZ//panB//galM//
argT_hisJQMP	ybaS//mtgA//
argX_hisR_leuT_proM	
arnBCADTEF	uxaB//purK//bcsZ//prpC//ruvB//
aroF_tyrA	tauD//yfcF//
aroKB_damX_dam_rpe_gph_trpS	ybhA//cdd//tdh//zwf//alaS//argS//
aroL_yaiA_aroM	ispG//
arpB_1B_2	
arsRBC	eptB//epmC//
artPIQM	dmsA//
ascFB	tmk//mrcA//
asnC_mioC	
asnC_mioC_mnmG	cobB//
aspA_dcuA	cysS//wzc//
astCADBE	gpp//purD//sdhC//waaS//sufS//
atoDAEB	aceB//puuC//prpE//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	cdsA//gltB//yniC//nudB//yjiA//narG//
bamB_der	purK//
basRS	
bcsABZC	hisC//orn//
bcsBZ	aroB//melA//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	thiD//ppk//
bfd_bfr	queG//
bglGFB	allB//ahpC//
bglH_yieLK	
bioBFCD	hisF//purL//argA//phnP//
brnQ_proY	sdhC//trpE//
btuB_murI	abgB//yrfG//
btuCED	cueO//gcd//
cadBA	rlmI//arnT//
caiCDE	lipA//narI//
caiTABCDE	cysD//umpG//paoB//aphA//uvrC//
carAB	phnO//
casABCDE12	ispD//
casDE12	bioH//
cbpAM	
cbrBC	
ccmABCDEFGH	ddlB//
cecR_ybhGFSR	
chaBC	
chbBCARFG	rlmD//mnmA//glgP//
chiP_ybfN	yliI//
chpSB	yqjH//
citCDEFXG	ansA//puuB//hycE//
clpPX	xylB//tdh//gudD//manA//
clpX_lon	tynA//tpiA//prpE//
clsA_yciU	lpxT//
cmk_rpsA	glyA//
cmoM_mukFEB	
cmtBA_yggPFDC	pdxJ//carA//
coaE_zapD_yacG	sdhD//
cobUST	efeB//rffC//pldA//
codBA	dgoD//aslA//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	ldhA//
csgBAC	
csgDEFG	tktA//
csiD_lhgO_gabDTP	ilvC//hycB//qor//dgcZ//
cusCFBA	bcsA//
cusRS	
cvpA_purF_ubiX	uxaC//narH//
cydAB	cysS//
cydDC	garR//
cydX_ybgE	sucC//
cynTS	pyrF//maeB//
cynTSX	patD//acpT//birA//
cyoABCDE	melA//ascB//
cysDNC	ruvB//fdhF//
cysJIH	citE//tmk//proS//
cysPUWAM	yigB//araA//frlB//
dadAX	dusB//rlmI//
damX_dam_rpe_gph_trpS	dgcZ//frdB//ynfH//ispG//
dam_rpe_gph_trpS	yihX//polA//murE//glyS//
dapA_bamC	yohF//
dapE_ypfN	pykF//
dcm_vsr	argA//
dcuB_fumB	pck//cof//
dcuSR	
dcyD_tcyLN	rsmC//rnpB//
ddpXABCDF	eutB//
def_fmt	glk//rfe//
degQS	anmK//ppx//
deoABD	maeA//waaY//rluA//
deoBD	deoB//thrA//
deoCABD	malZ//sdhD//prpD//thiI//
dgoRKADT	fucK//surA//metL//gshB//
dhaKLM	pgpB//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	yjjX//yohF//
dinJ_yafQ	feaB//
dksA_gluQ	alsE//
dmsABC	dgcZ//
dnaAN_recF	gss//
dnaK_tpke11_dnaJ	allA//
dnaN_recF	prpB//
dnaTC	
dnaTC_yjjA	
dosCP	tadA//glpD//
dpiBA	
dppABCDF	otsB//
dsbC_recJ_prfB	miaB//alaS//
dsbD_yjdC	
dsdXA	pinE//rffC//
dusB_fis	nrdE//
dut_slmA	udp//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	yeaE//aroC//
efeOB	sucC//
efeU_1U_2	
elbB_mtgA	napC//
elfDCG_ycbUVF	
emrKY	pheT//
entCEBAH	gpt//thiG//pfkB//bcsA//lysS//ahpF//
envY_ompT	curA//
epd_pgk	ychF//glgA//
epd_pgk_fbaA	galM//bcsA//metG//
essD_rrrD_rzpD	atoA//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	ybbO//
eutHA	
eutNEJG	
eutSPQTDM	glgC//
evgAS	
exbBD	
fabDG_acpP	glxK//nrdF//
fabG_acpP	nhoA//
fabHDG	dgt//fsaA//argS//
fabR_yijD	
fadBA	udk//trpB//
fadD_sroD	ppiB//
fadIJ	accC//pdxB//
fdnGHI	
fdoGHI_fdhE	fsaB//
fdrA_ylbEF_ybcF	entD//
fecABCDE	gltB//galE//
fecIR	
feoABC	epmB//
fepA_entD	tnaA//accA//rsgA//
fepDGC	pgl//
fes_ybdZ_entF_fepE	dusA//nrfB//ltaE//
fetAB	
fhuACDB	ispH//lpoA//
ficA_fic_pabA	bfr//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	dam//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	trmH//idnD//
folC_dedD	rfbD//
folD_ybcJ	dgoA//
folE_yeiB	ndh//
folP_glmM	tilS//sucC//
folX_yfcH	panB//
frdABCD	eutC//
frlABCDR	purK//manA//iaaA//hemG//
frmRAB	gcd//ispF//
fruBKA	lpxP//pdxA//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	pphB//sodB//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	ispA//solA//nemA//coaD//tynA//atoA//cadA//citX//ynfG//yhdJ//
ftsQAZ	
ftsYEX	
fucAO	ileS//kdsC//
fucPIKUR	selD//ilvD//yfdR//aroL//
fumAC	nrfD//ansB//
fusA_tufA	
gabDTP	waaQ//ampD//rbn//
gadAX	trmJ//
gadBC	deoA//epmA//
gadEF	
gadEF_mdtEF	mltC//
gadXW	
galET	yibQ//gntK//
galETK	ascB//yicI//gcvT//
galETKM	murB//insI-3//psd//yqjH//
gapA_yeaD	mnmE//
gapC_1C_2	
garPLRK_rnpB	waaS//bioH//rlmB//pagP//uxuA//wzc//
gatYZABCD	gpt//yqaB//tynA//
gatZABCD	sdhA//dgkA//ilvG_1//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	rfbC//cobB//dgcC//nfsB//glpE//
gcvTHP	nfi//uvrB//ilvH//
gfcBCD	
gfcE_etp_etk	ynfH//nrdD//
ghoST	uxaA//
glcBA	proC//eptC//
glcDEFGBA	lysU//ruvC//ldtA//
glf_wbbH	puuB//
glgAP	folX//prs//
glgBXCAP	caiC//ldtB//fumC//sucA//moaE//
glgCAP	gltB//folA//dapB//
glmUS	preT//yfaU//
glnALG	rfbA//
glnHPQ	folD//
glnK_amtB	astD//
glnLG	
glnW_metU_glnVX	
glpABC	cysQ//
glpEGR	argA//dfp//
glpFKX	aceB//luxS//torZ//
glpGR	rsgA//
glpTQ	ppk//frmB//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	nrfB//
glvCBG_ysdC	
glyQS	lacZ//
glyVXY	
glyW_cysT_leuZ	
gntKU	hemC//leuC//
gntRKU	idnK//spoT//
gntX_nfuA	
gpmM_envC_yibQ	yqhD//dkgA//
groSL	
gspAB	
gspCDEFGHIJKLMO	hemG//
guaBA	mnmA//proA//
gudPXD	cobU//mnaT//
hcaEFCBD	yjiA//rpe//
hcp_hcr	lpxM//asnB//
hdeAB_yhiD	
hemA_prfA_prmC	upp//pykA//
hemCDXY	gltD//ybjI//
hflD_purB	roxA//
hfq_hflXKC	dxs//
hicAB	
higBA	hcaB//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	ssuD//tatD//rfaE//add//
hipBA	narZ//
hisBHAFI	mcrC//umuD//chbF//rdgB//
hisJQMP	bfr//yigB//
hisLGDCBHAFI	ynfE//gor//dgcM//asnA//dgcM//waaU//rfbD//
hofMNOP	
holC_valS	ispD//
holD_rimI_yjjG	lsrF//hycE//
hscBA_fdx_iscX	putA//
