# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	kdgK//
aas_lplT	yfeX//
abgABT_ogt	uvrA//hypB//rluC//
abpAB	
accBC	cdd//mnmG//
aceBAK	rnt//gshB//waaA//
aceEF	idnK//bioF//csdA//
ackA_pta	lpxK//citE//
acpP_fabF	serS//
acrAB	nadA//glcE//
acrEF	nanE//
acs_yjcH_actP	rluB//hyaC//
ada_alkB	yihX//xdhC//
agaS_kbaY_agaBCDI	rlmH//
ahpCF	waaH//
alaA_yfbR	queG//folK//
alaWX	
allDCE	nrfC//aroC//cdsA//
alsBACE	glpA//rlmE//
amiA_hemF	mutM//wecC//
ampDE	lyxK//
ansA_pncA	torA//yfeW//glnA//
apaGH	rlmJ//
appCBXA	ilvC//uxaC//
araBAD	hyi//phnN//citE//
araE_ygeA	paoA//
araFGH	hisI//
argCBH	ssuD//paaK//rlmA//
argT_hisJQMP	argK//ispF//
argX_hisR_leuT_proM	
arnBCADTEF	ydjG//putA//hchA//recG//rph//
aroF_tyrA	coaE//citG//
aroKB_damX_dam_rpe_gph_trpS	fadI//narV//ldcA//hisG//hyi//waaG//
aroL_yaiA_aroM	gntK//
arpB_1B_2	
arsRBC	thyA//tesB//
artPIQM	ldcA//
ascFB	nudG//wrbA//
asnC_mioC	
asnC_mioC_mnmG	ilvD//
aspA_dcuA	arnA//hemG//
astCADBE	mqo//ssuD//dam//hycC//menB//
atoDAEB	dkgB//lpxB//deoA//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	opgB//ulaG//mpl//thrA//ltaE//apaH//
bamB_der	dmsB//
basRS	
bcsABZC	rluF//ynjE//
bcsBZ	fadD//tdk//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	murF//pagP//
bfd_bfr	malZ//
bglGFB	rimK//asnA//
bglH_yieLK	
bioBFCD	mug//napB//pgpB//iaaA//
brnQ_proY	solA//moeA//
btuB_murI	paaK//phnL//
btuCED	asnS//cobS//
cadBA	sad//yfdE//
caiCDE	mocA//gshA//
caiTABCDE	puuB//trxB//dmlA//rffG//pdxJ//
carAB	accD//
casABCDE12	leuC//
casDE12	ppc//
cbpAM	
cbrBC	
ccmABCDEFGH	yqhD//
cecR_ybhGFSR	
chaBC	
chbBCARFG	lpxB//murQ//ruvC//
chiP_ybfN	tnaA//
chpSB	frmB//
citCDEFXG	rrrD//ampH//leuC//
clpPX	rihA//speG//yliI//lpoA//
clpX_lon	bioB//aphA//hyaB//
clsA_yciU	trpE//
cmk_rpsA	ymdB//
cmoM_mukFEB	
cmtBA_yggPFDC	ygiF//puuB//
coaE_zapD_yacG	uxuA//
cobUST	cysD//metA//gltA//
codBA	rsmA//moaA//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	frmA//
csgBAC	
csgDEFG	thiK//
csiD_lhgO_gabDTP	sdaA//ttdB//metH//ilvC//
cusCFBA	truA//
cusRS	
cvpA_purF_ubiX	mrdA//solA//
cydAB	gmk//
cydDC	mnmA//
cydX_ybgE	acs//
cynTS	fau//insI-3//
cynTSX	tig//hycE//wecC//
cyoABCDE	aroL//tadA//
cysDNC	folC//glpX//
cysJIH	yniC//gcvP//recR//
cysPUWAM	ppx//hflX//ilvE//
dadAX	lpoA//orn//
damX_dam_rpe_gph_trpS	dcyD//birA//psd//rdoA//
dam_rpe_gph_trpS	astB//polA//solA//ppsA//
dapA_bamC	recJ//
dapE_ypfN	sbcB//
dcm_vsr	adiA//
dcuB_fumB	ispA//rffM//
dcuSR	
dcyD_tcyLN	mrcA//thrA//
ddpXABCDF	maeB//
def_fmt	ldtA//rfbC//
degQS	cdh//narY//
deoABD	wbbI//alaC//scpA//
deoBD	yliI//poxB//
deoCABD	ampC//mgsA//lgoD//pdeR//
dgoRKADT	rluD//asnB//garK//allC//
dhaKLM	ubiA//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	phnH//hflX//
dinJ_yafQ	mutY//
dksA_gluQ	abgA//
dmsABC	menI//
dnaAN_recF	nudI//
dnaK_tpke11_dnaJ	cheR//
dnaN_recF	pgpB//
dnaTC	
dnaTC_yjjA	
dosCP	dcm//mnaT//
dpiBA	
dppABCDF	yqaB//
dsbC_recJ_prfB	alr//folK//
dsbD_yjdC	
dsdXA	pspE//atoB//
dusB_fis	kbaZ//
dut_slmA	cpdB//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	waaL//cobT//
efeOB	pspE//
efeU_1U_2	
elbB_mtgA	ybhA//
elfDCG_ycbUVF	
emrKY	ung//
entCEBAH	coaD//fsaA//queG//maeB//hemD//pagP//
envY_ompT	ruvC//
epd_pgk	sgbE//codA//
epd_pgk_fbaA	abgB//sdhC//nudK//
essD_rrrD_rzpD	alsK//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	cpdB//
eutHA	
eutNEJG	
eutSPQTDM	paaK//
evgAS	
exbBD	
fabDG_acpP	argD//yciA//
fabG_acpP	dgoA//
fabHDG	roxA//gdhA//lysS//
fabR_yijD	
fadBA	deoB//pfkB//
fadD_sroD	pdeR//
fadIJ	yagF//cynT//
fdnGHI	
fdoGHI_fdhE	cysM//
fdrA_ylbEF_ybcF	pdxB//
fecABCDE	aphA//yjcS//
fecIR	
feoABC	arnC//
fepA_entD	dhaL//deoA//puuC//
fepDGC	ahr//
fes_ybdZ_entF_fepE	pabB//yfdE//trpD//
fetAB	
fhuACDB	speD//dxr//
ficA_fic_pabA	maeB//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	sucB//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	scpA//orn//
folC_dedD	rluB//
folD_ybcJ	ampH//
folE_yeiB	mutL//
folP_glmM	manA//lldD//
folX_yfcH	mhpB//
frdABCD	nagA//
frlABCDR	nudJ//rfbC//thiK//frlD//
frmRAB	lysS//trpS//
fruBKA	rdoA//ldcC//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	mtgA//glmM//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	purL//lpxB//hisC//purL//garR//acnA//trpB//dhaL//mnmE//eda//
ftsQAZ	
ftsYEX	
fucAO	tnaA//mug//
fucPIKUR	ycjU//dgt//rsmF//gshA//
fumAC	alkB//panE//
fusA_tufA	
gabDTP	ispD//tsaD//napC//
gadAX	iscS//
gadBC	bcsZ//cfa//
gadEF	
gadEF_mdtEF	atoB//
gadXW	
galET	gmk//talB//
galETK	aroE//slyD//fau//
galETKM	maa//glcB//ilvH//eutB//
gapA_yeaD	edd//
gapC_1C_2	
garPLRK_rnpB	mrcB//fdhF//alr//ldtC//rlmD//ilvD//
gatYZABCD	trmA//kefF//tyrB//
gatZABCD	yciA//prs//thiI//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	argE//ydbC//paaA//cmk//ppa//
gcvTHP	murB//pncA//sgbH//
gfcBCD	
gfcE_etp_etk	mutS//ydiF//
ghoST	pyrF//
glcBA	yneH//mocA//
glcDEFGBA	ampD//ahr//aroF//
glf_wbbH	yhdJ//
glgAP	dgkA//emtA//
glgBXCAP	cysD//caiB//argG//yhdH//gcl//
glgCAP	argH//frc//paaG//
glmUS	rbsD//garR//
glnALG	glcE//
glnHPQ	lpxH//
glnK_amtB	ybcF//
glnLG	
glnW_metU_glnVX	
glpABC	fau//
glpEGR	yfeW//trmA//
glpFKX	trmI//dosC//psd//
glpGR	gatZ//
