# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	wzb//
aas_lplT	glpB//
abgABT_ogt	thrC//thrC//hemH//
abpAB	
accBC	kdsC//rpe//
aceBAK	nth//argF//hisH//
aceEF	tpiA//ubiH//valS//
ackA_pta	rutD//ybdL//
acpP_fabF	sbcB//
acrAB	paaA//entA//
acrEF	yajO//
acs_yjcH_actP	agp//hisA//
ada_alkB	rhaM//citF//
agaS_kbaY_agaBCDI	fre//
ahpCF	panB//
alaA_yfbR	trxB//insI-3//
alaWX	
allDCE	ttdA//yiaK//luxS//
alsBACE	purM//aroH//
amiA_hemF	ispF//valS//
ampDE	tsaC//
ansA_pncA	dcd//etk//fadH//
apaGH	trpS//
appCBXA	mrcB//tyrA//
araBAD	gltD//mnmC//ynfH//
araE_ygeA	cpdA//
araFGH	phnH//
argCBH	mtlD//lpxT//tyrB//
argT_hisJQMP	argS//trpA//
argX_hisR_leuT_proM	
arnBCADTEF	ung//ldtA//lysS//waaB//tdcD//
aroF_tyrA	fbaB//arnC//
aroKB_damX_dam_rpe_gph_trpS	hemF//tgt//thiG//folK//etk//psd//
aroL_yaiA_aroM	nadR//
arpB_1B_2	
arsRBC	pgsA//tag//
artPIQM	hisA//
ascFB	aroB//lgoD//
asnC_mioC	
asnC_mioC_mnmG	glgC//
aspA_dcuA	narI//pdxK//
astCADBE	napC//araD//nanM//nagA//yicI//
atoDAEB	nagK//fabG//allA//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	guaA//trxB//mqo//nrfC//ung//mcrC//
bamB_der	tcdA//
basRS	
bcsABZC	prpE//cpdB//
bcsBZ	rfe//pgaD//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	spoT//lpxT//
bfd_bfr	rlmG//
bglGFB	aceE//argF//
bglH_yieLK	
bioBFCD	ilvC//ydbC//sucC//pck//
brnQ_proY	rpe//yihV//
btuB_murI	paoA//bcsB//
btuCED	napH//cynT//
cadBA	pdxA//slt//
caiCDE	citE//mhpB//
caiTABCDE	menH//waaL//ugpQ//tdcG//pncA//
carAB	icd//
casABCDE12	mtn//
casDE12	rimK//
cbpAM	
cbrBC	
ccmABCDEFGH	srlD//
cecR_ybhGFSR	
chaBC	
chbBCARFG	mutL//ribE//ulaE//
chiP_ybfN	nagK//
chpSB	ybcF//
citCDEFXG	thiH//ispU//yfcG//
clpPX	leuC//ribF//glyS//hisS//
clpX_lon	dnaQ//bglA//bioD//
clsA_yciU	pgpA//
cmk_rpsA	dacC//
cmoM_mukFEB	
cmtBA_yggPFDC	dxr//serB//
coaE_zapD_yacG	bioB//
cobUST	deoA//ldtB//cysM//
codBA	glmU//trmO//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	asd//
csgBAC	
csgDEFG	tmk//
csiD_lhgO_gabDTP	betA//gnd//hycF//carB//
cusCFBA	wecB//
cusRS	
cvpA_purF_ubiX	tktB//pldA//
cydAB	folD//
cydDC	codA//
cydX_ybgE	fucU//
cynTS	hcaC//metH//
cynTSX	hycD//hcaD//rpiA//
cyoABCDE	hcaC//metG//
cysDNC	coaA//hemN//
cysJIH	thiH//citF//rdoA//
cysPUWAM	slyD//rbn//hemL//
dadAX	waaJ//opgB//
damX_dam_rpe_gph_trpS	paoC//glpA//yniC//rbsD//
dam_rpe_gph_trpS	rutE//yfcG//rsmJ//glpE//
dapA_bamC	dacA//
dapE_ypfN	argG//
dcm_vsr	rlmM//
dcuB_fumB	cyoE//hinT//
dcuSR	
dcyD_tcyLN	ttdB//paaJ//
ddpXABCDF	rutB//
def_fmt	truB//tsaD//
degQS	yqjG//pyrI//
deoABD	plsC//rlmI//def//
deoBD	alaS//acs//
deoCABD	rdgB//hyi//rlmI//phnH//
dgoRKADT	pgk//argF//mobA//caiC//
dhaKLM	mmuM//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	gmm//fabZ//
dinJ_yafQ	allE//
dksA_gluQ	prpC//
dmsABC	gltX//
