# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	yniC//
aas_lplT	yohF//
abgABT_ogt	murI//deoD//csdA//
abpAB	
accBC	gcl//ampH//
aceBAK	yqaB//rffM//fadM//
aceEF	mhpC//yfbT//gapA//
ackA_pta	tdcD//ybaS//
acpP_fabF	rhaB//
acrAB	pyrG//tnaA//
acrEF	mltD//
acs_yjcH_actP	rimK//ldcC//
ada_alkB	pinE//hisS//
agaS_kbaY_agaBCDI	aceB//
ahpCF	yigL//
alaA_yfbR	eptA//purK//
alaWX	
allDCE	alkA//galU//ribC//
alsBACE	guaB//paaY//
amiA_hemF	ushA//ribA//
ampDE	mltA//
ansA_pncA	qor//eptB//yfdE//
apaGH	waaC//
appCBXA	thiI//ispG//
araBAD	galM//ppa//mobA//
araE_ygeA	ligA//
araFGH	gstA//
argCBH	sdhD//garD//ruvA//
argT_hisJQMP	ddlB//thiD//
argX_hisR_leuT_proM	
arnBCADTEF	astD//hyaB//phr//ampH//glpQ//
aroF_tyrA	dapF//ispA//
aroKB_damX_dam_rpe_gph_trpS	yqaB//rhaB//astA//menF//xdhA//mepS//
aroL_yaiA_aroM	moaA//
arpB_1B_2	
arsRBC	fabA//malY//
artPIQM	mnmA//
ascFB	nfsB//plsC//
asnC_mioC	
asnC_mioC_mnmG	yohF//
aspA_dcuA	fucI//yneH//
astCADBE	eda//ldcC//garK//rfe//cpsB//
atoDAEB	ubiH//treF//lsrF//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	aldB//fadA//nagK//chbF//mutS//yjhG//
bamB_der	cysG//
basRS	
bcsABZC	folA//waaC//
bcsBZ	rlmI//purL//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	pdeF//epmC//
bfd_bfr	astE//
bglGFB	caiA//mraY//
bglH_yieLK	
bioBFCD	glf//rutE//hpt//dgoD//
brnQ_proY	moeB//pdeL//
btuB_murI	speF//dapD//
btuCED	pgk//adiA//
cadBA	selA//malZ//
caiCDE	paoC//hycD//
caiTABCDE	thiE//accD//tdk//pphB//queC//
carAB	bfr//
casABCDE12	pabC//
casDE12	ugpQ//
cbpAM	
cbrBC	
ccmABCDEFGH	ilvC//
cecR_ybhGFSR	
chaBC	
chbBCARFG	umpG//insI-3//thiL//
chiP_ybfN	eutB//
chpSB	cmoA//
citCDEFXG	panC//cobC//mltD//
clpPX	epmB//trpC//ycjG//nemA//
clpX_lon	rluE//speD//nadK//
clsA_yciU	fkpB//
cmk_rpsA	pgi//
cmoM_mukFEB	
cmtBA_yggPFDC	menI//lhgO//
coaE_zapD_yacG	fcl//
cobUST	waaG//tnaA//leuB//
