# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	argS//
aas_lplT	cobC//
abgABT_ogt	hisC//dgcP//metB//
abpAB	
accBC	thiM//ldtA//
aceBAK	dusA//tcdA//rihC//
aceEF	hflX//gpt//umuC//
ackA_pta	rnb//garR//
acpP_fabF	tatD//
acrAB	kbl//rsmJ//
acrEF	rpiB//
acs_yjcH_actP	kdsD//dosP//
ada_alkB	recO//fadH//
agaS_kbaY_agaBCDI	hisS//
ahpCF	sucC//
alaA_yfbR	queC//kbaZ//
alaWX	
allDCE	rfbB//katE//folA//
alsBACE	ulaE//xdhB//
amiA_hemF	cysE//waaG//
ampDE	pnp//
ansA_pncA	lpcA//tesA//bglX//
apaGH	recG//
appCBXA	rlmI//yghA//
araBAD	mpl//gabD//lpxB//
araE_ygeA	thiF//
araFGH	ybbO//
argCBH	yidA//hycG//lhgO//
argT_hisJQMP	nrfA//gshA//
argX_hisR_leuT_proM	
arnBCADTEF	aroL//bacA//chbG//lysS//hflX//
aroF_tyrA	pdxK//mutL//
aroKB_damX_dam_rpe_gph_trpS	sgbH//polA//deoA//frlC//dnaQ//cmoB//
aroL_yaiA_aroM	pheT//
arpB_1B_2	
arsRBC	rluF//lipB//
artPIQM	ppc//
ascFB	pinE//citE//
asnC_mioC	
asnC_mioC_mnmG	patA//
aspA_dcuA	glgA//paoB//
astCADBE	uxaA//moaA//ascB//yeaG//paaH//
atoDAEB	nrfA//ispA//yeiG//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	tilS//trpC//phoA//allA//yfbR//entC//
bamB_der	eutB//
basRS	
bcsABZC	yfiC//gutQ//
bcsBZ	lysS//gpmM//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	iscS//glnS//
bfd_bfr	yigL//
bglGFB	adhE//coaE//
bglH_yieLK	
bioBFCD	yfcF//phnL//sbcB//ydiB//
brnQ_proY	cysS//epd//
btuB_murI	cmk//mdh//
btuCED	ppc//dmsB//
cadBA	rlmA//prpD//
caiCDE	yfiC//dgoA//
caiTABCDE	nagB//yiaK//phnO//glcF//tadA//
carAB	hcp//
casABCDE12	ydbC//
casDE12	tdk//
cbpAM	
cbrBC	
ccmABCDEFGH	waaB//
cecR_ybhGFSR	
chaBC	
chbBCARFG	patZ//dapF//truB//
chiP_ybfN	lacZ//
chpSB	gltB//
citCDEFXG	nudF//pgi//rsuA//
clpPX	rlmD//pldB//epmA//lpxB//
clpX_lon	dam//yjjX//caiC//
clsA_yciU	uidA//
cmk_rpsA	guaC//
cmoM_mukFEB	
cmtBA_yggPFDC	hemC//phnJ//
coaE_zapD_yacG	rfbA//
cobUST	pldB//ansA//dkgA//
codBA	ttdA//ribC//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	rfbA//
csgBAC	
csgDEFG	mcrC//
csiD_lhgO_gabDTP	nadK//uxuA//murC//hisG//
cusCFBA	pykF//
cusRS	
cvpA_purF_ubiX	hisS//rihB//
cydAB	frdB//
cydDC	recR//
cydX_ybgE	proA//
cynTS	dacC//fsaA//
cynTSX	lpcA//gpt//ynfF//
cyoABCDE	gapA//fdhF//
cysDNC	dmlA//udk//
