# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	lacZ//
aas_lplT	glnS//
abgABT_ogt	birA//hcaF//fumA//
abpAB	
accBC	rffC//pdeL//
aceBAK	hypF//yfcF//patZ//
aceEF	ygaP//truA//dnaQ//
ackA_pta	rfbB//lyxK//
acpP_fabF	yliI//
acrAB	ssuE//fklB//
acrEF	fruK//
acs_yjcH_actP	nadK//metA//
ada_alkB	nemA//gmd//
agaS_kbaY_agaBCDI	fadJ//
ahpCF	phnN//
alaA_yfbR	xylA//rluF//
alaWX	
allDCE	ribB//rlmF//glxR//
alsBACE	rffT//speB//
amiA_hemF	murA//ogt//
ampDE	pdxK//
ansA_pncA	dgkA//cysS//thrA//
apaGH	ldtB//
appCBXA	ilvG_2//thiE//
araBAD	ilvC//adeD//frdD//
araE_ygeA	pyrH//
araFGH	aceB//
argCBH	ynfF//purT//murE//
argT_hisJQMP	argI//thiM//
argX_hisR_leuT_proM	
arnBCADTEF	sodC//pldA//lipB//lpxT//paaE//
aroF_tyrA	wecC//lpoB//
aroKB_damX_dam_rpe_gph_trpS	ygjK//clsC//napC//trmA//paaY//ligA//
aroL_yaiA_aroM	add//
arpB_1B_2	
arsRBC	menD//maeB//
artPIQM	rsmG//
ascFB	glcE//dsdA//
asnC_mioC	
asnC_mioC_mnmG	trmD//
aspA_dcuA	dusC//gmd//
astCADBE	hemE//yneH//galU//acpH//murG//
atoDAEB	lpcA//yjjG//asnS//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	tdh//lsrF//arnC//cysM//rpe//ansA//
bamB_der	tesB//
basRS	
bcsABZC	sdhA//pflB//
bcsBZ	frmB//yqhD//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	cysH//aspC//
bfd_bfr	pgl//
bglGFB	serC//idnD//
bglH_yieLK	
bioBFCD	pdeF//nudL//frmB//ymdB//
brnQ_proY	waaL//mutS//
btuB_murI	metC//rhaD//
btuCED	rluE//hcaC//
cadBA	bioF//sdaB//
caiCDE	lpoB//hyi//
