# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	rffG//
aas_lplT	waaY//
abgABT_ogt	gatY//epmA//psuK//
abpAB	
accBC	selA//mocA//
aceBAK	feaB//miaB//lpxL//
aceEF	paaJ//frlD//ppa//
ackA_pta	frmB//phr//
acpP_fabF	galM//
acrAB	coaD//cyaA//
acrEF	dhaM//
acs_yjcH_actP	yagF//puuC//
ada_alkB	mutS//aroD//
agaS_kbaY_agaBCDI	sdaB//
ahpCF	tdh//
alaA_yfbR	garK//yihS//
alaWX	
allDCE	epmB//pykF//fabA//
alsBACE	ydjG//wrbA//
amiA_hemF	bglB//gshB//
ampDE	purB//
ansA_pncA	glpD//dkgB//nagK//
apaGH	chbG//
appCBXA	rsmH//lpxM//
araBAD	thrS//puuD//sodB//
araE_ygeA	hisF//
araFGH	ilvN//
argCBH	tsaB//tmk//waaL//
argT_hisJQMP	waaP//tcdA//
argX_hisR_leuT_proM	
arnBCADTEF	ugd//fkpA//purK//frlC//waaS//
aroF_tyrA	gdhA//eda//
aroKB_damX_dam_rpe_gph_trpS	ygjK//rsmC//lysC//astC//fadK//ygeX//
aroL_yaiA_aroM	aldA//
arpB_1B_2	
arsRBC	mpl//atoA//
artPIQM	recR//
ascFB	hypB//ubiE//
asnC_mioC	
asnC_mioC_mnmG	glpA//
aspA_dcuA	nfsA//mhpF//
astCADBE	hemC//polA//aroG//agp//pgaD//
atoDAEB	cpdA//trpE//yfdE//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	dhaK//hflX//mug//nudE//tsaD//narH//
bamB_der	sdhA//
basRS	
bcsABZC	rsmJ//opgB//
bcsBZ	moeA//ybiV//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	phnG//trpC//
bfd_bfr	menD//
bglGFB	cpsG//murF//
bglH_yieLK	
bioBFCD	pdeH//serA//ynjE//cysG//
brnQ_proY	pgpB//gloC//
btuB_murI	waaU//paoA//
btuCED	paoC//azoR//
cadBA	moeB//chbG//
caiCDE	polA//melA//
caiTABCDE	csdA//selA//guaC//hcaD//glf//
carAB	hycG//
casABCDE12	napC//
casDE12	yqjH//
cbpAM	
cbrBC	
ccmABCDEFGH	treC//
cecR_ybhGFSR	
chaBC	
chbBCARFG	bcsB//dgoK//clsC//
chiP_ybfN	gadB//
chpSB	rsgA//
citCDEFXG	speG//ldtC//mutL//
clpPX	yggF//frlB//insI-2//puuD//
clpX_lon	pgpB//lpoB//hflX//
clsA_yciU	lplA//
cmk_rpsA	gltB//
cmoM_mukFEB	
cmtBA_yggPFDC	recF//wzb//
coaE_zapD_yacG	thrC//
cobUST	polA//ldtD//recJ//
codBA	dgcT//ftsI//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	yfbT//
csgBAC	
csgDEFG	nadR//
csiD_lhgO_gabDTP	uxaB//xdhC//ppc//pgl//
cusCFBA	nrfA//
cusRS	
cvpA_purF_ubiX	ygjK//tsaE//
cydAB	glpA//
cydDC	fabB//
cydX_ybgE	aroL//
cynTS	mnmG//citD//
cynTSX	leuA//ileS//allB//
cyoABCDE	pdeL//torY//
cysDNC	rlmI//mltD//
cysJIH	tpiA//yagE//gshB//
cysPUWAM	ribF//rlmI//galM//
dadAX	gstA//hinT//
damX_dam_rpe_gph_trpS	murE//yagE//fabA//thiK//
dam_rpe_gph_trpS	yfcF//yiaY//cdd//pbpC//
dapA_bamC	psuG//
dapE_ypfN	glyA//
dcm_vsr	speF//
dcuB_fumB	mhpC//rhaD//
dcuSR	
dcyD_tcyLN	gcvH//cysN//
ddpXABCDF	ligB//
def_fmt	glcE//deoB//
degQS	asnS//citG//
deoABD	tadA//iaaA//uxuA//
deoBD	pta//insI-1//
deoCABD	suhB//scpB//waaU//mutS//
dgoRKADT	mnmA//malQ//pnp//lgoD//
dhaKLM	argH//
