# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	thrC//
aas_lplT	lysU//
abgABT_ogt	gabD//ssuE//yfcG//
abpAB	
accBC	ydbC//malZ//
aceBAK	dgcZ//recR//allA//
aceEF	valS//eutB//tgt//
ackA_pta	dapB//proA//
acpP_fabF	astE//
acrAB	hchA//bacA//
acrEF	menE//
acs_yjcH_actP	argE//ahpC//
ada_alkB	puuD//tauD//
agaS_kbaY_agaBCDI	mrcA//
ahpCF	metC//
alaA_yfbR	xylA//iscS//
alaWX	
allDCE	folM//rfbD//rlmI//
alsBACE	ribA//ilvM//
amiA_hemF	rimK//zwf//
ampDE	mhpA//
ansA_pncA	ldtE//yieH//sodA//
apaGH	metK//
appCBXA	ybcF//epmB//
araBAD	mmuM//rutE//lysA//
araE_ygeA	proS//
araFGH	purL//
argCBH	dhaM//arnB//rsmF//
argT_hisJQMP	folE//fumB//
argX_hisR_leuT_proM	
arnBCADTEF	miaA//paaA//pyrG//ilvB//sgbU//
aroF_tyrA	ssuD//fdhF//
aroKB_damX_dam_rpe_gph_trpS	ribF//yiaK//hycC//fabF//rlmH//paaK//
aroL_yaiA_aroM	rlmE//
arpB_1B_2	
arsRBC	dacC//gpp//
artPIQM	fadM//
ascFB	pbpC//ilvB//
asnC_mioC	
asnC_mioC_mnmG	hypF//
aspA_dcuA	insI-1//clsA//
astCADBE	lpxT//glgA//aldB//yceF//cyoE//
atoDAEB	ynfH//fsaB//glpK//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	tmk//lysA//rnb//rlmL//waaQ//lgoD//
bamB_der	gcvH//
basRS	
bcsABZC	yihS//birA//
bcsBZ	paaC//wzc//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	mrcA//pykF//
bfd_bfr	frlC//
bglGFB	mltF//curA//
bglH_yieLK	
bioBFCD	argI//pbpC//lhgO//nudL//
brnQ_proY	curA//galT//
btuB_murI	dgcM//aroD//
btuCED	ldtC//menH//
cadBA	cysG//pdxJ//
caiCDE	nrfD//trpA//
caiTABCDE	aroA//ghrA//pheS//solA//cynS//
carAB	bglB//
casABCDE12	waaA//
casDE12	rsmF//
cbpAM	
cbrBC	
ccmABCDEFGH	folM//
cecR_ybhGFSR	
chaBC	
chbBCARFG	avtA//yieF//metF//
chiP_ybfN	epd//
chpSB	glcD//
citCDEFXG	eno//sdhA//cysG//
clpPX	lysS//nfi//nrdF//astD//
clpX_lon	caiB//waaQ//anmK//
clsA_yciU	xylA//
cmk_rpsA	yfiC//
cmoM_mukFEB	
cmtBA_yggPFDC	rsmF//speE//
coaE_zapD_yacG	fabD//
cobUST	pnp//bioA//galM//
codBA	hisF//adeD//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	glmS//
csgBAC	
csgDEFG	xdhA//
csiD_lhgO_gabDTP	yccX//etk//speE//abgA//
cusCFBA	sseA//
cusRS	
cvpA_purF_ubiX	galK//eno//
cydAB	nfi//
cydDC	nudL//
cydX_ybgE	sdhC//
cynTS	tsaD//anmK//
cynTSX	argE//fabH//purL//
cyoABCDE	glgC//folX//
cysDNC	allE//spoT//
cysJIH	ilvI//ssuE//pykA//
cysPUWAM	def//dgoK//dusA//
dadAX	menH//phnJ//
damX_dam_rpe_gph_trpS	phnJ//lpxK//ispD//guaA//
dam_rpe_gph_trpS	ubiD//hycC//ssuD//lpxH//
dapA_bamC	ilvM//
dapE_ypfN	ravA//
dcm_vsr	scpA//
dcuB_fumB	fabH//ileS//
dcuSR	
dcyD_tcyLN	talB//cmoA//
ddpXABCDF	yajO//
def_fmt	fucK//opgE//
degQS	tag//ansA//
deoABD	yfbT//fucO//folC//
deoBD	mocA//fabI//
deoCABD	garD//nirB//aroB//tsaB//
dgoRKADT	plsC//uxuB//menC//gltA//
dhaKLM	fcl//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	malP//iaaA//
dinJ_yafQ	ychF//
dksA_gluQ	waaQ//
dmsABC	uxuB//
dnaAN_recF	trpB//
dnaK_tpke11_dnaJ	dut//
dnaN_recF	curA//
dnaTC	
dnaTC_yjjA	
dosCP	leuA//gltB//
dpiBA	
dppABCDF	phnO//
dsbC_recJ_prfB	speA//astC//
dsbD_yjdC	
dsdXA	plsC//kdsD//
dusB_fis	glyQ//
dut_slmA	murE//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	ilvN//avtA//
efeOB	tynA//
efeU_1U_2	
elbB_mtgA	pykA//
elfDCG_ycbUVF	
emrKY	mepS//
entCEBAH	deoB//dxr//mutH//hycG//ybiV//prs//
envY_ompT	ribE//
epd_pgk	trmH//fadJ//
epd_pgk_fbaA	murE//dsdA//narV//
essD_rrrD_rzpD	sdhD//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	nemA//
eutHA	
eutNEJG	
eutSPQTDM	glmU//
evgAS	
exbBD	
fabDG_acpP	truB//fadK//
fabG_acpP	dam//
fabHDG	ubiI//pta//bioA//
