# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	pabB//
aas_lplT	paaF//
abgABT_ogt	nirB//putA//thrA//
abpAB	
accBC	efeB//leuS//
aceBAK	tdcG//caiD//entF//
aceEF	preA//fes//eutC//
ackA_pta	rluD//araB//
acpP_fabF	thrS//
acrAB	xapA//efeB//
acrEF	ycjU//
acs_yjcH_actP	deoA//allD//
ada_alkB	acpT//thyA//
agaS_kbaY_agaBCDI	rhaM//
ahpCF	ubiD//
alaA_yfbR	leuC//dacA//
alaWX	
allDCE	narI//pncB//ilvI//
alsBACE	gldA//psuG//
amiA_hemF	wcaJ//purU//
ampDE	mrcA//
ansA_pncA	nadD//yeaG//cpsB//
apaGH	yeiG//
appCBXA	coaE//hemE//
araBAD	moeB//deoB//ldtE//
araE_ygeA	glmU//
araFGH	mraY//
argCBH	sodA//thrS//fbaA//
argT_hisJQMP	eptC//pgaB//
argX_hisR_leuT_proM	
arnBCADTEF	ribD//purE//lpxM//menE//leuC//
aroF_tyrA	glpK//narG//
aroKB_damX_dam_rpe_gph_trpS	ymdB//cysM//mnaT//yicI//tyrA//slt//
aroL_yaiA_aroM	yeaG//
arpB_1B_2	
arsRBC	glpK//dacC//
artPIQM	agp//
ascFB	sbcB//thiI//
asnC_mioC	
asnC_mioC_mnmG	suhB//
aspA_dcuA	glcD//lpd//
astCADBE	ulaD//azoR//metG//hisD//btuR//
atoDAEB	scpA//pssA//tadA//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	hycG//fadE//upp//folC//ispH//guaB//
bamB_der	cysC//
basRS	
bcsABZC	katG//eutB//
bcsBZ	hmp//otsA//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	bcsA//puuC//
bfd_bfr	cdsA//
bglGFB	galU//ghrB//
bglH_yieLK	
bioBFCD	allC//rpiA//hisC//ppiB//
brnQ_proY	narV//pcm//
btuB_murI	opgE//ahpC//
btuCED	cadA//aes//
cadBA	folE//paaZ//
caiCDE	yjhG//purK//
caiTABCDE	dacC//fdhF//gpsA//hemE//yieH//
carAB	yrfG//
casABCDE12	yfeX//
casDE12	ubiX//
cbpAM	
cbrBC	
ccmABCDEFGH	lsrK//
cecR_ybhGFSR	
chaBC	
chbBCARFG	argH//yqaB//hpt//
chiP_ybfN	deoD//
chpSB	pgm//
citCDEFXG	metF//hinT//hcaD//
clpPX	folK//lpoB//aceB//mhpF//
clpX_lon	gnd//nadB//gadA//
clsA_yciU	gadB//
cmk_rpsA	hemC//
cmoM_mukFEB	
cmtBA_yggPFDC	bioC//rluC//
coaE_zapD_yacG	luxS//
cobUST	hinT//yiaK//maa//
codBA	mngB//phnM//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	paaE//
csgBAC	
csgDEFG	ybdL//
csiD_lhgO_gabDTP	tyrS//maeB//ribD//menF//
cusCFBA	dhaL//
cusRS	
cvpA_purF_ubiX	napB//ilvM//
cydAB	cueO//
cydDC	yahK//
cydX_ybgE	sgbE//
cynTS	glnS//pspE//
cynTSX	ldtE//glnE//argE//
cyoABCDE	pyrI//yciA//
cysDNC	purE//glpE//
cysJIH	glmS//nanA//caiA//
cysPUWAM	frc//nadE//btuE//
dadAX	hycD//argD//
damX_dam_rpe_gph_trpS	cysS//yhhW//serS//sad//
dam_rpe_gph_trpS	nrfD//hycE//pdxH//dacD//
dapA_bamC	dusB//
dapE_ypfN	acpH//
dcm_vsr	folE//
dcuB_fumB	yihV//argA//
dcuSR	
