# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	guaA//
aas_lplT	folM//
abgABT_ogt	entA//moaE//mug//
abpAB	
accBC	rlmH//bioF//
aceBAK	rutA//yfbT//purC//
aceEF	ispE//paaI//rbn//
ackA_pta	yggF//idnO//
acpP_fabF	atoB//
acrAB	dapA//mgsA//
acrEF	alsK//
acs_yjcH_actP	folB//hemL//
ada_alkB	wbbI//mnmC//
agaS_kbaY_agaBCDI	tcdA//
ahpCF	cpdB//
alaA_yfbR	rsmD//eno//
alaWX	
allDCE	sthA//hpt//aspC//
alsBACE	folB//nanE//
amiA_hemF	rnb//sucA//
ampDE	glyQ//
ansA_pncA	mhpC//murE//lysA//
apaGH	cmoB//
appCBXA	hcaB//rlmD//
araBAD	garD//aroD//ppsA//
araE_ygeA	paoB//
araFGH	glgC//
argCBH	rlmA//kduD//cysN//
argT_hisJQMP	xdhA//coaD//
argX_hisR_leuT_proM	
arnBCADTEF	ung//pncA//galE//metA//pflB//
aroF_tyrA	gstB//ygiF//
aroKB_damX_dam_rpe_gph_trpS	ldtD//clsA//fadK//moaD//purK//prmB//
aroL_yaiA_aroM	menH//
arpB_1B_2	
arsRBC	ttdA//torZ//
artPIQM	mltF//
ascFB	pyrE//gcl//
asnC_mioC	
asnC_mioC_mnmG	mtlD//
aspA_dcuA	proS//leuA//
astCADBE	pepD//rffH//yihV//aroC//pgaC//
atoDAEB	uvrC//pldB//rfaD//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	selB//rsuA//dapA//ldtE//cysJ//sodB//
bamB_der	lacZ//
basRS	
bcsABZC	yggF//manA//
bcsBZ	ttdB//clsA//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	fucO//dsdA//
bfd_bfr	xdhC//
bglGFB	aceE//rihB//
bglH_yieLK	
bioBFCD	tktB//pfkA//pdxY//folD//
brnQ_proY	cyaA//coaD//
btuB_murI	cobC//aroG//
btuCED	tsaB//ansB//
cadBA	rsmJ//clsC//
caiCDE	solA//nemA//
caiTABCDE	acpH//pldA//srlD//waaA//glk//
carAB	roxA//
casABCDE12	fre//
casDE12	ilvG_2//
cbpAM	
cbrBC	
ccmABCDEFGH	mutY//
cecR_ybhGFSR	
chaBC	
chbBCARFG	xdhC//rbsK//nadE//
chiP_ybfN	citG//
chpSB	ybjG//
citCDEFXG	narZ//nudL//uidA//
clpPX	speF//phnN//folC//lpoA//
clpX_lon	tehB//gatZ//tnaA//
clsA_yciU	alaC//
cmk_rpsA	otsB//
cmoM_mukFEB	
cmtBA_yggPFDC	ttdB//lpoB//
coaE_zapD_yacG	garD//
cobUST	yhhW//gcvT//narI//
codBA	puuC//rpiA//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	fadB//
csgBAC	
csgDEFG	hcp//
csiD_lhgO_gabDTP	speA//narH//moaD//fabA//
cusCFBA	dgoD//
cusRS	
cvpA_purF_ubiX	ribD//azoR//
cydAB	cueO//
cydDC	rlmD//
cydX_ybgE	bioH//
cynTS	glmS//ubiG//
cynTSX	rlmA//hisA//menB//
cyoABCDE	dgcT//paoB//
cysDNC	gcvT//pheA//
cysJIH	cysG//ydfG//purH//
cysPUWAM	otsA//paaJ//proB//
dadAX	lpxT//gabD//
damX_dam_rpe_gph_trpS	nadD//gluQ//amn//yjhG//
dam_rpe_gph_trpS	rlmL//purM//purA//lacZ//
dapA_bamC	ndk//
dapE_ypfN	ldcC//
dcm_vsr	queD//
dcuB_fumB	caiB//emtA//
dcuSR	
dcyD_tcyLN	thiL//adeD//
ddpXABCDF	dhaM//
def_fmt	bacA//galT//
degQS	gabT//pldB//
deoABD	cysN//gcd//wzc//
deoBD	aroE//lipA//
deoCABD	speD//glgC//cof//dkgA//
dgoRKADT	sucA//dmlA//aceE//sodC//
dhaKLM	dacC//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	nagZ//ybbO//
dinJ_yafQ	polB//
dksA_gluQ	waaH//
dmsABC	ydbC//
dnaAN_recF	guaC//
dnaK_tpke11_dnaJ	puuE//
dnaN_recF	narZ//
dnaTC	
dnaTC_yjjA	
dosCP	ppiC//araD//
dpiBA	
dppABCDF	yjjG//
dsbC_recJ_prfB	hcaB//eptC//
dsbD_yjdC	
dsdXA	eno//asnB//
dusB_fis	dadA//
dut_slmA	nirD//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	coaD//ghrB//
efeOB	epmB//
efeU_1U_2	
elbB_mtgA	rnt//
elfDCG_ycbUVF	
emrKY	tauD//
entCEBAH	tig//dapB//puuD//serC//wzb//yeaE//
envY_ompT	acpT//
epd_pgk	yfdR//eptB//
epd_pgk_fbaA	tatD//lpxD//miaA//
essD_rrrD_rzpD	dxr//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	cpdB//
eutHA	
eutNEJG	
eutSPQTDM	rluA//
evgAS	
exbBD	
fabDG_acpP	patZ//tktA//
fabG_acpP	pbpC//
fabHDG	slyD//yrfG//arnC//
fabR_yijD	
fadBA	ispE//ydjG//
fadD_sroD	pepD//
fadIJ	ldtD//citC//
fdnGHI	
fdoGHI_fdhE	ghrB//
fdrA_ylbEF_ybcF	katE//
fecABCDE	scpC//arnA//
fecIR	
feoABC	yagE//
fepA_entD	rrrD//araD//astE//
fepDGC	yghU//
fes_ybdZ_entF_fepE	tyrS//clsB//tdh//
fetAB	
fhuACDB	gnd//bglA//
ficA_fic_pabA	sodA//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	ldhA//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	trpA//thiH//
folC_dedD	pyrI//
folD_ybcJ	fdhF//
folE_yeiB	hcaE//
folP_glmM	thyA//rsgA//
folX_yfcH	rutA//
frdABCD	proB//
frlABCDR	iscS//relA//kdsC//rlmG//
frmRAB	thiE//yiaY//
fruBKA	rlmH//dam//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	waaL//paaH//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	oxc//murG//pdxK//mrdA//pdeR//mnmG//lpxC//arnA//argE//waaG//
ftsQAZ	
ftsYEX	
fucAO	ilvN//nirB//
fucPIKUR	pgpC//dgcC//fadB//astC//
fumAC	puuE//purH//
fusA_tufA	
gabDTP	zwf//menB//rhaA//
gadAX	prs//
gadBC	narI//queD//
gadEF	
gadEF_mdtEF	umpH//
gadXW	
galET	argE//betA//
galETK	dnaQ//mcrC//murB//
galETKM	uxaC//ahpC//argC//pfkA//
gapA_yeaD	hisB//
gapC_1C_2	
garPLRK_rnpB	purA//mhpF//dam//lsrG//lgoD//dam//
gatYZABCD	xylA//pdxA//ftsI//
gatZABCD	azoR//rluE//azoR//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	napB//hycG//lhgO//bioA//pbpC//
gcvTHP	rlmB//hyi//prs//
gfcBCD	
gfcE_etp_etk	frlC//aes//
ghoST	menC//
glcBA	rluF//folX//
glcDEFGBA	yiaK//thiG//pta//
glf_wbbH	speA//
glgAP	cmoB//gatD//
glgBXCAP	frlB//tauD//queF//lldD//rutC//
glgCAP	alkB//nanA//gshA//
glmUS	pyrD//idnO//
glnALG	cysI//
glnHPQ	mepS//
glnK_amtB	entC//
glnLG	
glnW_metU_glnVX	
glpABC	pepD//
glpEGR	waaF//nudF//
glpFKX	speE//fbaA//paoB//
glpGR	uvrB//
glpTQ	citD//hdhA//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	lpcA//
glvCBG_ysdC	
glyQS	phnO//
glyVXY	
glyW_cysT_leuZ	
gntKU	rfbC//pldB//
gntRKU	murG//arsC//
gntX_nfuA	
