# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	phnG//
aas_lplT	glnE//
abgABT_ogt	trmD//murI//glxK//
abpAB	
accBC	yibQ//clsC//
aceBAK	ilvH//dxr//gor//
aceEF	gpmM//wecB//btuE//
ackA_pta	pgaC//pdxJ//
acpP_fabF	wzc//
acrAB	mdh//dfp//
acrEF	cynS//
acs_yjcH_actP	murA//gss//
ada_alkB	puuE//ispG//
agaS_kbaY_agaBCDI	mnmC//
ahpCF	astE//
alaA_yfbR	phnP//trpE//
alaWX	
allDCE	folD//recF//dgcM//
alsBACE	dusA//pdeF//
amiA_hemF	acpT//serB//
ampDE	allB//
ansA_pncA	ispU//tauD//fabB//
apaGH	citF//
appCBXA	pfkA//cysS//
araBAD	uvrB//folA//tag//
araE_ygeA	paaA//
araFGH	mnaT//
argCBH	glpA//nudK//sad//
argT_hisJQMP	patZ//ghrA//
argX_hisR_leuT_proM	
arnBCADTEF	chbG//nagK//tynA//rhaM//hisG//
aroF_tyrA	katG//asd//
aroKB_damX_dam_rpe_gph_trpS	tgt//paoC//puuA//nadC//rfbA//aroG//
aroL_yaiA_aroM	galT//
arpB_1B_2	
arsRBC	ilvD//srlD//
artPIQM	ogt//
ascFB	adhE//folE//
asnC_mioC	
asnC_mioC_mnmG	rutC//
aspA_dcuA	scpB//ydiO//
astCADBE	ispU//hisH//dgcP//paaJ//ldtD//
atoDAEB	gss//garL//dacC//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	coaA//trmL//add//hemH//fucO//pgpC//
bamB_der	prpD//
basRS	
bcsABZC	guaB//cysM//
bcsBZ	umpH//ddlB//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	kdsB//mngB//
bfd_bfr	lysU//
bglGFB	glpD//bglB//
bglH_yieLK	
bioBFCD	pgpB//entB//pdeH//narG//
brnQ_proY	cysD//menD//
btuB_murI	nadB//waaH//
btuCED	gmhB//frlC//
cadBA	epd//yjhG//
caiCDE	glgB//gloB//
caiTABCDE	yciV//waaU//tilS//pykA//thiD//
carAB	malP//
casABCDE12	patA//
casDE12	tsaB//
cbpAM	
cbrBC	
ccmABCDEFGH	yihU//
cecR_ybhGFSR	
chaBC	
chbBCARFG	malQ//argS//metE//
chiP_ybfN	ghrA//
chpSB	rhaD//
citCDEFXG	nrdF//yhdJ//iscS//
clpPX	fucA//glyS//tatD//thiF//
clpX_lon	sucB//tktA//yfiH//
clsA_yciU	plsB//
cmk_rpsA	rph//
cmoM_mukFEB	
cmtBA_yggPFDC	dld//bglA//
coaE_zapD_yacG	tktA//
cobUST	allD//glpQ//tyrB//
codBA	cysH//rihC//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	sufS//
csgBAC	
csgDEFG	ppsA//
csiD_lhgO_gabDTP	mnmG//mhpE//phnO//nrfC//
cusCFBA	recO//
cusRS	
cvpA_purF_ubiX	rlmL//paaI//
cydAB	cmk//
cydDC	nrfB//
cydX_ybgE	lpxH//
cynTS	murB//dgkA//
cynTSX	suhB//phnH//glxR//
cyoABCDE	argF//kdsD//
cysDNC	nudK//nudB//
cysJIH	phnH//melA//umuD//
cysPUWAM	ruvB//fes//yfaU//
dadAX	nudG//tatD//
damX_dam_rpe_gph_trpS	aroG//ydiF//deoB//nanK//
dam_rpe_gph_trpS	ldtE//gluQ//ynfH//lsrK//
dapA_bamC	iscS//
dapE_ypfN	pncB//
dcm_vsr	xylB//
dcuB_fumB	yfcF//fadM//
dcuSR	
dcyD_tcyLN	tgt//ydbC//
ddpXABCDF	paaZ//
def_fmt	yjiA//yiaY//
degQS	ynfE//ybhA//
deoABD	queD//speB//ubiD//
