# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	sufS//ynfE//
AcrR	napC//pgpC//
Ada	tktB//accD//dhaK//napG//
AdiY	aceF//pyrD//ubiX//argI//
AgaR	bioB//
AidB	prpB//
AlaS	gadA//
AllR	tnaA//glgX//xylA//glmU//rhaB//sdhA//
AllS	phoA//allA//ddlB//
AlsR	glgC//fabZ//udp//
AppY	nadB//glxK//
AraC	paaG//ndh//mngB//thrS//cueO//frc//gpmM//
ArgP	betA//gcl//glcD//bioC//ruvB//bioC//yeaE//adhE//nanE//
ArgR	astB//aldA//atoD//deoD//cynS//gnd//phnH//ynfE//amn//rutB//garR//alsE//lsrF//deoC//nrdA//phnM//sgbU//wzb//murI//argH//phnL//folE//hyaB//
ArsR	uxuA//napH//
AscG	tauD//uvrB//
AsnC	prpC//napG//
AtoC	fbaA//glgB//purA//
BaeR	aceE//lpxD//
BasR	mhpB//ugpQ//ruvA//
BetI	nrfC//ampC//adhE//
BirA	puuE//pheS//katG//rffC//rutD//
BluR	
BolA	cysJ//ahpF//
CadC	sgbU//ppiA//
CaiF	trpC//uxaA//udp//glcE//paaJ//
Cbl	citG//ampC//cadA//citE//frdB//
CdaR	dsdA//moaD//hyaB//ynfG//ruvA//fadH//atoA//phnO//glgA//
CecR	
ChbR	caiD//tyrA//aceB//
ComR	
CpxR	argA//mazG//ynfH//yqhD//uvrB//psd//aspC//betB//fau//idnD//murE//nrdB//waaZ//sucC//argH//patA//speA//bglB//wzb//ndh//pspE//
Cra	patD//gcvH//fucO//ftsI//patD//glpB//phnM//phnM//entB//glk//purE//sodA//sodA//puuD//paaC//rhaB//gudD//dhaM//caiD//alkB//torA//asnB//nanA//mhpD//bioB//fadJ//yibQ//fabZ//sdhC//bioB//paaC//hycB//ldtB//paaJ//pgaB//paaG//carB//fabD//metE//glmU//xylA//murG//argH//gdhA//astC//napA//ung//citC//lpxA//epd//fadM//puuA//leuC//glgX//tauD//metC//dhaK//tadA//moaE//umuD//
CreB	prpE//gutQ//
CsgD	pyrD//glgP//wrbA//lhgO//idnK//
CsiR	putA//pflB//arsC//paaK//
CspA	chbF//
CueR	fadA//glpX//pdeL//nrfC//
CusR	dapB//napA//pgaC//
CynR	lpd//paaZ//hyaC//
CysB	argB//deoB//glxR//sdhA//glxR//ddlB//puuA//hycF//fadE//ppiA//prpB//cysM//frdC//bglB//rbsD//lpd//pdeL//lacA//
CytR	hcaE//ybaS//paaJ//adhE//tdcE//speB//adiA//lhgO//dgkA//bioC//
Dan	umpH//ada//
DcuR	tnaA//pgi//eno//polA//
DeoR	astA//yibQ//yqhD//fadH//ttdB//ulaE//
DhaR	lacZ//
DicA	
DinJ-YafQ	deoD//
DnaA	cadA//napG//fadI//tyrA//murE//gatD//
DpiA	talA//dhaM//murF//mtlD//fadA//
DsdC	pspE//paaB//
EbgR	
EnvR	rbsD//argC//
EnvY	phoA//glxK//
EvgA	torA//ybjG//gcvH//glpC//lysC//trpA//
ExuR	rutA//gloA//mhpA//fruK//pdeH//pgpC//
FabR	yfdE//nadA//
FadR	aldA//glpB//fadD//gatD//tyrA//tdcE//betA//narH//nagB//nanK//cynS//kbaY//argC//ppiA//gcvP//prpD//cysK//entH//
FeaR	dgkA//accB//
FhlA	napH//hemH//gcvT//fadM//glgA//rpiB//slt//
FlhDC	rutA//tdcG//mhpB//nfsA//nrfA//ampC//carB//guaB//cysN//murD//ybjG//
FliZ	tktB//prs//napA//fucI//hycD//
FucR	nfsA//nrfB//umuC//pdeL//pgaD//hycE//
Fur	acnB//phnL//fumC//speA//trpD//frdA//fadM//leuA//sodB//puuA//glpQ//gutQ//deoB//puuC//glnA//aceB//uxaC//paaE//sdhA//alsE//rdoA//lsrK//add//pncB//slt//aceA//idnD//fabH//nagB//paaJ//hcaC//yfbR//nrdD//puuD//nfsA//hycD//yfbR//tpiA//nrdE//oxc//mtlD//napB//moaA//fadH//mhpB//trpA//ribA//nrdF//ubiA//rfe//sdhD//nfsB//lsrK//relA//fruK//lacZ//hmp//mpl//aceB//ynfG//gltD//nanE//nanA//
GadE	bglB//cysI//trpB//glxR//lsrK//purK//leuA//fadD//sucB//glpC//
GadE-RcsB	pdeH//araB//pfkA//pgaD//
GadW	acnB//murD//entE//umpH//
GadX	appA//accB//dkgB//nrdF//ascB//argE//nrdE//tehB//polA//garR//sufS//ung//
GalR	fadE//lpxD//phnH//yiaK//cysM//speB//
GalS	murD//acnB//bacA//cysN//napH//glpD//
GatR	nirD//mhpA//hcaB//
GcvA	trpD//tktB//yibQ//
GlcC	gabD//folE//napC//
GlpR	ahpF//nemA//fabI//galT//uxuA//prpD//sdhB//
GlrR	
GntR	metL//fadM//gnd//polB//mpaA//pyrC//guaA//fbaA//yibQ//
GutM	entF//ssuD//asnA//
GutR	ftsI//tdcB//polA//
HU	nagA//paaB//atoB//tynA//ascB//pykF//fadB//
HcaR	carB//gatD//
HdfR	
HigA	patA//
HigB-HigA	wrbA//
HipAB	purD//mhpA//
HipB	add//dapB//pnp//
HyfR	rffM//
HypT	lysA//ulaF//metL//entD//idnK//lysC//pgk//
IclR	glcE//bioC//paaA//
